Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
ASOCIACION DE ESTUDIOS CHINOS LU XUN;HURTADO DE AMEZAGA                                                                     3         1  IZ;48008;944050291;944009786;fanoxiao@estudioschinos.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,SERVICIO DE TRADUCCION;ESTUDIOS/INVESTIGACION;SERVICIOS A LOS CIUDADANOS;
CITE CENTRO DE INFORMACION PARA TRABAJADORES Y TRABAJADORAS INMIGRANTES;URIBITARTE                                                4;48001;944243424;944243612;citebizkaia@euskadi.ccoo.es;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;REALIZACIàN DE ESTUDIOS,ASESORIA JURIDICA,PROG.INSERCION LABORAL Y/O SOC;SERVICIOS A LOS CIUDADANOS;NORMALIZACION;
MIRIBILLAKO GURASOAK MIRIBILLA IKASTETXE PUBLIKOA;VITORIA-GASTEIZ                                                                              5;48003;944166820;;;ASOCIACION;DISTRITO 5 IBAIONDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
FUNDACION TAU FUNDAZIOA;IRALA                                                                                                  8;48012;944211936;944101275;tau_ss@taufundazioa.org;FUNDACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;PROYECTOS DE COOPERACION;SOLIDARIDAD;AYUDA MUTUA;
ASOC MANOS DE ACCION SOLIDARIA  DE BILBAO;AVDA. ASKATASUNA                                       19        4º C;48003;689598138;;euskalafri@yahoo.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL,TIEMPO LIBRE,COOPERACIÓN INTERNACIONAL,CULTURA,DEPORTIVAS,SOCIEDAD,EDUCACIÓN Y EMPLEO;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ASESORIA JURIDICA,PISO ACOGIDA/VIVIENDA TUTELADA,AYUDA SOCIAL,MEDIACION FAMILIAR,MEDIACION ESCOLAR,AYUDA ESCOLAR,SERVICIO DE TOXICOMANIAS,SERVICIO ATENCION A LA MUJER,SERVICIO DE ACOGIDA,PROYECTOS DE COOPERACION;SOLIDARIDAD;OTROS,EDUCAR;
ASOCIACION CULTURAL DAG SHANG RIME CHOLING;SANTA CECILIA                                                                               6         BA;48004;944104195;;dharma@budismobilbao.net;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;ESTUDIOS/INVESTIGACION;
HIKAATENEO EMAKUMEAK;IBENI                                                                                                  1            BA;48006;944794149;;hikaateneo@gmail.com;ASOCIACION;BIZKAIA;MUJER;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS;PROMOCION;CREACION DE OPINION;
ASOCIACION ZUBIETXE;OLAVARRI JOSE MARIA                                                                      4            1º C;48001;944166941;944161854;zubietxe@zubietxe.org;ASOCIACION;BIZKAIA;MARGINADOS/EXCLUIDOS/AS;INTERVENCIÓN SOCIAL;PROG.INSERCION LABORAL Y/O SOC;NORMALIZACION;;
MAYEUSIS BIZKAIKO FILOSOFIA PRAKTIKARAKO ELKARTEA;OLABEAGA                                                                                            36           1º DH;48013;944128863;;mayeusis@googlegroups.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS CIUDADANOS;ESTUDIOS/INVESTIGACION;
ATCORE ASOC. ENFERMOS Y TRANSPLANTADOS DE CORAZON Y PULMON DE EUSKADI;RONDA                                                                                           S/N;48006;946569215;944415167;atcore.bizkaia@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;AFECTADOS/ENFERMOS/AS;SALUD;SENSIBILIZACION:CONCEN,MANIF,DONACION DE ORGANOS;PREVENCION;AYUDA MUTUA;
ASOCIACION CULTURAL CONSONNI CENTRO PRACTICAS ARTISTI.CONTEMPORANEAS;MIRASOL CONDE                                                                               13        LJ 1;48003;944078265;;marielle@consonni.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,EXPOSICIONES;CREACION ARTISTICA;PROMOCION;
ASOCIACION CULTURAL LA TERTULIA DE LA GRANJA;PLAZA CIRCULAR                                         3;48001;655714005;;latertuliadelagranja@gmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,REVISTA;PROMOCION;CREACION ARTISTICA;
ASOCIACION CULTURAL COMUNIDAD ISLAMICA MEZQUITA DE BADER DE BILBAO;FIKA                                                                                                 14;48006;627851574;;;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,MEDIACION FAMILIAR;SERVICIOS A LOS CIUDADANOS;SOLIDARIDAD;
CARE ASOCIACION COMUNIDAD AFRICANA RESIDENTE EN ESPAÑA;MASUSTEGI                                                                                          3            BA 6;48002;636925701;;carebilbao@terra.es;ASOCIACION;ESTADO;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,PISO ACOGIDA/VIVIENDA TUTELADA,COLABORACION CON OTRAS ASOCIAC;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
EDEN HUMANITARI ELKARTEA;FIKA                                                                                                    49           5º DH;48006;944330639;944233560;edenhumanatarielkartea@euskalnet.net;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,PROYECTOS DE COOPERACION;SOLIDARIDAD;AYUDA MUTUA;
ASOC. VECINAL OLLERIAS BAJAS Y ZONA (A.V.O.Z.);OLLERIAS BAJAS                                                                                9            3º DH;48006;696045167;;;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,PUBLICACIONES;SERVICIOS A LOS CIUDADANOS;REPRESENTACION Y/O DEFENSA;
AEREBIZ-ASOCIACION EMPRESARIAS DE RESIDENCIAS DE BIZKAIA;COLON DE LARREATEGUI                                   18        1º IZ;48001;944244995;946071912;cvicario@icasu-bilbao.com;ASOCIACION;BIZKAIA;TERCERA EDAD;PROFESIONALES;SERV.INFORMACION/ASESORAMIENTO;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
CLUB DEPORTIVO DE BOXEO LOPABOX DE BILBAO;ELORRIETA                                                                                       21        4º DH;48015;607332540;;lopabox@lopabox.com;AGRUPACION DE ASOCIACIONES;INTERNACIONAL;POBLACION EN GENERAL;DEPORTIVAS;ACTIV.FORMATIVAS/EDUCATIVAS;OTROS;;
BLISHIE ASOCIACION SOCIOCULTURAL DE APOYO A INMIGRANTE DE EUROPA DEL ESTE;UNIVERSIDAD DE OÑATI                                                                    6            2º IZ;48015;645725107;;blishie-bilbao@hotmail.com;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ASESORIA JURIDICA;NORMALIZACION;SERVICIOS A LOS CIUDADANOS;
PAZ CON DIGNIDAD;ZABALBIDE                                                                                       19        EN B;48006;946552944;946552944;euskadi@pazcondignidad.org;ASOCIACION;ESTADO;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;REALIZACIàN DE ESTUDIOS,PUBLICACIONES,REVISTA;SOLIDARIDAD;ESTUDIOS/INVESTIGACION;
ASOCIACION DE COMERCIANTES DE BASURTO-BASURTO BERRI                          BASURTUKO MERKATARIEN ELKARTEA;ITURRIBARRIA                                                                                    5;48002;944270281;;;ASOCIACION;;PROFESIONALES;PROFESIONALES;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,ASESORIA JURIDICA;PROMOCION;REPRESENTACION Y/O DEFENSA;
ASOC.EMIGRANTES DE GHANA EN EL PAIS VASCO "ASUMDWE NE NKABOM";GARCIA SALAZAR                                                                                16           1º IZ;48003;616166465;;ghanaasoc@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,NO CONTESTA ASOCIACION;AYUDA MUTUA;NO CONTESTA ASOCIACION;
ASOCIACION CULTURAL DE PARAGUAYOS GUARANI TETAGUA;ITURRIBIDE                                                                                     113       1º;48006;946404349;;guarani_tetagua@hotmail.com;ASOCIACION;DISTRITO 5 IBAIONDO;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JUGAR PARTIDOS;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
MIRIBILLA HIRIGUNEA MIRIBILLA AUZOKO KULTUR ETA KIROL ELKARTEA;GERNIKA                                                                                           1         2º A;48003;638962314;;miribillahirigunea@hotmail.es;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS CIUDADANOS;;
ASOC.DE VICTIMAS DEL AMIANTO EN EUSKADI ASVIAMIE;COLON DE LARREATEGUI                                      14           1º DH;48001;615666155;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO;AYUDA MUTUA;REPRESENTACION Y/O DEFENSA;
GRUPO CULTURAL ARTXANDAPE/ARTXANDAPE KULTUR TALDEA;ANDRAMARIA DE BEGOÑA                                                                    25;48007;646197432;;;ASOCIACION;DISTRITO 2 URIBARRI;INFANCIA Y JUVENTUD;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;PROMOCION;SOLIDARIDAD;
CLUB DEPORTIVO DE FÚTBOL BETOLATZA DE BILBAO;URETAMENDI                                                                                     10;48002;688614365;;txemavizuete@hotmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;DEPORTIVAS;JUGAR PARTIDOS;SERVICIOS A LOS CIUDADANOS;;
FEDERACION PARA UNION Y DESARROLLO DEL KONGO;LOJENDIO PADRE                                         2;48008;637042469;946070951;christpanzu@yahoo.er;FEDERACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS;SOLIDARIDAD;PROMOCION;
ASOCIACION CULTURAL LA VISITA;AYALA CANCILLER                                        1         3  D;48008;944159448;944159447;lavisita@lavisita.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS;AYUDA MUTUA;CREACION DE OPINION;
ASOC. CULTURAL KONGO DIA NTOTILA SOLIDARIDAD;LOJENDIO PADRE                                         2;48008;637042569;;christpanzu@yahoo.fr;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;JORNADAS TEMATICAS/CERTAMENES,INFO/ORIENT EMPLEO Y FORMACION,PROYECTOS DE COOPERACION;PROMOCION;SOLIDARIDAD;
ASOC.COMISION CIUDADANA PROMONUMENTO A LA SEMANA SANTA BILBAINA;BARRENKALEBARRENA                                                                       14        4;48005;657778095;;;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,JORNADAS TEMATICAS/CERTAMENES;CREACION ARTISTICA;PROMOCION;
ASOC. DEPORTIVA KIN-BALL EUSKADI;CARNICERIA VIEJA                                                                            15           4º DH;48005;944157088;944157088;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;DEPORTIVAS;ACTIV.FORMATIVAS/EDUCATIVAS,COMPETICIONES DEPORTIVAS;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
CIUDAD UTOPIA ASOC. PARA LA PROMOCION DE LA RESPONSABILIDAD SOCIAL COMPARTIDA;GARAY JUAN DE                                                                                  39           5º A;48003;685752790;;utopiahiria@hotmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;REALIZACIàN DE ESTUDIOS;PROMOCION;ESTUDIOS/INVESTIGACION;
ASOC. SINDROME X FRAGIL DEL PAIS VASCO;BELATEGI                                                                                            6;48002;944101767;;;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS;CREACION DE OPINION;PREVENCION;
ASOC CULTURAL DAHIRATOU MOUTAKHADINA FILAHI;SAN FRANCISCO                                                                                  69           BJ;48003;944158573;944158573;;ASOCIACION;BILBAO;POB. INMIGRANTE Y AUTOCTONA;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;SOLIDARIDAD;SERVICIOS A LOS CIUDADANOS;
ASOC. CULTURAL NUEVO CIUDADANO;SAN FRANCISCO                                                                               8         4;48003;944616110;944616651;neigger@nuevociudadano.com;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,PROG.INSERCION LABORAL Y/O SOC;REPRESENTACION Y/O DEFENSA;CREACION DE OPINION;
ASOC. AYUDA A NIÑOS/AS DE CHERNOBIL UKRANIA GAZTEA;PATXI AITA                                                                                        9            1º B;48015;616756730;;;ASOCIACION;BIZKAIA;INFANCIA;INTERVENCIÓN SOCIAL;SERVICIO DE ACOGIDA;SOLIDARIDAD;;
ASOC. SOCIOCULTURAL AITZINDU;ZURBARANBARRI                                                                               5;48007;944460397;944460307;aitzindu@gmail.com;ASOCIACION;DISTRITO 2 URIBARRI;ADULTOS/AS;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;PROMOCION;SERVICIOS A LOS SOCIOS;
ASOC. ONG HONEK (HERRI OINPERATUEKIN NAZIOARTEKO ELKARTESUNERAKO KIDEAK);VIRGEN DE BEGOÑA                                                                            1            6º B;48006;944114931;;honek@honek.org;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,AYUDAS MATERIALES;SOLIDARIDAD;;
ADDE, ASOCIACION DE PROFESIONALES DE DANZA DEL PAIS VASCO / EUSKAL HERRIKO DANTZA PROFESIONALEN ELKARTEA;MERCED DE LA                                                                                 3         4º IZ;48003;944329314;;info@addedantza.org;ASOCIACION;COMUNIDAD AUTONOMA;PROFESIONALES;CULTURA;SERV.INFORMACION/ASESORAMIENTO;PROMOCION;SERVICIOS A LOS SOCIOS;
ASOC. SOCIOCULTURAL 3ª EDAD  EL ÑERU;URIBARRI                                                                                         29        BJ;48007;944000692;944000692;;ASOCIACION;BILBAO;TERCERA EDAD;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS SOCIOS;;
ASOC. PARA LA EDUCACIÓN EN LA COMUNICACION KOMUNIKATUZ;ALTUBE                                                                                                1;48002;944100962;944447965;info@komunikatuz.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS CIUDADANOS;CREACION DE OPINION;
SOCIEDAD DEPORTIVA PATRONATO BALONCESTO;ITURRIBIDE                                                                                        70           EN;48006;944334049;944334612;jmbeas@euskalnet.net;AGRUPACION DE ASOCIACIONES;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;DEPORTIVAS;ORGANIZACION EVENTOS DEPORTIVO,COMPETICIONES DEPORTIVAS;PROMOCION;;
URIBARRI ELKARTEA;URIBARRI "A"                                                                                 1;48007;605746012;;;ASOCIACION;;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
GAILURRA MENDI TALDEA;URIBARRI "A"                                                                                 28        EN;48007;944451000;;info@gailurra.org;ASOCIACION;;POBLACION EN GENERAL;DEPORTIVAS;ACTIV.FORMATIVAS/EDUCATIVAS,FIESTAS,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS SOCIOS;;
ASOC.DE PACIENTES DE REPRODUCCION ASISTIDA EN EUSKADI APRAE;GOIKO TORRE                                                                                      13           2º D;48003;944217800;;apraeuskadi@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;;SALUD;SERV.INFORMACION/ASESORAMIENTO,SERVICIO ATENCION/ASISTENCIA,GRUPOS DE AUTOAPOYO;SERVICIOS A LOS SOCIOS;PREVENCION;
FUNDACION INTERED;MOYUA FEDERICO                                            6            7º IZ;48009;944242737;944238683;eus-bi@intered.org;FUNDACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS;SOLIDARIDAD;CREACION DE OPINION;
ASOC. DE VECINOS GAZTE-ZAHAR DE SANTUTXU;ITURRIBIDE                                                                                        114          1º DH;48006;659469274;;;ASOCIACION;DISTRITO 4  BEGOÑA;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO;SERVICIOS A LOS CIUDADANOS;REPRESENTACION Y/O DEFENSA;
ASOC. DE PREMATUROS VASCOS APREVAS;ALTXERRI CUEVA                                                                                1            4º DH;48005;690661061;;informacion@aprevas.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SOCIEDAD;SERVICIO DE ORIENTACION;CREACION DE OPINION;ESTUDIOS/INVESTIGACION;
ASOC. CULTURAL ANTON MAKARENKO DE EDUCACION POPULAR;EGUIA GENERAL                                                                               21        3  D;48010;999999999;;posta@makarenko.org;ASOCIACION;COMUNIDAD AUTONOMA;JUVENTUD/ESTUDIANTES;SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES,REVISTA;CREACION DE OPINION;ESTUDIOS/INVESTIGACION;
ASOC. PARA LA FORMACION Y ESTUDIOS SOCIALES AFES;ERDIKOETXE                                                                                        5            EN;48015;944761336;;afes.asoc@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS;CREACION DE OPINION;SOLIDARIDAD;
ASOC.DE COMERCIANTES DE SAN IGNACIO, ELORRIETA E IBARREKOLANDA;AGUIRRE LEHENDAKARI                                                                      153          BA;48015;944156275;944156275;hiruauzo@hotmail.com;ASOCIACION;DISTRITO 1 DEUSTO;PROFESIONALES;PROFESIONALES;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;REPRESENTACION Y/O DEFENSA;
FEDERACION VASCA DE ASOC.DE PERSONAS SORDAS EUSKAL-GORRAK;HURTADO DE AMEZAGA                                                                     27        9ª;48008;944765052;944766052;euskalgorrak@gmail.com;FEDERACION;COMUNIDAD AUTONOMA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,INFO/ORIENT EMPLEO Y FORMACION,SERVICIO DE TRADUCCION;REPRESENTACION Y/O DEFENSA;NORMALIZACION;
ASOCIACIÓN CULTURAL DE TEATRO AURA;ARROSPIDE JON                                                                               11        1º;48014;647751605;;kontainer.aretoa@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,CESION DE LOCALES;CREACION ARTISTICA;PROMOCION;
ASOC.VASCA INTERCAMBIO ESTUDIANTES DE MEDICINA PARA LA COOPERA.Y DESARROLLO   A.V.I.E.M.;GURTUBAY                                                  S/N;48013;946014512;;aviem-upv@googlegroups.com;ASOCIACION;BIZKAIA;JUVENTUD/ESTUDIANTES;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,INTERCAMBIOS JUVENILES;ESTUDIOS/INVESTIGACION;SOLIDARIDAD;
A.P.A. DEL COLEGIO SANTA MARIA DE ARTAGAN COELI;ZABALBIDE                                                                                       110;48007;944450650;944463484;artagandir@telefonica.net;ASOCIACION;BILBAO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
MUSUTRUK ASOC. PARA EL INTERCAMBIO DE TIEMPO;TXAKOLIN                                                                                         2         2º C;48015;665474215;;musutruk07@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;LUGAR DE ENCUENTRO,INFORM. Y/O FORM. VOLUNTARIOS;AYUDA MUTUA;SOLIDARIDAD;
ASOCIACIÓN CULTURAL ZELATA;BONAPARTE LUIS LUCIANO                                                             29 D      4º C;48004;9999999999;;katuburu@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;ESTUDIOS/INVESTIGACION;
ZUMA TEATRO;FIKA                                                                                                    2            8º IZ;48006;670279630;;zeroteatroa@yahoo.es;ASOCIACION;ESTADO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;CREACION DE OPINION;
UNION DE MARFILEÑOS DE BIZKAIA CULTURAL Y PARA LA SOLIDARIDAD;LOJENDIO PADRE                                            2            1º IZ;48008;690330839;;yacoubailen@yahoo.fv;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;SOLIDARIDAD;
ASOC.ESCUELA VASCO NAVARRA DE TERAPIA FAMILIAR;LUZARRA                                                                                              18           1º;48014;944757880;944759484;evntf@avntf-evntf.com;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;PROFESIONALES;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS,SERVICIO ATENCION/ASISTENCIA;ESTUDIOS/INVESTIGACION;SERVICIOS A LOS CIUDADANOS;
ASOC. MUSICO CULTURAL DE INDAUTXU ADAGIO ESKOLA;AREILZA DOCTOR                                                                                32;48010;944414205;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;SERVICIOS A LOS SOCIOS;
ASOC. VASCA DE MEDIACION SOCIAL INTERCULTURAL BITARTEGUNE;RONDA                                                                                               S/N;48005;654589833;;bitartegune@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,MEDIACION EN CONFLICTOS;PROMOCION;PREVENCION;
ASOC. AUDIOVISUAL TULAR;LOZOÑO                                                                                                18           5º IZ;48004;696321583;;kermanol@hotmail.com;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,PROGRAMAS RADIOFONICOS;SERVICIOS A LOS CIUDADANOS;PROMOCION;
GLOBALKULTURA ELKAERTEA;SAN MAMES                                                                                       43   Y;48010;944436411;;info@globalkultura.net;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES;SERVICIOS A LOS CIUDADANOS;;
BIZIKAI ALKARTE KULTURALA;LEDESMA                                                                                              6            4º;48001;944242433;944248359;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;NORMALIZACION;;
AHIDA, ASOC. HIPERACTIVOS CON DEFICIT DE ATENCION;COLON DE LARREATEGUI                                   26        B;48009;944315783;;ahida05@gmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,GRUPOS DE AUTOAPOYO;PREVENCION;CREACION DE OPINION;
ASOC. CULTURAL ONDA EUSKADI-ORGANIZACIÓN NACIONAL PARA DIALOGO Y PARTICIPACION;LARRATUNDU                                                                                        14           2º D;48004;944914977;944914919;ondaeuskadi@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;SERVICIO ATENCION/ASISTENCIA;SERVICIOS A LOS CIUDADANOS;SOLIDARIDAD;
ASOC. ESCUELA-HOGAR DE LA PARROQUIA DE LA SAGRADA FAMILIA;SALCES ANSELMA DE                                                                          1;48007;944458236;;;ASOCIACION;DISTRITO 2 URIBARRI;ADULTOS/AS;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,LUGAR DE ENCUENTRO;AYUDA MUTUA;PROMOCION;
BAKEAZ;ARRIQUIBAR                                                                                     3         1;48008;944790070;944790071;bakeaz@bakeaz.org;ASOCIACION;ESTADO;PROFESIONALES;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS,CENTRO DE DOCUMENTACION;ESTUDIOS/INVESTIGACION;CREACION DE OPINION;
ASOC. CULTURAL DE BIZKAIA IZAN ERE-IZAN ERE BIZKAIKO KULTUR ELKARTEA;ITURRIBIDE                                                                                        58           5  DH;48006;944560474;;asociacionizanere@gmail.com;ASOCIACION;BIZKAIA;ADULTOS/AS;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,AYUDAS MATERIALES;PROMOCION;CREACION DE OPINION;
ASOC. CULTURAL DE INDAUTXU KALE BIZIAK;UHAGON FELIPE ALCALDE                                                                  12           3º;48010;944166666;;;ASOCIACION;DISTRITO 6 ABANDO;POBLACION EN GENERAL;CULTURA;ACTIVIDADES DE ANIMACION;PROMOCION;SERVICIOS A LOS SOCIOS;
