Nombre,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Barrio,Más información,Descripción,Tipo de evento,Tipo de público,Lugar,Lat,Lon
"Imagina tu Noche","11/09/2017","30/06/2018","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2122","Datos de interés Descripción Vales descuentos: Vales descuento solo para jóvenes de 16 a 30 años empadronados en el municipio. En todas las actividades se entrega un máximo de 1 vale por persona, previa presentación del DNI acreditando edad y empadronamiento.  Bolera por 2 €: estos vales pueden canjearse el viernes de la semana siguiente, de 22 a 3 h por una partida, alquiler de zapatillas y consumición sin alcohol. Hasta agotar disponibilidad. Recogida en Imagina en su horario de apertura.  Cine a 3 €: los vales se compran en Imagina, los viernes, de 11.30 a 13h y de 18 a 20 h, o los jueves de 19 a 21 h, previa reserva online y hasta agotar los 150 vales de media disponibles. Reserva online disponible solo desde las 11.30 y desde las 17 h hasta las 21 h o hasta agotarse, dando comienzo los lunes. Vales válidos de jueves a domingo, para cualquier sesión y película hasta la fecha de caducidad impresa en el vale (6 meses aprox.). Solo para empadronados, de 16 a 30 años, previa acreditación. Películas en 3D no incluidas. Vuelven las cenas a 5 €, con el restaurante Nix (C/ Dolores Ibárruri, 9) que nos ofrece un menú completo por 5 €, incluyendo bebida sin alcohol y postre. Los vales se comienzan a entregar el jueves 28 de septiembre, disfrutables del viernes 29 de septiembre al 28 de octubre, viernes/sábados por la noche, previa reserva.   Y con la llegada del nuevo mes, te recomendamos cenar en el Restaurante Debut (Pº Chopera, 132). Los vales se comienzan a entregar el jueves 26 de octubre y son válidos desde el sábado 27 de octubre hasta el sábado 16 de diciembre, cualquier viernes o sábado por la noche, previa reserva. Abono alternativo. Imagina vuelva a acercar el teatro y la cultura a los jóvenes de Alcobendas gracias a la nueva temporada del Teatro Auditorio, y a su abono alternativo. Podrás conseguir entradas para 7 espectáculos del abono alternativo a precios muy asequibles. Si tienes entre 16 y 30 años y estás empadronado o trabajas en Alcobendas, aprovecha esta oportunidad. Podrás adquirir una entrada del Abono Alternativo de las 50 que hay reservadas para cada espectáculo, con hasta el 80% de descuento. Para recoger tu vale en Imagina es necesario acreditar ser joven empadronado o trabajador en el municipio mediante la presentación de la documentación oficial oportuna. Máximo un vale por persona. Los vales se canjearán en la Taquilla del Teatro Auditorio Ciudad de Alcobendas, de martes a viernes (no festivos) de 18 a 20 h. Los jóvenes entre 16 y 30 años que no estén empadronados ni trabajen en Alcobendas, tienen un 25% de descuento sobre el precio de entrada, aplicable directamente en las taquillas del Teatro. Próximas actuaciones:  James Rhodes, 28 de octubre a las 20 h. Vale canjeable del 10 al 20 de octubre. Entrega de vales en Imagina a partir del jueves 5 de octubre. Hasta agotar vales. Precio entrada: 17 €. Precio empadronado (descuento del 80%): 3,4 €. Precio trabajador en Alcobendas (60% descuento): 6,8 €. Sinergia (circo), 3 de noviembre a las 20 h. Vale canjeable del 17 al 27 de octubre. Entrega de vales en Imagina a partir del viernes 13 de octubre, hasta agotar vales. Precio entrada: 15 €. Precio empadronado (descuento 80%): 3 €. Precio trabajador en Alcobendas (descuento 60%): 6 €. Antonio Orozco, 9 de noviembre a las 20 h. Vale canjeable del 26 de octubre al 3 de noviembre. Entrega de vales en Imagina a partir del jueves 26 de octubre. Hasta agotar vales. Precio entrada: 29 €. Precio empadronado (descuento 80%): 5,80 €. Precio trabajador en Alcobendas (descuento 60%): 11,60 €. CAMBUYÓN espectáculo de percusión, el próximo 24 de noviembre a las 20 h. Los vales se entregarán a partir del jueves 2 de noviembre en IMAGINA y podrán canjearse del 7 al 17 de noviembre de 2017.  Precio entrada 12 €.  Precio empadronado con el 80 % descuento 2,4 €,. Precio trabajador con el 60 % de descuento 4,8 €.  Precio para resto menores de 30 años con el 25 % de descuento 9 €. Tú eres la noche de Imagina:  Si eres un joven entre 16 y 30 años empadronado en Alcobendas y quieres formar parte de la comisión coordinadora de Tú eres la noche de Imagina, todavía te puedes apuntar. Ponte en contacto con el programa en el teléfono 91 6590957 o en el correo electrónico imaginatunoche@imagina.aytoalcobendas.org. Concierto Sharif. Sábado 28 de octubre Con más de 20 años dedicados al arte de escribir versos, Sharif comenzó a manchar folios de tinta con Fuck Tha Posse. Con la primera maqueta llamada “Demasiado honor para tanta hambre” consiguieron el reconocimiento y el respeto del público. Su primer disco en solitario, ”A Ras de Sueño” , llegó en Junio de 2010 arrasando en las principales webs de descargas donde fue número 1 en los tops. El álbum, producido por Hazhe y Lex Luthorz, se ha convertido en uno de los trabajos mejor valorados en el hip hop de la escena nacional, lo que le ha llevado a recorrer toda la geografía española en una extensa gira que todavía sigue. Hasta la fecha Sharif ha grabado 7 videoclips oficiales y ha colaborado en los trabajos de SFDK (Lista de Invitados), Rapsusklei (Pandemia), Juaninacka (Hellboyz), Soul Villain (Soultape) o Nach (A través de mí), entre otros. Sharif llega a Alcobendas el sábado 28 de octubre a las 19 h. en un concierto gratuito en la Esfera, dentro de la programación de Poesía y música y de Imagina tu noche. Lo hará acompañado de los participantes de En Red: Música Joven Alcobendas 2017, Rondo & Traficantes de Quimeras, y de los ganadores del Concurso de rap convocado por Imagina. Las invitaciones pueden recogerse desde una hora antes en la taquilla de la Esfera. The last night zombies awaken en Alcobendas. Martes 31 de octubre De la mano del Ayuntamiento de Alcobendas, Imagina tu noche, la ONG Daukaia y la productora Dreams Builders, llega por primera vez a la ciudad The Last Night Zombies Awaken, una experiencia de inmersión solidaria y única en la que el terror estará presente en todo momento. La noche de Halloween desde las 21:30 h. y hasta las 3h. de la madrugada del día siguiente, los participantes vivirán una experiencia inolvidable que dará comienzo en La Esfera y que posteriormente se extenderá a la ciudad de Alcobendas, donde ellos serán los auténticos protagonistas del despertar zombi. Una aventura creada por parte del equipo del Viejo Caserón del Parque de Atracciones de Madrid. Durante cinco horas y dentro de un marco incomparable diseñado especialmente para sumergir a los jugadores en una aventura real, el objetivo de los participantes será superar diferentes pruebas para encontrar el antídoto de salvación; además, tendrán que evitar ser infectados huyendo de los zombis que irán encontrándose por el camino. Las entradas para participar ya están a la venta a través de la web http://www.thelastnight.es/  La totalidad del beneficio obtenido en la experiencia irá destinado a la ONG Daukaia, entidad dedicada desde 2012 a perseguir la integración social de la infancia de Ocotal, Nicaragua, mediante la creación de un modelo enfocado a la educación y el desarrollo personal. La ONG Daukaia ya ha ayudado a más de 300 niños a obtener un correcto desarrollo.  La actividad va dirigida a público general, a partir de los 16 años de edad, y los primeros 200 jóvenes (entre 16 y 30 años) pueden adquirir su entrada de superviviente a un precio reducido gracias al Programa de ocio alternativo nocturno, Imagina tu noche. Descuentos para jóvenes rellenar la solicitud en http://www.imaginalcobendas.org/ https://www.facebook.com/thelastnightoficial,  @TheLastNight_of   Semana de la juventud, inscripción previa en las actividades para el sábado 11 de noviembre Taller de Bollywood/Danza del vientre: aprende las nociones básicas de este sensual baile y pasa un rato divertido en Imagina probando algo nuevo. Abierto tanto a chicos como a chicas. Imagina 18-19 h Yincana: sigue las pistas para llegar a una nueva base, supera la prueba o descifra el enigma y completa a tiempo el recorrido con tu equipo. Inscríbete solo o con tu equipo y supera el reto. Salida desde Imagina, pequeño recorrido por Alcobendas. 19-21h Cenas en inglés, nueva temporada: los nuevos voluntarios del Programa Servicio Voluntariado Europeo han llegado a Alcobendas. Por ello, junto con Movilidad Europea, celebramos la primera cena en inglés de la temporada. Para que además de disfrutar de una rica cena a un precio ajustado a tu bolsillo, puedas conocer gente y practicar tu inglés. Más información Toda la información de las actividades y descuentos del programa Imagina tu Noche en http://www.imaginalcobendas.org/","Otros Cultura y Ocio,Juventud,Otros,Imagina - Juventud","Jóvenes","Imagina - Casa de la Juventud",40.54806866,-3.64420053
"Jarabe de palo","23/01/2018","23/01/2018","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2493","Datos de interés Descripción  Coincidiendo con el vigésimo aniversario del nacimiento artístico de uno de los creadores españoles con mayor presencia nacional e internacional, Pau Donés repasa sus mayores éxitos en un formato completamente diferente. Para ello se ha rodeado de un trío de músicos (piano, violonchelo y contrabajo) que, a ritmo de jazz, visten su inconfundible voz y nos hacen viajar a Barcelona, Cuba o Formentera. Un espectáculo inolvidable e irrepetible que merece la pena disfrutar en vivo. Pau celebra además su cincuenta cumpleaños, medio siglo que ha dado para aprender mucho y para vivir infinidad de aventuras que el cantante irá desgranando a través de su música. Mucho más, mucho mejor, más divertido… Para mayores de 10 años.   Ficha artística: Voz, guitarra acústica y percusión: Pau Donés Piano: Jaime de Burgos Contrabajo: Jordi Vericat Violonchelo: Andrea Amador s Horario Duración: 90 minutos  Precio 15/20 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Alternativo","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Jornada sobre el alzhéimer y otras demencias","07/11/2017","07/11/2017","09:30","13:30","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2547","Datos de interés Descripción A lo largo de la jornada, se abordará la enfermedad desde diversos puntos de vista: Aspecto clínico y de investigación (diagnóstico y tratamiento) Enfermedad de Alzheimer y otras demencias: concepto, diferencias, incidencia tratamiento e investigación. La donación de cerebros: su importancia en investigación y futuras terapias. Aspecto social (abordaje social y cuidados del enfermo y su cuidador) Papel de las asociaciones de familiares de enfermos. La estimulación cognitiva del enfermo con demencia. Cuidando al cuidador. Visión de la enfermedad desde el punto de vista del cuidador y de cómo afecta la enfermedad a las familias. Está prevista la participación de profesionales de prestigio, tanto neurólogos como neuropatólogos y psicólogos, y de la Asociación de Familiares de Enfermos de alzhéimer de Alcobendas y San Sebastián de los Reyes, que informará de la tarea que realiza y aportará el punto de vista de los familiares de los enfermos. Inscripción La inscripción es gratuita llamando al Servicio de Salud, teléfono 91 663 70 01 (extensión 4016), de 9 a 14 h. Las plazas son limitadas.","Otros Salud,Jornadas y Conferencias","Público general","Ciudad Deportiva Valdelasfuentes",40.55087447,-3.64824361
"La comedia de las mentiras","15/12/2017","15/12/2017","20:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2490","Datos de interés Descripción   La obra de Plauto sirve de punto de partida para esta divertida comedia de enredos protagonizada por Pepón Nieto, María Barranco, Canco Rodríguez, Paco Tous y Angy Fernández. El equipo que nos hizo reír,  y mucho, con El Eunuco, vuelve a la carga con esta historia que nos presenta a Hipólita y Leónidas, dos hermanos que quieren vivir sus respectivos amores pese a la férrea oposición de su estricto padre que imagina para ellos un futuro totalmente distinto. Para conseguirlo no dudarán en mentir y enredar en sus mentiras a Calidoro, el esclavo que les ha criado desde niños. Él, claro, también miente. Como la solterona tía Cántara, que está al cargo de Hipólita y Leónidas, o el general Degollus, que tampoco es quién dice ser. Porque en esta obra todos mienten. Para engañar, para justificarse, para protegerse… En fin, mienten como mentimos todos nosotros porque, aunque la mentira tiene tan mala prensa en nuestra sociedad, dicen los científicos que mentimos unas doscientas veces al día. ¿O eso también es otra mentira?. Para mayores de 14 años.   Función accesible para personas con déficit auditivo o visual. Ficha artística: Dirección: Pep Antón Gómez Intérpretes: Pepón Nieto, María Barranco, Paco Tous, Canco Rodríguez, Angy Fernández, Raúl Jiménez y Marta Guerras Escenografía: Bea San Juan Vestuario: Paco Delgado y Paola Torres Iluminación: Miguel A. Camacho      Horario Duración: 110 minutos  Precio 12/17 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono General","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"La gallina de los huevos de oro","03/12/2017","03/12/2017","18:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2484","Datos de interés Descripción   ¿Te gusta el dinero? ¿Mucho? A los granjeros protagonistas de esta fábula no les preocupaba demasiado cuando vivían en la pobreza. No dudaban en compartir lo poco que tenían con cualquiera que lo necesitase. Así es como un día llega a su granja la gallina protagonista de esta historia. Como había hecho con todos los animales que habían recogido en su granja, le ofrecen comida y refugio, simplemente porque lo necesita. Pronto verán cómo su suerte da un vuelco cuando descubren que ha puesto un huevo de oro. Ahora son ricos, aunque este cambio no es necesariamente para mejor…Porque, además de iniciar una vida de lujo y desenfreno, su nueva situación hará que salga a la luz un lado muy oscuro: la avaricia. Una historia para niños de todas las edades que enseña que el dinero es un cuento.  Para mayores de 6 años.   Ficha artística: Intérpretes: Begonya Ferrer, Ramón Molins Música: Richard Lacy, Philip Guyler, Lincoln Grounds y otros Autor y Dirección: Ramón Molins Escenografía: Joan Pena Vestuario: Olga Cuito Horario Duración: 55 minutos  Precio 4/6 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Familia","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"La vuelta al mundo en 8 melodías","02/12/2017","02/12/2017","18:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2502","Datos de interés Descripción Siguiendo la aventura de Phileas Fogg en el famoso libro de Julio Verne, la pianista Blanca Calvo nos llevará a descubrir el mundo de la música a través de ocho melodías para piano, clarinete y voz, interpretadas por jóvenes músicos de la Escuela de Música Reina Sofía. Viajaremos por Europa, Asia y América, dando la vuelta al mundo a través de la música de compositores de diferentes estilos y culturas; un viaje maravilloso por España, Francia, Inglaterra, Rusia, Japón, México, Brasil y los Estados Unidos, en el que estaremos acompañados por las amenas e interesantes explicaciones de nuestra amiga Blanca Intérpretes: Músicos de la Escuela de Música Reina Sofía Blanca Calvo, narrador Natacha Correa, clarinete María Ángeles, soprano Karla Martínez, piano Programa: INGLATERRA: Henry Purcell (1659-1695). Toccata quasi fantasia con fuga para piano. FRANCIA: Claude Débussy (1862-1918). Première rhapsodie para clarinete y piano. ESPAÑA: Manuel de Falla (1876-1946). Serenata andaluza RUSIA: Igor Stravinsky (1882-1971). Tres piezas para clarinete solo  JAPÓN: Toru Takemitsu (1930-1996). Canción breve para voz y piano BRASIL: Heitor Villa-lobos (1887-1959). Bachiana brasileira núm. 5 para voz y piano MÉXICO: Arturo Márquez (1950). Zarabandeo para clarinete y piano USA: George Gershwin (1898-1937).- De la ópera “Porgy and Bess” Summertime .   Edad recomendada: a partir de 6 años.   Horario  Duración: 60 minutos. Precio 6 €  Venta de entradas a partir del 22 de septiembre. Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla). Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Infancia y Adolescencia,Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Laboratorio en familia: Yo, Ciencia","11/11/2017","11/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2512","Datos de interés Descripción Exploraremos los secretos de la Química con elementos cotidianos. Aprenderemos a diferenciar la magia de la ciencia a través de juegos y experimentos, con el apoyo de libros informativos. Para público familiar con niños de 5 a 10 años. El equipo formado por los miembros de la familia podrá formular hipótesis y comprobarlas en primera persona en nuestro particular laboratorio científico.  Duración: 60 minutos aproximadamente. Horario Sábado 11 de noviembre Niños de 5 a 10 años, de 17 a 18 h.    Precio Gratuito Requisitos Cada niño debe apuntarse con un adulto. No se inscriben niños ni adultos solos.  No se exige filiación. Cada niño se puede apuntar solo a una sesión. Solo los niños ocupan plaza. Cada persona puede inscribir a un máximo de dos niños. No se pueden inscribir niños fuera de la franja de edad estipulada.  Nacidos entre octubre de 2005 y octubre de 2010 Inscripciones A partir del 7 de noviembre tanto para empadronados como para no empadronados. Cierre de inscripciones el viernes a las 14 h. Lista de espera máximo 20 personas. Las inscripciones pueden realizarse presencial o telefónicamente en el Servicio de Atención Ciudadana.","Infancia,Espectáculos,Cultura en Familia,Actividades en las mediatecas","Infancia y Adolescencia","Centro Cultural Pablo Iglesias",40.54295948,-3.64362527
"Las bicicletas son para el verano","19/11/2017","19/11/2017","19:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2488","Datos de interés Descripción   La compañía La Ruta Teatro vuelve a nuestro teatro después del éxito que cosecharon con Ninette y un señor de Murcia. Con un extenso elenco de diez actores, capitaneado por los siempre sólidos Llum Barrera y Patxi Freytez, la obra de Fernando Fernán Gómez nos lleva al Madrid del verano de 1936 durante el estallido de la Guerra Civil. En ese dramático contexto, el joven Luisito, ajeno a los cambios que se avecinan, espera con ilusión recibir una bicicleta pese a haber sido suspendido. Su familia vivirá a lo largo de los tres veranos del conflicto bélico una transformación que cambiará para siempre sus vidas. Un magnífico drama costumbrista salpicado de elementos trágicos y realistas que, bajo la dirección de César Oliva, funciona con la precisión del mecanismo de un reloj perfecto. Para mayores de 14 años.   Ficha artística: Dirección: César Oliva Intérpretes: Llum Barrera, Patxi Freytez, Esperanza Elipe, Álvaro Fontalba, Teresa Ases, Agustín Otón, Ana Caso, Lola Escribano, María Beresaluce y Adrián Labrador Escenografía: Francisco Leal Vestuario: Berta Graset Iluminación: Jesús Palazón    Horario Duración: 110 minutos  Precio 12/17 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono General","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Leer en Familia: La casa de Tomasa y otras historias","09/11/2017","09/11/2017","17:30","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1878","Datos de interés Descripción El programa Leer en Familia propone este mes “La casa de Tomasa y otras historias” por el Cuentacuentos Daniel Tornero. Un espectáculo para niños de 3 a 7 años en el que se combina el entretenimiento y la diversión acercando a los asistentes al mundo de la literatura infantil y juvenil. Juanito Glotón come todo lo que encuentra. Los tres Gatitos no tienen más remedio que darse un buen baño. La pastora está triste porque su oveja ya no cabe en el cobertizo. Los Osos están asustados porque Ricitos de Oro no es muy amable con ellos. Todos estos personajes son amigos de Tomasa y le piden alojamiento en su casa. Ella es una buena amiga pero… ¿su generosidad tendrá un límite?   Horario Habrá dos sesiones, una  a las 17:30 h y otra a las 18:30 h. Inscripciones La asistencia a esta actividad se realizará mediante invitación. Las entradas gratuitas se distribuirán el mismo día, con un máximo de 4 invitaciones por persona, desde una hora antes de la actividad y hasta completar aforo, en la Mediateca Miguel Delibes (Avda.de la Magia, 4)","Otros Cultura y Ocio,Infancia,Otros,Otros,Actividades en las mediatecas","Infancia y Adolescencia","Espacio Miguel Delibes",40.55157784,-3.65719644
"Lo mejor de Yllana","19/01/2018","20/01/2018","20:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2492","Datos de interés Descripción   Lo mejor de Yllana es que no necesitan ninguna presentación. Lo mejor de Yllana es que llevan un cuarto de siglo haciéndonos reír a carcajadas con su humor gamberro e irreverente. Lo mejor de Yllana es que han decidido juntar los mejores sketches de sus 27 espectáculos teatrales para ofrecérselos a un público que también forma parte del espectáculo. Lo mejor de Yllana es que su desbordante creatividad, su afilado ingenio y su incontrolable talento siguen en plena forma 25 años después. Lo mejor de Yllana es que lo mejor, como siempre, está por llegar. Y lo mejor es que los tendremos dos días para que nadie se los pierda.  http://www.yllana.com/ Para mayores de 14 años.   Ficha Artística: Yllana son: Marcos Ottone, Juan Ramos, Joe O´Curneen, Fidel Fernández y David Ottone Idea original y Dirección artística: Yllana Intérpretes (en alternancia) Fidel Fernández, Juan Ramos, Luis Cao, Juanfran Dorado y Jony Elías Diseño de iluminación: Miguel Ángel García Rosa Diseño de sonido: Iván González Diseño de vestuario: Gabriela Salaverri       Horario Duración: 90 minutos  Precio 11/15 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono General,Abono Alternativo","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Malvados de oro","18/01/2018","18/01/2018","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2482","Datos de interés Descripción Puro Teatro  es un ciclo de actuaciones de pequeño formato realizadas dentro de la caja escénica. Un teatro dentro del teatro para sentir el espectáculo de forma más cercana e íntima. Localidades sin numerar y aforo muy reducido. Inspirados en Los villanos de Shakespeare, el actor Daniel Albadalejo y el director José Bornás rinden homenaje a toda una galería de personajes del teatro del Siglo de Oro cuya moral dudosa les otorga una complejidad y una riqueza en matices que supera, en muchos casos, a la de los propios protagonistas. Los monólogos que componen esta función invitan al espectador a recorrer los mecanismos del mal, intentando ayudarle a comprender cuáles son sus motivaciones y el origen de sus impulsos y pasiones. Y es que el mal nos fascina por su condición poliédrica y nos atrapa porque refleja algo de nosotros que a veces preferiríamos no ver. Intérprete y director vuelven a unir fuerzas tras haber trabajado juntos en Ay, Carmela en esta obra que cambiará nuestra perspectiva de clásicos como Fuenteovejuna o La vida es sueño. Al finalizar la representación, habrá un encuentro con los artistas. Dirigido a mayores de 14 años Ficha artística: Dirección: José Bornás Interpretación: Daniel Albaladejo Escenografía y Vestuario: Susana Moreno Horario Duración: 75 minutos  Precio 10 €  Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Puro Teatro","Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Merlín la leyenda","04/01/2018","04/01/2018","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2485","Datos de interés Descripción   Tras el éxito de Aladín, un musical genial, la compañía Trencadís se adentra en esta ocasión en el mundo de la magia con Merlín. El rey Uther ha muerto y su único heredero, Arturo, es un niño al que el mago deberá esconder y proteger hasta que crezca y pueda hacerse cargo del trono. Para ello Merlín deberá enfrentarse a todo tipo de peligros, incluido un dragón que irrumpirá en el escenario en uno de los momentos más impactantes y espectaculares del musical. Objetos que levitan, elementos que se convierten en otros elementos, apariciones mágicas, transformaciones… Una aureola de fantasía que no dejará de sorprendernos durante todo el espectáculo y que nos hará creer que todo es posible. http://www.trencadisproduccions.com/ Para mayores de 5 años.   Ficha artística: Dirección: José Tomás Chàfer Texto: Josep Mollà Música original: Jose Doménech Coreografía: Pachi G. Fenollar Intérpretes: Javier Gurruchaga, Noèlia Pérez / Paola Navalón, Jose Gasent, Jordi Ballester, Marina Damer, Arturo Sebastià, Fátima Gregorio / Resu Belmonte y Sergio Escribano. Horario 17  y 19:30 h Duración: 90 minutos  Precio 4/6 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Familia","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Miguel de Molina Al desnudo","13/01/2018","13/01/2018","20:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2491","Datos de interés Descripción   Ángel Ruiz realiza un trabajo memorable (galardonado con el Max y el premio de la Unión de Actores al mejor actor protagonista) al repasar la vida y las coplas de uno de los clásicos de la canción española. Acompañado únicamente por el pianista César Belda, el intérprete entabla un diálogo abierto con el público desde el presente, al tiempo que se enfrenta al pasado convulso de un artista incómodo para muchos por su compromiso innegociable con la libertad. Así viajamos hasta la infancia del cantante, nos encontramos con Lorca o sufrimos junto a él la tortura a la que fue sometido acabada la Guerra Civil. Más allá de la biografía musical o del homenaje a su figura, la obra es una declaración de amor a todo un género que, en ocasiones, ha sido denostado por su carácter popular. Al finalizar la representación, habrá un encuentro con la compañía. Para mayores de 14 años.   Ficha artística: Dirección: Félix Estaire Dirección musical y pianista: César Belda  Intérprete: Ángel Ruiz Escenografía: Lua Testa Vestuario: Guadalupe Valero Iluminación: Juanjo Llorens Producción: Lazona Teatro      Horario Duración: 90 minutos  Precio 11/15 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono General","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Museando","02/12/2017","02/12/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2525","Datos de interés Descripción Visita dinamizada a un museo de Madrid.  Requisitos Solo se pueden apuntar familias con niños entre 6 y 12 años. No se inscriben niños ni adultos solos, no se pueden inscribir niños fuera de esta franja de edad. No se exige filiación. Cada persona puede inscribir a un máximo de 2 unidades familiares. Un adulto por niño.   Horario Será el 2 de diciembre y se saldrá a las 10 h de la Plaza Mayor de Alcobendas. Inscripción  A partir del 27 de noviembre para empadronados. A partir del 29 de noviembre para no empadronados. Las inscripciones pueden hacerse presencial o telefónicamente en el Servicio de Atención Ciudadana.","Otros Cultura y Ocio,Infancia,Talleres,Otros,Cultura en Familia","Infancia y Adolescencia","Fuera del Municipio",,
"Noches de Baile de Salón","13/06/2017","08/06/2018","22:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2158","Datos de interés Descripción  Las Sesiones arrancarán con una clase de Baile avanzado conducida por Israel. Para quien quiera conocer al conductor de estas noches puede hacerlo en http://www.israeldiez.com/ Recordamos que para todos aquellos mayores que quieran disfrutar también de los bailes pero a un ritmo más moderado se realizarán Tardes de Baile para Mayores desde las 18:00 horas y hasta las 21:00 en la pista de Baile de la Esfera Plaza Cubierta. 22:00 h. Clase Baile de Salón avanzado. 23:00 a 02:00 h. Inicio Bailes de Salón. Contaremos con servicio de ropero y bar. Precio 4,50 €, entrada general. 3 €, menores de 30 años, mayores de 65 y pensionistas con carné acreditativo. Taquilla Entradas a la venta desde el 4 de octubre, en las taquillas municipales, y el mismo día La Esfera.","Otros Cultura y Ocio,Otros","Público general","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
