RAOSOCIAL,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,ICON
P.A.G.E.S.A.,"carrer màquina, 40, 08850 Gavà",936388572 ,info@pagesa.com,http://www.pagesa.com,Alimentació - Restauració,41.296566,2.013129,"(41.296566, 2.013129)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5205,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Comercial Vasco Catalana del Combustible, SA","carrer màquina, 50, 08850 Gavà",936333470 ,info@vascocatalana.com,http://www.vascocatalana.com,Siderúrgia - Metal·lúrgia - Maquinària,41.295975,2.011048,"(41.295975, 2.011048)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4404,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Vaag Electronic, SL","carrer màquina, 51-53, 08850 Gavà",936384700 ,jp@vaag.es,http://www.vaag.es,Electricitat - Electrònica - Òptica,41.29581,2.011123,"(41.29581, 2.011123)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4652,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Caravaning City,"carrer màquina, 56-58, 08850 Gavà",902024670 ,info@caravaningcity.com,http://www.caravaningcity.com,Taller mecànic - Reparacions - Concessionari,41.29615,2.010775,"(41.29615, 2.010775)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4388,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Yaskawa Ibérica, SL","carrer màquina, 8b, 08850 Gavà",936303478 ,info.es@yaskawa.eu.com,https://www.yaskawa.eu.com,Electricitat - Electrònica - Òptica,41.297092,2.014104,"(41.297092, 2.014104)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=681,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Cereja, SL","carrer oficis, 11, 08850 Gavà",936381009 ,cereja@cereja.es,http://www.rutalia.net/cereja,Arts gràfiques - Impressió - Paper,41.300697,2.014562,"(41.300697, 2.014562)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4397,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"AUTALEM, SL","carrer oficis, 19, 08850 Gavà",936621250 ,info@autalem.com,http://www.autalem.com,Siderúrgia - Metal·lúrgia - Maquinària,41.300373,2.014987,"(41.300373, 2.014987)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4387,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
PRESTACIÓ DE SERVEIS AL CIUTADÀ,"carrer oficis, 2, 08850 Gavà",936333265 ,,,Altres serveis a empreses,41.300934,2.014238,"(41.300934, 2.014238)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=101,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Algam Quality SA & Kenia Collection, SA","carrer oficis, 23 a-b, 08850 Gavà",936388098 ,algam@algamquality.es,http://algamquality.es,Química - Farmàcia - Sanitat,41.300213,2.015199,"(41.300213, 2.015199)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4364,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Recambios Marinos, SL","carrer oficis, 23, 08850 Gavà",902108585 ,info@recambiosmarinos.es,http://www.recambiosmarinos.com,Automoció,41.300213,2.015199,"(41.300213, 2.015199)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4603,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Grupo MCI -Mundocolor Internacional, SA","carrer oficis, 25-29, 08850 Gavà",936302800 ,,http://www.grupo-mci.com,Electricitat - Electrònica - Òptica,41.300133,2.015306,"(41.300133, 2.015306)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4483,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Verauto 2010, SL","carrer oficis, 7, 08850 Gavà",936383221 ,info@verauto.es,http://www.verauto.es,Taller mecànic - Reparacions - Concessionari,41.300858,2.014347,"(41.300858, 2.014347)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5204,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Lonar A.D.T. Sport Racing, SL","carrer oficis, 7, 08850 Gavà",936383221 ,info@autodisseny.com,http://www.autodisseny.com,Taller mecànic - Reparacions - Concessionari,41.300858,2.014347,"(41.300858, 2.014347)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4543,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Miguel Soler Alias,"carrer pau vergós, 44, 08850 Gavà",936622656 ,,,Taller mecànic - Reparacions - Concessionari,41.30185,1.99837,"(41.30185, 1.99837)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4563,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Cercados Díaz, SL","carrer pau vergós, 68, 08850 Gavà", ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.301994,1.99804,"(41.301994, 1.99804)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=503,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Faetisa,"carrer post, 1, 08850 Gavà",936621852 ,faetisa@gmail.com,,Arts gràfiques - Impressió - Paper,41.300087,2.008266,"(41.300087, 2.008266)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4457,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Jose Ocaña Vilches,"carrer post, 11, 08850 Gavà",936383305 ,,,Fusta - Mobles,41.300087,2.008266,"(41.300087, 2.008266)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4525,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Tapissats La Post, SL","carrer post, 17-19, 08850 Gavà",936380830 ,info@tapizados-lapost.com,http://www.tapizados-lapost.com,Fusta - Mobles,41.30006,2.008793,"(41.30006, 2.008793)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4637,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Marbres Quiñonero, SL","carrer post, 24, 08850 Gavà",936621928 ,info@marmolesquinonero.com,http://www.marmolesquinonero.com,Construcció i derivats,41.300266,2.008349,"(41.300266, 2.008349)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4552,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"PINTURAS GAVÀ, SL","carrer principal, 1, 08850 Gavà",936622891 ,marymol@marymol.net,http://www.marymol.net,Construcció i derivats,41.305855,1.979145,"(41.305855, 1.979145)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4551,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Herrero Pack, SA","carrer progrés, 1-23, 08850 Gavà",936333500 ,,,Arts gràfiques - Impressió - Paper,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4490,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"ESKA GRAPHIC BOARD IBÉRICA, SA","carrer progrés, 1-23, 08850 Gavà",936380931 ,,http://www.eskagraphicboard.com,Arts gràfiques - Impressió - Paper,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4531,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Montajes y Acabados, SL","carrer progrés, 16-18, 08850 Gavà", ,,,Automoció,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1081,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Montajes y Acabados SL,"carrer progrés, 16-18, 08850 Gavà",936533054 ,myasl@myasl.es,http://www.myasl.es,Automoció,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5208,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Euro-Continental Transit, SA","carrer progrés, 29, 08850 Gavà",934751966 ,ect@euro-continental.com,http://www.euro-continental.com,Logística - Distribució - Transport,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4452,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Italsan, SL","carrer progrés, 29, 08850 Gavà",936303040 ,italsan@italsan.es,http://www.italsan.es,Construcció i derivats,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4512,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"MILLENIUM BABY, SL","carrer progrés, 35, 08850 Gavà",936366756 ,info@milleniumbaby.com,http://www.milleniumbaby.com,Altres serveis a empreses,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5104,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
El Bebé Aventurero,"carrer progrés, 35, 08850 Gavà",936370844 ,management@elbebeaventurero.com,http://www.elbebeaventurero.com,Tèxtil - Calçat - Confecció,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4437,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Bur-2000, SA","carrer progrés, 45, 08850 Gavà",936333319 ,info@bur2000.com,http://www.bur2000.com,Química - Farmàcia - Sanitat,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4383,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Aurilis Group Ibérica, SL","carrer progrés, 46-48, 08850 Gavà",936628999 ,aurilis.iberica@aurilis.fr,http://www.aurilis.com/es/,Automoció,41.29787,2.009111,"(41.29787, 2.009111)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4371,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Baixgràfic SLL,"carrer progrés, 46-48, 08850 Gavà",936382670 ,baixgrafic@baixgrafic.com,,Arts gràfiques - Impressió - Paper,41.29787,2.009111,"(41.29787, 2.009111)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5185,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Litografia Rosés, SA","carrer progrés, 54-60, 08850 Gavà",936333737 ,info@litografiaroses.com ,http://www.litografiaroses.com,Arts gràfiques - Impressió - Paper,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4539,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Formigons JMSS Coop. Cltda.,"carrer riu fluvià, 25, 08850 Gavà",936383570 ,,,Construcció i derivats,41.3127,1.988693,"(41.3127, 1.988693)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4462,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"ERCA-Formseal Ibérica, SA","carrer roda, 10, 08850 Gavà",936623800 ,ercasa@oystar.erca-formseal.es ,http://www.erca-formseal.com,Siderúrgia - Metal·lúrgia - Maquinària,41.30371,2.005636,"(41.30371, 2.005636)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4448,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Hans E. Rüth, SA","carrer roda, 14, 08850 Gavà",932047211 ,import@herim.es,http://www.herim.es,Química - Farmàcia - Sanitat,41.30371,2.005636,"(41.30371, 2.005636)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4486,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Grup Sevica,"carrer rourell, 33, 08850 Gavà",936473021 ,info@grupsevica.com,http://www.grupsevica.com,Tèxtil - Calçat - Confecció,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4482,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Tipolit, SA","carrer rourell, 36, 08850 Gavà",936459990 ,tipolit@tipolit.es,http://www.tipolit.es,Arts gràfiques - Impressió - Paper,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5194,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Cuas 90, SL","carrer sant joan, 12, 08850 Gavà",936380171 ,,,Construcció i derivats,41.30483,2.002037,"(41.30483, 2.002037)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4421,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Pineba,"carrer sant lluís, 49, 08850 Gavà",936383113 ,,,Construcció i derivats,41.307068,1.996936,"(41.307068, 1.996936)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4580,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Transportes Campmany, SA","carrer sant nicasi, 55, 08850 Gavà",936380776 ,campmany@campmany.net,,Logística - Distribució - Transport,41.30583,2.002883,"(41.30583, 2.002883)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4645,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Instal·lacions Cassasola,"carrer segle xx, 35, 08850 Gavà",936621870 ,,,Construcció i derivats,41.30894,1.996903,"(41.30894, 1.996903)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4502,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Cer-cat 2000, SL","carrer tarragona, 19, 08850 Gavà",936383296 ,info@cercat2000.com,http://www.cercat2000.com,Siderúrgia - Metal·lúrgia - Maquinària,41.299534,2.013079,"(41.299534, 2.013079)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4396,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Gelats & Sabors, SL","carrer tarragona, 23, 08850 Gavà",902152718 ,a@gelatsisabors.com,http://www.gelatsisabors.com,Alimentació - Restauració,41.29936,2.013066,"(41.29936, 2.013066)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4476,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Kopa Electrónica, SL","carrer tarragona, 30, 08850 Gavà",936333850 ,kopa@kopa.biz,http://www.kopa.biz,Electricitat - Electrònica - Òptica,41.298687,2.013663,"(41.298687, 2.013663)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4533,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Eduardo Puig, SA","carrer tarragona, 33, 08850 Gavà",936333790 ,gava@ferrospuig.com,http://www.ferrospuig.com,Siderúrgia - Metal·lúrgia - Maquinària,41.29876,2.013758,"(41.29876, 2.013758)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4436,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Meohm, SL","carrer tarragona, 36, 08850 Gavà",936620294 ,comercial@cedesl.com,http://www.cedesl.com,Siderúrgia - Metal·lúrgia - Maquinària,41.298096,2.014547,"(41.298096, 2.014547)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4557,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Cede, SL","carrer tarragona, 36, 08850 Gavà",936620294 ,comercial@cedesl.com,http://www.cedesl.com,Electricitat - Electrònica - Òptica,41.298096,2.014547,"(41.298096, 2.014547)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4393,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Zafra i Pellicer Fusters, SL","carrer tarragona, 46, 08850 Gavà",936389270 ,jzafra@zafrapellicer.com,http://www.zafrapellicer.com,Fusta - Mobles,41.29715,2.015867,"(41.29715, 2.015867)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4658,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Peal Group Bcn, SL","carrer tarragona, 48, 08850 Gavà",936335244 ,info@pealgrup.com,http://www.pealgrup.com/,Altres serveis a empreses,41.29709,2.01578,"(41.29709, 2.01578)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5082,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Instalaciones Feima, SL","carrer tarragona, 48, 08850 Gavà",936334420 ,info@instalaciones-feima.com,http://www.instalaciones-feima.com,Construcció i derivats,41.29709,2.01578,"(41.29709, 2.01578)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4504,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Sauer Hispania, SA","carrer tarragona, 8-10, 08850 Gavà",936382455 ,ventas@rodillos-hispania.com,http://www.sauer-roller.com,Química - Farmàcia - Sanitat,41.301506,2.010317,"(41.301506, 2.010317)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4615,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Piscinas Rumafi, SL","carrer tecnologia, 1, 08850 Gavà",936621260 ,rumafi@piscinasrumafi.es,http://www.piscinasrumafi.es,Construcció i derivats,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4583,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Gavasa, SA","carrer treball, 21, 08850 Gavà",936625614 ,,,Construcció i derivats,41.3082,1.995013,"(41.3082, 1.995013)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4475,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Pedro Bellonga Lecina,"carrer tresols, 71, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.30564,1.998778,"(41.30564, 1.998778)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4579,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"MKR, reciclaje de fluidos","carrer vandellòs, 2-a, 08850 Gavà",630024700 ,info@mkr.es,http://www.mkr.es,Gestió de residus,41.267544,2.008186,"(41.267544, 2.008186)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4564,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Bioconservación, SA","carrer vapor, 10-12, 08850 Gavà",936623254 ,bioconservacion@bioconservacion.com,http://www.bioconservacion.com,Química - Farmàcia - Sanitat,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4380,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Tecnoalarm España, SL","carrer vapor, 18, 08850 Gavà",936622417 ,administracion@tecnoalarm.es,http://www.tecnoalarm.es,Altres serveis a empreses,41.29842,2.014837,"(41.29842, 2.014837)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4640,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"AYRPALETS, SL","carrer vapor, 2, 08850 Gavà", ,,,Recuperació industrial - deixalleria,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=83,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
RABART SA,"carrer vapor, 4, 08850 Gavà",936621666 ,,http://www.rabart.net,Alimentació - Restauració,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4425,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Eurodelca, SA","carrer vapor, 6, 08850 Gavà",934745300 ,eurodelca@eurodelca.com,http://www.eurodelca.com,Química - Farmàcia - Sanitat,41.299072,2.015754,"(41.299072, 2.015754)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4453,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Regulación de Motores, SA","carrer vapor, 8, 08850 Gavà",933705800 ,regulator@regulator-cetrisa.com,http://www.regulator-cetrisa.com,Siderúrgia - Metal·lúrgia - Maquinària,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4606,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Cris Cosmètics, SL","carrer àtom, 23, 08850 Gavà",936627765 ,cristina@risfort.com,http://www.risfort.com,Química - Farmàcia - Sanitat,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4420,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Carretillas 2000, SL","carrer àtom, 25, 08850 Gavà",936335980 ,barcelona@carretillas2000.com,http://www.carretillas2000.com,Siderúrgia - Metal·lúrgia - Maquinària,41.29651,2.005571,"(41.29651, 2.005571)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4391,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Componentes Oleo Hidraulicos, SA","carrer àtom, 3, 08850 Gavà",936380278 ,ccohisa@cohisa.es,http://www.cohisa.es,Química - Farmàcia - Sanitat,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4407,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Comeyso S.L.,"carrer àtom, 43, 08850 Gavà",936850123 ,comeyso@comeyso.com,http://www.comeyso.net,Siderúrgia - Metal·lúrgia - Maquinària,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5189,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Instalaciones Jgiol ,"carretera santa creu de calafell, 104, 08850 Gavà",689372593 ,info@instalacionesjgiol.es,http://www.instalacionesjgiol.es,Tecnologia - Telecomunicacions,41.30089,2.005773,"(41.30089, 2.005773)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5210,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Seguridad Profesional Mediterranea, S.A.","carretera santa creu de calafell, 14, 08850 Gavà",902101118 ,info@spmseguridad.com,http://spmseguridad.com,Altres serveis a empreses,41.30547,2.01038,"(41.30547, 2.01038)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5092,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Miguel Castillo Safont,"carretera santa creu de calafell, 32, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.30458,2.009321,"(41.30458, 2.009321)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4562,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Leds Lighting Energy, SL","carretera santa creu de calafell, 43, 4rt 4a, 08850 Gavà",931010019 ,,http://www.ledsbcn.com,Electricitat - Electrònica - Òptica,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5118,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Initial Facilities Services SAU,"carretera santa creu de calafell, 81, 08850 Gavà",902887806 ,,http://www.initial-fs.es,Altres serveis a empreses,41.30263,2.007569,"(41.30263, 2.007569)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5179,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Pintor Antonio Cruz Fernández,"passatge transversal, 17, 08850 Gavà",936622552 ,,,Construcció i derivats,41.305687,2.009882,"(41.305687, 2.009882)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4582,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"PRODUCTOS ORGANIZ. LOGÍSTICA TRADE INTERNAC., SA","passeig ferrocarril, 381, 08850 Gavà",936334640 ,info.es@polti.com,http://www.polti.es,Siderúrgia - Metal·lúrgia - Maquinària,41.28692,1.993291,"(41.28692, 1.993291)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4587,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Tamansa-Talleres Manutención, SAU","passeig ferrocarril, 383, 08850 Gavà",936335873 ,tamansa@tamansa.com,http://www.tamansa.com,Siderúrgia - Metal·lúrgia - Maquinària,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4636,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
prova subscriptor,"plaça jaume balmes, 12, 08850 Gavà", ,,,Alimentació - Restauració,41.304115,1.999914,"(41.304115, 1.999914)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1541,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Jaime Campmany, SA","plaça leonardo da vinci, 1, 08850 Gavà",936389284 ,jc@campmany.es,http://www.campmany.es,Arts gràfiques - Impressió - Paper,41.286816,1.993335,"(41.286816, 1.993335)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4516,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"MEIS DORADO, SCP","rambla pompeu fabra, 129, 08850 Gavà", ,,,Logística - Distribució - Transport,41.30909,2.00353,"(41.30909, 2.00353)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=81,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Corporació Alimentaria Guissona, SA","carrer barcelona, 11, 08850 Gavà",936334455 ,cash.gava@bonarea.com,http://www.cag.es,Alimentació - Restauració,41.30193,2.008977,"(41.30193, 2.008977)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4415,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Juan José Crespo (Taller),"carrer barcelona, 17, 08850 Gavà",936384435 ,,,Fusta - Mobles,41.30148,2.008294,"(41.30148, 2.008294)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4528,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Mat Stamp, SL","carrer barcelona, 43, 08850 Gavà",936381845 ,matstamp@rutalia.net,http://www.rutalia.net/empresa/CAS/mat-stamp-sl.html,Siderúrgia - Metal·lúrgia - Maquinària,41.299538,2.005539,"(41.299538, 2.005539)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4554,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Enrique Mogino Gallego,"carrer begues, 19, 08850 Gavà",936620743 ,,,Logística - Distribució - Transport,41.30895,1.998786,"(41.30895, 1.998786)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4446,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Multimarketing,"carrer cadaqués, 8 ap. 10, 08850 Gavà",605565411 ,coen@multimarketing.es,http://www.multimarketing.es,Publicitat - Màrqueting - Disseny gràfic,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4570,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Blauter Produccions, SL","carrer castelló, 1, 08850 Gavà",685844123 ,,http://www.blauter.com,Altres serveis a empreses,41.30107,2.005174,"(41.30107, 2.005174)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4664,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
