EXPEDIENTE;ASUNTO;F_ADJUDICA;PRECIO;EMPRESA
2014/CONOOR0104;APROBACIÓN DEL GASTO Y ABONO DE FACTURAS 61,62,63,64 Y 65 A EUSKALDUNAK SL POR DIVERSOS TRABAJOS EN LA ENTRADA EXTERIOR IZQUIERDA DEL CEMENTERIO EL SALVADOR;10/09/2014;12.874,40;EUSKALDUNAK, S.L.
2014/CONASO0237;"IMPARTICIÓN DEL PROGRAMA FORMATIVO ""DISEÑO DE SOLUCIONES PARA DISPOSITIVOS MOVILES"" COFINANCIADO POR LANBIDE A TRA- VES DEL DECRETO 327/2003 DE 23 DICIEMBRE";11/09/2014;10.500,00;VAQUERO SANTIAGO, DAVID
2014/CONASO0242;"PROGRAMA FORMATIVO ""BIOCLIMÁTICA: TÉCNICAS Y HERRAMIENTAS DE CONTROL Y DISEÑO"". ACTUACIÓN ENMARCADA EN EL PROYECTO EMPLEO LOCAL 10, COF.50% FSE";11/09/2014;10.285,00;IG KARRATU ARKITEKTURA
2014/CONASO0243;IMPARTICIÓN DEL PROGRAMA FORMATIVO CONSULTOR/A SAP EN SOLUCIONES DE GESTIÓN EMPRESARIAL;11/09/2014;19.360,00;OREKA INFORMATION TECHNOLOGIES, S.L.
2014/CONAEI0247;SERVICIO DE ASESORAMIENTO Y ASISTENCIA TÉCNICA PARA LA REDACCIÓN DE UN PROYECTO DE REVITALIZACIÓN DEL EJE CALLE HERACLIO FOURNIER,LOS HERRAN,PORTAL DE LEGUTIANO;12/09/2014;20.328,00;INFORMACIÓN Y DESARROLLO S.L. (INFYDE)
2014/CONASO0285;ASISTENCIA TÉCNICA URGENTE PARA EL DIMENSIONAMIENTO Y ELABORACIÓN DE METODOLOGÍA PARA LA CONFIGURACIÓN DEL EQUIPO DE ATENCIÓN;12/09/2014;21.659,00;XU BIDER YOU ASESORES, S.L.
2014/CONSOC0065;CONTRATO MENOR SUMINISTRO PAN Y HARINAS;16/09/2014;11.000,00;OKINDEGI GOZOTEGI EL TALO S.L.
2014/CONOOR0108;APROBACIÓN DEL GASTO Y ABONO DE LAS FACTURAS Nº 88 A 111 DE BALGORZA SNA SL CORRESPONDIENTES A REPARACIONES EN DIVERSAS CALLES DE LA CIUDAD;17/09/2014;38.352,68;BALGORZA SNA, SL
2014/CONASO0223;"REPARACIÓN, TRANSPORTE Y MONTAJE DE LA ANTIGUA MAQUETA DEL CASCO MEDIEVAL DE VITORIA GASTEIZ. COFINANCIADO FOR EL ""FONDO EUROPEO DE DESARROLLO REGIONAL""";18/09/2014;20.568,79;VICTOR Mª SANZ YRAZU ECHEVARRÍA
2014/CONOOR0090;TRABAJOS DE PLANTACIONES EN EL ENTORNO DEL VIVERO MUNICIPAL DE VITORIA-GASTEIZ;18/09/2014;9.931,35;VIVEROS PERICA S.A.
2014/CONASO0291;II TALLER DE ATENCIÓN CIUDADANA;18/09/2014;800,00;OLARTE DESARROLLO DE PERSONAS S.L.
2014/CONASP0271;ACTIVIDADES URBANAS- RUMBO AL DEPORTE (OTOÑO-INVIERNO 2014/2015);20/09/2014;4.008,00;INGURU ABENTURA KOOP ELKARTE TXIKIA
2014/CONASP0272;ACTIVIDADES DE MONTAÑA-RUMBO AL DEPORTE (OTOÑO-INVIERNO 2014/2015);20/09/2014;21.220,00;INGURU ABENTURA KOOP ELKARTE TXIKIA
2014/CONASO0307;REPARACIÓN DE UN CAMIÓN AUTOBOMBA T-4 DEL SERVICIO DE EXTINCIÓN DE INCENDIOS;22/09/2014;14.111,75;ROSENBAUER ESPAÑOLA, S.A.
2014/CONASO0366;REPARACIÓN DE FIGURAS Y ESTRUCTURAS DEL NACIMIENTO MONUMENTAL DE LA FLORIDA DE VITORIA-GASTEIZ;23/09/2014;7.139,00;PLATEA SERVICIOS E INFRAESTRUCTURAS CULTURALES
2014/CONOOR0109;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A INSTALACIONES ELÉCTRICAS EKOARGI POR INSTALACIÓN DE UN SISTEMA DE TELECONTROL EN EL ALUMBRADO DEL CASCO MEDIEVAL;24/09/2014;17.713,78;EKOARGI INSTALACIONES ELECTRICAS
2014/CONASO0312;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A PERKINELMER ESPAÑA SL POR REPARACIÓN DEL ICP INSTRUMENT DEL LABORATORIO MUNICIPAL;25/09/2014;5.677,32;PERKINELMER ESPAÑA, SL
2014/CONASO0313;APROBACION DEL GASTO Y ABONO DE FACTURA A SERVICIOS Y CARRETILLAS ELEVADORAS SA POR REPARACION DE CARRETILLA ELEVADORA DEL CEMENTERIO EL SALVADOR;25/09/2014;3.573,09;SERVICIOS Y CARRETILLAS ELEVADORAS SA SEYCE
2014/CONASO0314;TALLER CONTROL DE EMOCIONES PARA PERSO NAS EN RIESGO DE EXCLUSIÓN SOCIAL, CMAS PERIODO: 02/10/14 - 18/12/14;25/09/2014;1.878,53;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2014/CONSOC0075;CONTRATO MENOR DE INSTALACIÓN DE UN PORTERO AUTOMÁTICO EN EL CENTRO MUNICIPAL DE EMPRESAS DE JUNDIZ (C/ MENDIGORRITXU, 138);25/09/2014;4.555,34;ALAVESA DE TELECOMUNICACIONES Y ELECTRICIDAD SL
2014/CONASO0315;"TALLER ""BARRE EGITEN"", CMAS PERIODO: 02/10/14 - 18/12/14";25/09/2014;1.878,53;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2014/CONOOR0112;SUSTITUCION DE CUBIERTA DE PIZARRA EN CEP DIVINO MAESTRO (PRIMARIA);25/09/2014;8.622,52;ALBAÑILERÍA DURÁN, S.L.
2014/CONOOR0115;REPARACION DE TORRES DE ILUMINACION EN DISTINTOS ESPACIOS DEL C.D.MENDIZORROTZA;30/09/2014;4.086,17;URARTE MONTAJES ELECTRICOS S.A.L.
2014/CONSOC0078;DOTACIÓN DE SISTEMA DE ALARMAS EN PISO DE ACOGIDA SERVICIO DE INSERCIÓN SOCIAL;30/09/2014;2.163,72;INGENIERIA DE SEGURIDAD DE VITORIA Y ÁLAVA, S.L.U.
2014/CONASO0330;APROBACION ADJUDICACION DEL CONTRATO MENOR DE TALLER DE ARREGLOS DE ROPA EN BIDELA - DEL 01/10 AL 23/12/14;30/09/2014;3.068,00;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2014/CONASO0266;IMPARTICIÓN DEL PROGRAMA FORMATIVO: COMERCIALIZACIÓN DE PRODUCTOS RELACIONADOS CON LAS ENERGÍAS RENOVABLES;01/10/2014;11.979,00;F&M ENERGIA SCOOP PEQUEÑA
2014/CONOOR0117;ACONDICIONAMIENTO DE ESPACIOS PARA EL SERVICIO DE EUSKERA EN EL CENTRO CULTURAL MONTEHERMOSO;01/10/2014;22.171,52;AKTUA REHABILITACION INTEGRAL S.COOP.
2014/CONSOC0060;SUMINISTRO E INSTALACION DE TELEFONOS IP PARA AMVISA Y OREITIASOLO EN EL MARCO DE TELECOMUNICACIONES;06/10/2014;2.868,00;UTE TDE-TME CCCV
2014/CONASO0336;ALQUILER Y ASISTENCIA DE CARROZAS PARA EL DESFILE DE OLENTZERO 2014;06/10/2014;11.990,00;JONAN BASTERRETXEA IRURZUN
2014/CONASP0334;CONTRATO MENOR PROGRAMA DE INTERVENCION EN URGENCIAS SOCIALES;08/10/2014;6.248,57;BETA
2014/CONOOR0106;OBRAS DE CREACIÓN DE UNA CHARCA FORESTAL EN EL INTERIOR DEL MONTE COMUNAL DE CHARACAS PERTENECIENTE A LA JUNTA ADMINISTRATIVA DE CERIO;10/10/2014;5.729,46;VIVEROS ESKALMENDI, S.L.
2014/CONSOC0083;SUMINISTRO, MONTAJE Y PUESTA EN MARCHA DE UN PUNTO DE INFORMACIÓN DESASISTIDA ACCESIBLE (PIDA) EN LA ESTACIÓN DE AUTOBUSES DE VITORIA-GASTEIZ;10/10/2014;9.619,50;LAFORJA SISTEMAS, S.L.
2014/CONSOC0059;SUMINISTRO,INSTALACIÓN Y CONFIGURACIÓN DE UN TERMINADOR DE TÚNELES SSL JUNIPER;15/10/2014;9.801,00;NEXTEL S.A.
2014/CONSOC0067;SUMINISTRO DE UN VEHÍCULO AUXILIAR PARA EL CEMENTERIO DE EL SALVADOR;15/10/2014;16.200,00;JUALAZ MOTOR S.L.
2014/CONOOR0123;TRABAJOS DE ADECUACION DE PUERTAS AUTOMATICAS A NORMATIVA;15/10/2014;15.288,00;SEMAGAR, S.L.
2014/CONSOC0092;APROBACIÓN Y ADJUDICACIÓN DEL CONTRATO MENOR PARA LA ADQUISICIÓN DE DOS VEHÍCULOS PARA EL PARQUE MÓVIL DEL AYUNTAMIENTO DE VITORIA-GASTEIZ;16/10/2014;14.850,00;BBVA AUTORENTING SA
2014/CONAEI0340;APROBACIÓN DEL GASTO Y ABONO DE FACTURA HONORARIOS MODELIZACIÓN Y ANÁLISIS DE LA CAPACIDAD POTENTE DE LA ESTRUCTURA DE LA CUBIERTA DE ZONA POLIDEPORTIVA EUROPA;16/10/2014;8.712,00;IDOM INGENIERIA Y CONSULTORIA S.A
2014/CONASO0283;REALIZACIÓN DE ENCUESTA DE SATISFACCIÓN DE LA RED DE BIBLIOTECAS MUNICIPALES;21/10/2014;8.200,00;QUOR, S.L.
2014/CONASP0316;TRABAJOS DE CONTROL DE LOS DORMIDEROS URBANOS DE ESTORNINO EN LA CIUDAD DE VITORIA-GASTEIZ, CAMPAÑA 2014-2015;22/10/2014;7.344,70;LOCUS AVIS, S.L.
2014/CONSOC0084;CONTRATO MENOR DE SUMINISTRO DE TOLDOS DE INVIERNO PARA LOS MERCADOS AMBULANTES DE SIMÓN BOLIVAR Y LAKUA ARRIAGA;22/10/2014;7.187,40;COMERCIAL PRESENTACION
2014/CONOOR0124;TRABAJOS DE RECONVERSIÓN DE ESPACIO DESTINADO A PELUQUERÍA EN NUEVA SALA POLIVALENTE EN CSCM SAN PRUDENCIO;22/10/2014;17.585,92;SUCESORES DE PAVON S.L.
2014/CONSOC0061;SUMINISTRO DE TELEFONOS IP Y LICENCIAS AASTRA PARA LA PLATAFORMA MXONE;23/10/2014;17.999,96;TELEFÓNICA DE ESPAÑA S.A.U.
2014/CONASO0337;CONTRATACIÓN DE LA ORGANIZACIÓN DEL ENCUENTRO DE QUESOS ARTESANOS LOS DIAS 13 Y 14 DE SEPTIEMBRE DE 2014, DENTRO DE LOS ACTOS DE LA CAPITALIDAD GASTRONOMICA;23/10/2014;15.000,00;EUMEDIA, SA
2014/CONSOC0096;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A ELDUR POR SUMINISTRO Y COLOCACIÓN DE SISTEMA DE ALARMA EN ALMACENES DE PUENTE ALTO;23/10/2014;7.480,22;ELDUR MANTENIMIENTO S.L.L.
2014/CONSOC0097;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A BERDIN ALAVA SL POR SUMINISTRO DE MATERIAL PARA MANTENIMIENTO DE ALUMBRADO PÚBLICO;23/10/2014;4.638,41;BERDIN ALAVA, S.L.
2014/CONSPE0098;APROBACION DEL GASTO Y ABONO DE FACTURA A EURIA POR RECOGIDA, TRANSPORTE Y TRATA MIENTO DE ANIMALES MUERTOS DURANTE EL MES DE AGOSTO DE 2014;23/10/2014;3.420,96;SERVICIOS AGROFORESTALES EURIA S.L.
2014/CONSOC0101;SUMINISTRO DE CARAMELOS PARA LAS CABALGATAS DE REYES Y OLENTZERO;23/10/2014;7.199,50;INTERVAN, S.A.
2014/CONASO0347;18 CABALLOS Y SUS CORRESPONDIENTES CABALLISTAS PARA LA CABALGATA DE REYES;23/10/2014;7.500,00;HERNANDEZ PEDRERO, MARIA ELENA
2014/CONOOR0126;RENOVACION DE ASEOS DE PLANTA PRIMERA EN CEP LUIS ELEJALDE (INFANTIL+PRIMARIA);24/10/2014;56.152,57;EGAINOR ASESORES CONSTRUCTORES, S.L.
2014/CONSOC0073;SUMINISTRO DE MESAS Y SILLAS PARA CSCM DE JUDIMENDI;27/10/2014;;ALMACENES CAYPE, S.A.
2014/CONSOC0073;SUMINISTRO DE MESAS Y SILLAS PARA CSCM DE JUDIMENDI;28/10/2014;;MONTTE, S.L.
2014/CONOOR0134;PINTURA DE CARPINTERIA EXTERIOR EN OFICINAS DEL AYUNTAMIENTO EN FRAY ZACARIAS;28/10/2014;4.712,08;PINTURAS DAVID NAVARRO MUÑOZ
2014/CONASO0333;ASISTENCIA TÉCNICA DE LA AUDITORIA INTERNA DEL SISTEMA DE GESTIÓN DE CALIDAD ISO 9001:2008 DEL DEPARTAMENTO DE PROMOCIÓN ECONÓMICA Y DE EMPLEO;30/10/2014;1.815,00;3 & 3 1901 SL
2014/CONAEI0354;REDACCIÓN DEL PROYECTO DE EJECUCIÓN Y DIRECCIÓN DE OBRAS DE ACONDICIONAMIENTO TÉRMICO DE FACHADA NORTE, SUR Y OESTE DEL PALACIO DE CONGRESOS EUROPA;30/10/2014;21.767,90;IDOM INGENIERIA Y CONSULTORIA S.A
2014/CONOOR0138;SUSTITUCION DE ILUMINACION EN VESTUARIOS DE PISCINAS EN EL POLIDEPORTIVO DE ABETXUKO;30/10/2014;6.229,08;ARABATEL INSTALACIONES S.L.
2014/CONSOC0058;COLOCACIÓN Y ACONDICIONAMIENTO DE CARPAS Y SONIDO E ILUMINACIÓN DEL ESCENARIO EN LA FIESTA CONMEMORATIVA DE LA CONVENCIÓN SOBRE LOS DERECHOS DEL NIÑO;31/10/2014;20.570,00;EVENTOKIT
2014/CONSPE0086;DESARROLLO DEL PROGRAMA INTEGRAL DEL CONSUMO DE FRUTA Y VERDURA;03/11/2014;17.882,06;CIBER - CENTRO DE INVESTIGACIÓN BIOMÉDICA EN RED INSTITUTO CARLOS III
2014/CONASO0379;ARRENDAMIENTO DE UN PABELLÓN EN LA AVENIDA DEL CANTÁBRICO Nº 16 PARA MONTAR LAS CARROZAS QUE PARTICIPAN EN LOS DESFILES DE LA CAMPAÑA DE NAVIDAD 14/15;03/11/2014;3.279,80;UGALDE AMILIBIA MARIA ICIAR
2014/CONASO0412;"ESPECTÁCULO ""CAMPANILLA"" EL DÍA 26 DE DICIEMBRE DE 2014";03/11/2014;8.000,00;DEKKER EVENTS, S.L.
2014/CONASO0329;SUMINISTRO MARCADOR DEPORTIVO PARA POLIDEPORTIVO ARRIAGA;04/11/2014;6.989,29;LEGO 2021
2014/CONOOR0129;SOTERRAMIENTO DE LA RED AÉREA DE BAJA TENSIÓN EXISTENTE EN LA ELM DE ASTEGUIETA;04/11/2014;17.953,28;IBERDROLA DISTRIBUCIÓN ELÉCTRICA S.A.U.
2014/CONOOR0139;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A NYPSA POR OBRAS DE DRENAJE DE CAMINO EN ARGANDOÑA;04/11/2014;3.801,34;NYPSA EMPRESA CONSTRUCTORA
2014/CONOOR0140;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A EXCAVACIONES MENDIOLA SA POR OBRAS DE ACONDICIONAMIENTO DE CAMINO DE LA SALCED A ENTRE MENDIOLA Y PUENTE ALTO;04/11/2014;7.013,20;EXCAVACIONES MENDIOLA, S.A.
2014/CONOOR0141;SUSTITUCION DE FALSOS TECHOS EN DISTINTOS ESPACIOS EN CASA DE LA MUSICA MUSIKETXEA;05/11/2014;7.732,58;DECORACIONES EN ESCAYOLA VASCONGADAS SL
2014/CONOOR0142;REPARACION DE ESCALERAS DE ACCESO A PLANTA PRIMERA EN CEP ARANTZABELA;05/11/2014;6.764,70;AKTUA REHABILITACION INTEGRAL S.COOP.
2014/CONOOR0143;TRABAJOS DE INSTALACIÓN RECEPTORA DE GAS EN EL CSCM LAKUA-ARRIAGA;05/11/2014;7.025,26;INSTALACIONES FOJANSA S.L.
2014/CONOOR0144;SUSTITUCION DE DUCHAS EN VESTUARIOS DE CANCHA EN CENTRO CIVICO LAKUA 03;05/11/2014;12.782,49;MURILLO FONTANERIA-CALEFACCION
2014/CONOOR0145;TRABAJOS DE LIMPIEZA DE CUBIERTA, CANALONES Y BAJANTES DE LAS PISTAS DE PADEL EN EL C.D. MENDIZORROTZA;05/11/2014;5.695,47;ZAINDU & KONPONDU S.L.
2014/CONSOC0085;SUMINISTRO, INSTALACIÓN Y PUESTA EN MARCHA DE DOS DISPLAY MULTIMEDIA EN LA NUEVA ESTACIÓN DE AUTOBUSES DE VITORIA-GASTEIZ;10/11/2014;13.636,70;LAFORJA SISTEMAS, S.L.
2014/CONSOC0114;SUMINISTRO DE PANTALLA DE LCD INCLUIDO SOPORTE PARA SALAS DEL PALACIO DE CONGRESOS EUROPA;10/11/2014;7.010,74;SARIKI ARABA, S.L.
2014/CONOOR0147;SUSTITUCION DE RED PARABALONES EN LAS INSTALACIONES DEPORTIVAS DE OLARANBE;11/11/2014;4.620,50;R.S. CERCADOS, S.L.
2014/CONOOR0148;PINTURA DE ZONA INFANTIL EN EL CEP JUDIMENDI (INFANTIL+PRIMARIA);11/11/2014;4.616,25;PINTURAS ATENA, S.A.
2014/CONOOR0149;TRABAJOS DE SUSTITUCION DE PARABALONES EN CAMPO DE FUTBOL ARRIAGA 13;11/11/2014;3.034,68;R.S. CERCADOS, S.L.
2014/CONASO0373;ORGANIZACIÓN DE TALLERES SOBRE EL USO SOCIAL DEL EUSKERA;12/11/2014;12.000,00;TOPAGUNEA
2014/CONOOR0151;LIJADO Y BARNIZADO DE TARIMA DE GIMNASIO EN POLIDEPORTIVO ARIZNABARRA;12/11/2014;3.111,05;RAFAEL DECORACION, S.L.
2014/CONASO0409;SERVICIO DE SEGURIDAD PARA LA VIGILANCIA DE LA GRUTA DEL NACIMIENTO DE LA FLORIDA;12/11/2014;5.966,64;OMBUDS CIA. DE SEGURIDAD, S.A.
2014/CONOOR0133;OBRAS DE ADECUACIÓN DE CAMINO ENTRE ARETXABALETA Y ARMENTIA, EN EL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;13/11/2014;37.591,92;EXCAVACIONES RODO, S.COOP.LTDA.
2014/CONOOR0136;INSTALACIÓN DE ALUMBRADO ORNAMENTAL DE PINOS NAVIDEÑOS Y BELEN DE LA FLORIDA AÑO 2014;13/11/2014;18.240,00;ELCA MONTAJES ELECTRICOS  S.A.
2014/CONOOR0152;SUSTITUCION DE MALLAS EN FRONTONES DE PISTAS POLIDEPORTIVAS SAN MARTIN;14/11/2014;4.272,51;R.S. CERCADOS, S.L.
2014/CONASO0353;SERVICIO PARA EL ESTUDIO Y PROPUESTA DE ACTUALIZACIÓN Y AMPLIACIÓN SOBRE EL PRODUCTO TSM DE LA EMPRESA IBM;17/11/2014;6.413,00;IBM INERNATIONAL BUSINESS MACHINES S.A.
2014/CONOOR0128;OBRAS DE ACONDICIONAMIENTO PAISAJÍSTICO DEL ENTORNO DE MENDIZABALA;19/11/2014;35.236,29;VIVEROS PERICA S.A.
2014/CONOOR0154;SUSTITUCION DE LUCERNARIOS EN SALA DE EXPOSICIONES EN CENTRO CIVICO IPARRALDE;19/11/2014;8.641,72;ALIMCO S.L.
2014/CONOOR0155;SUSTITUCION CARGADEROS DE VENTANALES DE PISCINA Y TRABAJOS EN FACHADA DEL CENTRO CIVICO JUDIMENDI;19/11/2014;17.739,84;CRESA S.L.
2014/CONOOR0156;TRABAJOS DE SUSTITUCION DE PUERTAS INTERIORES DE PLANTAS 1ª, 2ª Y 3ª EN CEP JUDIMENDI (INFANTIL+PRIMARIA);19/11/2014;22.269,80;PUERTAS FOURNIER S.C.
2014/CONOOR0157;REPARACION DE HIJUELOS Y CANALONES EN EL POLIDEPORTIVO DEL CENTRO CIVICO IPARRALDE;19/11/2014;4.477,00;CONSTRUCCIONES J.C. MUÑOZ
2014/CONASO0408;ALQUILER DEL EQUIPO DE SONIDO E ILUMINACIÓN PARA LAS ACTUACIONES PROGRAMADAS EN LA CANCHA DE MENDIZORROZA DURANTE LOS DÍAS 26,27 Y 29/12 Y 2/01/15;19/11/2014;7.792,40;SONORT
2014/CONASO0343;ASISTENCIA TÉCNICA PARA REALIZACIÓN DE TAREAS EN CUMPLIMIENTO DE OBLIGACIONES DERIVADAS DE LAS LEYES DE TRANSPARENCIA, ADMINISTRACIÓN PÚBLICA VASCA Y LOPD;20/11/2014;21.765,12;GRUPO CORPORATIVO GFI NORTE, S.L.
2014/CONOOR0127;REPARACIÓN DE CAMINO EN ZALDIARAN SITUADO EN BERROSTEGUIETA-ZUAZO Y ESQUIBEL-GOMETXA EN EL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;20/11/2014;6.757,49;SUCESORES DE PAVON S.L.
2014/CONOOR0130;OBRAS DE REPAACIÓN DE CAMINO EN ARECHAVALETA-GARDELEGUI, EN EL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;20/11/2014;15.091,74;SUCESORES DE PAVON S.L.
2014/CONOOR0131;OBRAS DE REPARACIÓN DEL CAMINO DESDE LA ERMITA DE SAN CRISTOBAL AL MONTE EN FORONDA Y ARTAZA EN EL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;20/11/2014;12.513,14;SUCESORES DE PAVON S.L.
2014/CONOOR0132;OBRAS DE REPARACIÓN DEL CAMINO DE LOS PANADEROS EN LA ELM DE ARGANDOÑA, EN EL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;20/11/2014;25.567,72;SUCESORES DE PAVON S.L.
2014/CONSOC0118;FABRICACIÓN, TRANSPORTE Y COLOCACIÓN DE EQUIPAMIENTO GENERAL EN VESTUARIOS DE DIVERSAS INSTALACIONES MUNICIPALES;20/11/2014;6.836,25;ELKSPORT DISTRIBUICIONES, S.L.
2014/CONOOR0159;SUSTITUCION DE CARPINTERIA EXTERIOR DEL CP SAMANIEGO;20/11/2014;30.855,00;LC SISTEMAS CARPINTERIA DE ALUMINIO
2014/CONOOR0135;OBRAS DE ADECUACIÓN PAISAJÍSTICA DEL ENTORNO DEL RÍO BATÁN;21/11/2014;14.523,34;BALGORZA  S.A
2014/CONAPR0372;REDACCIÓN DEL PROYECTO Y DIRECCIÓN DE OBRA PARA EJECUCIÓN DE RAMPA EN CSCM ARAMBIZKARRA;21/11/2014;3.267,00;ORTIZ DE LANDALUCE MIÑON, ANA
2014/CONASO0383;ELABORACIÓN DE LAS FUNCIONES NECESARIAS PARA LA ADECUACION DEL SISTEMA WIFI ACTUAL A LAS NECESIDADES DEL SERVICIO DE CONGRESOS;21/11/2014;19.716,95;NEXTEL S.A.
2014/CONASO0401;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR DE TRABAJOS DE REFUERZO DE FURGONETA PARA TRANSPORTE DE ANIMALES DEL CENTRO DE PROTECCIÓN ANIMAL;21/11/2014;4.803,70;TALLERES GORBEA BI, SL TALLERES Y SERVICIOS DE AUTOMOCIÓN
2014/CONASO0352;ELABORACIÓN DE CONTENIDOS FORMATIVOS PARA LOS TRABAJADORES DE LAS OFICINAS DE ATENCIÓN DE LA RED;24/11/2014;20.570,00;ENTELGY IBAI, S.A.
2014/CONOEX0137;"RESTAURACIÓN DEL MURAL DENOMINADO ""EL TRIUNFO DE VITORIA"" SITO EN C/ SANTA MARÍA, 9 DENTRO DEL CASCO MEDIEVAL DE VITORIA GASTEIZ.";24/11/2014;4.235,00;WERCKMEISTER, S.L.
2014/CONSOC0108;SUMINISTRO DE ELECTRONICA WIFI PARA LA ESTACION DE AUTOBUSES;24/11/2014;4.537,50;NEXTEL S.A.
2014/CONSOC0109;SUMINISTRO DE ELECTRÓNICA DE RED PARA LA ESTACIÓN DE AUTOBUSES;24/11/2014;6.928,46;IZERTIS EASO, S.A.U.
2014/CONASO0406;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A ROS ROCA SA POR REPARACIÓN DE VENTILADOR 1 DE LA CENTRAL DE RECOGIDA NEUMÁTICA;24/11/2014;8.397,18;ROS ROCA, S.A.
2014/CONSOC0113;ADQUISICIÓN DE UN VEHÍCULO USADO PARA EL SERVICIO DE PAISAJE URBANO;25/11/2014;10.883,95;ABERDONIA, S.L.
2014/CONOOR0146;OBRAS DE AMPLIACIÓN DE ALUMBRADO PÚBLICO EN LA ELM DE ARTAZA;25/11/2014;3.683,39;CONSTRUCCIONES AGUILLO S.A.
2014/CONSPE0121;SUMINISTRO DE UN SISTEMA DE GESTIÓN PARA EL SERVICIO DE FACTURACIÓN DE EQUIPAJE Y PAQUETERÍA EN LA NUEVA ESTACIÓN DE AUTOBUSES DE VITORIA-GASTEIZ;25/11/2014;15.000,00;CEAP INFORMÁTICA
2014/CONASO0402;CONTRATO DE SUMINISTRO E INSTALACIÓN DE HORNO DE VAPOR EN RESIDENCIA ARQUILLOS;25/11/2014;7.897,67;INSTALACIONES DE HOSTELERÍA GASTEIZ SLU
2014/CONOOR0167;CAMBIO DE SANEAMIENTOS EN ASEOS EN EI GURUTZMENDI;25/11/2014;3.290,90;FONTANERIA ANTONIO ELVIRA
2014/CONOOR0168;CAMBIO DE ACOMETIDA DE AGUA EN EMEI HAURTZARO;25/11/2014;4.634,30;ACCESI INTEGRAL S.C.
2014/CONASO0410;SERVICIOS DE EDICIÓN DEL CATÁLOGO DE PRODUCTOS EN EUSKARA 2014-2015;25/11/2014;18.870,00;GRAFICAS BIAK, S.L.
2014/CONASP0390;RENOVACIÓN PARA APLICAR LA FUNCIÓN DE VOZ READSPEAKER A LA PÁGINA WEB MUNICIPAL DEL AYUNTAMIENTO DE VITORIA-GASTEIZ;26/11/2014;5.898,75;READSPEAKER WEBSERVICES S.L.
2014/CONASP0394;CONTRATACIÓN DE SERVICIOS DE SELECCIÓN Y ENVIO DE NOTICIAS DE PRENSA ESCRITA;26/11/2014;18.452,50;ACCESO GROUP, S.L.
2014/CONOOR0169;PINTURA GENERAL DEL INTERIOR DEL CENTRO AMAIA;26/11/2014;13.771,40;PINTURAS RUBEN Y ASIER S.C.
2014/CONOOR0170;PINTURA DE FACHADAS Y CARPINTERIAS EXTERIORES DEL POLIDEPORTIVO ARRIAGA;26/11/2014;20.741,05;PINTURAS ATENA, S.A.
2014/CONOOR0171;REPARACION DE ALCORQUES DEL PATIO DEL CEP JUDIMENDI (INFANTIL+PRIMARIA);26/11/2014;4.938,92;AJAX S.C. ALBAÑILERIA Y REFORMAS
2014/CONSOC0129;SUMINISTRO DE DUCHAS PRESTOS TEMPORIZADOS EN PABELLONES URITIASOLO;26/11/2014;6.195,84;SALTOKI ARABA, S.A.
2014/CONSOC0130;SUMINISTRO DE MATERIAL PARA FABRICACION DE VALLAS EN PISTAS EXTERIORES DEL CENTRO CIVICO LAKUA 03;27/11/2014;10.614,56;ARCELORMITTAL SL
2014/CONSOC0131;DOTACIONES DE ENCIMERAS Y MOSTRADORES EN VARIAS ZONAS DEL CSCM ARRIAGA;27/11/2014;11.494,92;LAGUNKETA S.A.U.
2014/CONSOC0133;ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES BÁSICOS PARA LAS SALAS DE TALLER DEL C.C SALBURUA;27/11/2014;1.135,46;ALAVESA DE PINTURAS S.A.
2014/CONSOC0133;ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES BÁSICOS PARA LAS SALAS DE TALLER DEL C.C SALBURUA;27/11/2014;412,85;ARTIS KREATIVA
2014/CONSOC0133;ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES BÁSICOS PARA LAS SALAS DE TALLER DEL C.C SALBURUA;27/11/2014;789,98;INSTALACIONES ELÉCTRICAS GAR, S.L.
2014/CONSOC0133;ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES BÁSICOS PARA LAS SALAS DE TALLER DEL C.C SALBURUA;27/11/2014;796,39;ALFARERIA GARMENDIA, S.C.
