Associació de Comerciants;AssociacioVeinal;Títol;Propietari;Telèfon;Correu electrònic;Pàgina web;Enllaç 360º;Facebook;Twitter;Altra xarxa;Google Maps;Tienda Online
Pardinyes;AVV Pardinyes;Carpinteria de aluminio RAYJU;;973238198;info@rayju.es;http://www.rayju.es/;;;;;;
Pardinyes;AVV Pardinyes;Fransi Bicicletes;;973234178;;http://www.ciclesfransi.com/index.html;;https://www.facebook.com/pages/Cicles-Fransi/203194766439548;;;;
Pardinyes;AVV Pardinyes;Gimnàs Zenkiu;;973 187 011;info@zenkiu.com;http://www.zenkiu.com/;;https://www.facebook.com/Zenkiu-%C3%89s-Esport-201643356523510/?fref=ts;https://twitter.com/zenkiu;;;
Pardinyes;AVV Pardinyes;L'Estil;;973 192 104;LESTIL_PATINSESPORTS@HOTMAIL.ES;http://www.lestilpatinsesports.com/;;;;;;
Pardinyes;AVV Pardinyes;Mail Boxes;;973192933;mbe290@mbe.es;http://www.mbe.es/;;;;https://www.youtube.com/user/MBESpain;;
Pardinyes;AVV Pardinyes;Ofitópolis;;973192035;lleida@ofitropolis.com;http://www.ofitropolis.com/lleida/Default.aspx?f=0;;https://www.facebook.com/Ofitropolis12;;;;
Pardinyes;AVV Pardinyes;Pastisseria la Rambla;; 973 223 148;info@pastisserialarambla.com;http://www.pastisserialarambla.com/;;https://www.facebook.com/pages/Pastisseria-La-Rambla/172260342791003;;;;
Pardinyes;AVV Pardinyes;Perruqueria Bucles;;973 242 422 ;;;;;;;;
Pardinyes;AVV Pardinyes;Perruqueria i bellesa Pilar Quesada;;973220728;;;;https://www.facebook.com/peluqueriapilarquesada.pilarquesada;;;;
Pardinyes;AVV Pardinyes;Perruqueria Rossi;;973 244 962;info@perruqueriarossi.com;;;;;https://foursquare.com/v/perruqueria-rossi/4fb4cc75e4b0a0f95a046b1a;;
Pardinyes;AVV Pardinyes;Plusfresc - Baró de Maials;;973 23 94 90;plusfresc@plusfresc.es;http://www.plusfresc.es/;;;https://twitter.com/Plusfresc;;;
Pardinyes;AVV Pardinyes;Roda Ocasió;;973245291;rodaocasio@gmail.com;http://www.rodaocasio.com/pages/home;;;;;;
Pardinyes;AVV Pardinyes;SilModa ;;973240856;;;;;;;;
Pardinyes;AVV Pardinyes;Tarròs Pintures i Decoració;;973192026;tarrospardiñas@millosoft.es ;http://www.decoraciotarros.es/;;;;;;
Pardinyes;AVV Pardinyes;Tegeve Optics;;973 220 514;tegeveoptics@zasvision.com;http://www.tegeveoptics.com/;;https://www.facebook.com/pages/Tegeve-Optics/125201364202212;;;;
Pardinyes;AVV Pardinyes;Tot Festa;; 973 23 37 42;info@totfesta.org;http://totfesta.multiespaciosweb.com/es/;;https://www.facebook.com/tot.festa;;;;
Pardinyes;AVV Pardinyes;Xapa i pintura Mosa SL;;973 24 51 43;;;;;;;;
Pardinyes;AVV Pardinyes;zuccar;;973 22 99 14;zuccar.imatge@gmail.com;;;https://www.facebook.com/tot.festa#!/pages/Z%C3%BAccar-Imatge/192413087467363?fref=ts;;;;
Virtual;;3pfruits;;973 180 582;info@3pfruits.com;http://www.3pfruits.com/;;;https://twitter.com/3pfruitsTermens;https://plus.google.com/113053785450217842367/posts;;http://www.3pfruits.com/
Virtual;;Administració de Loteries Monill;;973 445 083;admon12@hotmail.com;https://www.loteriamonill.com/;;;;;;https://www.loteriamonill.com/
Virtual;;Blackpier;;634 638 041;Info@blackpier.com;http://www.blackpier.com/;;https://www.facebook.com/blackpier;https://twitter.com/blackpier_es;https://www.youtube.com/user/BlackpierTV;;http://www.blackpier.com/
Virtual;;Camisetas la Fábrica;;973 254 675;info@camisetaslafabrica.com;http://www.camisetaslafabrica.com/;;https://www.facebook.com/profile.php?id=100008075568910;;;;http://www.camisetaslafabrica.com/
Virtual;;Cedis Joguines;;973 257 897;cedis@gruplandert.com;http://www.cedisjoguines.com/;;;;;;http://www.cedisjoguines.com/
Virtual;;Ecològicus;;973 314 931;ecologicus@ecologicus.com;http://www.ecologicus.com/;;;;;;http://www.ecologicus.com/
Virtual;;Ekoideas;;973 800 283;info@ekoideas.com;http://www.ekoideas.com/;;https://www.facebook.com/Ekoideas-Ecología-254658314580581/timeline/;;;;http://www.ekoideas.com/
Virtual;;El otro armario;;973 601 122;publi@elotroarmario.com;http://www.elotroarmario.com/;;https://www.facebook.com/elotroarmario;;https://plus.google.com/+Elotroarmario/posts;;http://www.elotroarmario.com/
Virtual;;ElanCasual.com;;609 855 541;info@elancasual.com;http://www.elancasual.com/;;https://www.facebook.com/elancasual;https://twitter.com/ElanCasual;https://www.youtube.com/channel/UCOBJu2OAeVkGIIuL80NlSvQ/feed;https://plus.google.com/+Elancasual/posts;http://www.elancasual.com/
Virtual;;Funnatic - Electrodomèstics i Aire Condicionat;;973 311 656;info@funnatic.es;http://www.funnatic.es/;;;;;;http://www.funnatic.es/
Virtual;;LimFruit;;973 780 236;info@limfruit.com;http://www.limfruit.com/;;;;;;http://www.limfruit.com/
Virtual;;Mar Pallares – joies;;685 332 864;info@marpallares.com;http://www.marpallares.com/;;https://www.facebook.com/mardargent;https://twitter.com/mardargent;https://www.pinterest.com/mardargent/;;http://www.marpallares.com/
Virtual;;Pescar por menos;;973 602 347;jordi@pescarxmenos.com;http://www.pescarpermenys.com/;;https://www.facebook.com/pescarpermenys;;;;http://www.pescarpermenys.com/
Virtual;;Pixia;;;pixia@pixiaestudio.com;http://www.pixiaestudio.com/;;https://www.facebook.com/pixiaestudio;https://twitter.com/PixiaEstudio;https://www.youtube.com/user/PaginaWebEmpresa;https://plus.google.com/106944520435345760540/posts;http://www.pixiaestudio.com/
Virtual;;Tiendas virtuales Xopie;;902 001 451;info@xopie.com;http://www.xopie.com/;;https://www.facebook.com/xopie;https://twitter.com/xopie;https://plus.google.com/+xopie/posts;;http://www.xopie.com/
Virtual;;VinylicUs;;902 002 435;vinylicus@vinylicus.com;http://www.vinylicus.com/;;https://www.facebook.com/vinylicUs/timeline/;;https://www.youtube.com/user/vinylicus;;http://www.vinylicus.com/
Virtual;;Want & Desire;;675 646 675;info@wantdesire.com;http://wantdesire.com/;;;;;;http://wantdesire.com/
Zona Alta;AVV Magisteri Zona Alta;Acromat Solucions Tècniques;;973 26 05 80;;http://www.acromat.cat/es/;;https://www.facebook.com/pages/Acromat/275309782584100?ref=hl;https://twitter.com/AcromatLleida;http://www.linkedin.com/company/acromat-s-t-serveis-s-l-;;
Zona Alta;AVV Universitat-Zona Alta;Anadón Clínica Veterinària;;973 26 63 88;;http://www.anadonvet.com;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Arroyo Floristeria;;97324 44 43;;http://www.arroyofloristeria.com/es;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Assumpcio Bernaus SL;;973 28 23 66;;;;;;https://plus.google.com/102773338267356402992/about?gl=es&hl=en;;
Zona Alta;AVV Universitat-Zona Alta;AYMERICH & ASSOCIATS, SCCL;;973 28 13 11;;;;;;https://plus.google.com/115813030897713796765/about?gl=es&hl=en;;
Zona Alta;;B&I Moda per Ell i Ella;;93270612;;;;https://www.facebook.com/pages/BI/498880406816632;https://twitter.com/bi_balmes;;;
Zona Alta;AVV Magisteri Zona Alta;Barranco Joiers;;973044301;fernandobarrancojoiers@gmail.com;http://www.barrancojoiers.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Calçats Espuña;;973 23 79 82;jordi@sabateriaespunya.com;http://www.zapateriaslleida.com/;;https://www.facebook.com/pages/Cal%C3%A7ats-Espu%C3%B1a/226370764176485?fref=ts;;;https://plus.google.com/109215793231968134549/about;
Zona Alta;AVV Magisteri Zona Alta;Calçats Ruano;;973268636;;;;https://www.facebook.com/Cal%C3%A7ats-Ruano-1448785152112811/?fref=ts;https://twitter.com/CalzadosRuano;;;
Zona Alta;AVV Magisteri Zona Alta;Cansaladeries Carner - Balmes;;973 231 536;info@carner.cat;http://carner.cat/ca/;;https://www.facebook.com/cansaladeriescarner;;;;
Zona Alta;AVV Universitat-Zona Alta;Cantonada 6 - Simó;Roser Cervera;973230374;cantonada6simo@gmail.com;;http://www.lleida360.com/2013/02/cantonada-6.html;https://www.facebook.com/pages/Cantonada-6-Sim%C3%B3/343893975635494;;;;
Zona Alta;AVV Magisteri Zona Alta;Carnisseria Maria Begué ;Celia Capdevila Begué;973 22 29 26;info@mariabegue.com;http://www.mariabegue.com/;http://www.lleida360.com/2013/02/carnisseria-maria-beguer.html;;;;;
Zona Alta;;Chic Republic ;;973 22 06 52;info@chicrepublic.es;http://chicrepublic.es;;;;http://instagram.com/chicrepublicshoes;;
Zona Alta;AVV Magisteri Zona Alta;Cicles Simó;;973 23 19 24;;;;;;https://plus.google.com/107560629697011593005/about?gl=es&hl=es;;
Zona Alta;AVV Blocs Joan Carles;Cimadevilla Fotògrafs;;973 26 99 10;cimadevillafotografs@gmail.com;;;https://www.facebook.com/pages/Cimadevilla-Fot%C3%B2grafs/539178249461704;;;;
Zona Alta;AVV Magisteri Zona Alta;Clinica Bucodental;;973 22 30 00;info@bucodent.com;http://bucodent.com/;;https://www.facebook.com/clinica.bucodentallleida;;;;
Zona Alta;AVV Magisteri Zona Alta;Debabeda by Dolors;;973 72 57 95;;;;;;;https://plus.google.com/111333982073365246669/posts;
Zona Alta;AVV Magisteri Zona Alta;Díes Lleida;;973 254 933;;http://dieslleidaoutlet.com/es/;;https://www.facebook.com/pages/D%C3%ADes-Lleida/334181859930113;;;;
Zona Alta;AVV Magisteri Zona Alta;Duch;Juan Ramon ;973 24 91 45;duch@duchlleida.com;http://www.duchlleida.com/;http://www.lleida360.com/2013/02/duch.html;;;;;
Zona Alta;AVV Universitat-Zona Alta;El Magatzem del Perruquer;;973 26 97 71;;http://www.magatzemdelperruquer.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;English Study Centre;;973 27 09 09;info@englishstudycentre.es;http://www.englishstudycentre.es/;;https://www.facebook.com/ESC.Lleida;;;;
Zona Alta;AVV Universitat-Zona Alta;Factory Data S.L.;;973 72 50 27;ventas@factorydata.com;http://www.factorydata.com/;;;;https://plus.google.com/115118672234480349936/about?hl=en;;
Zona Alta;;Fantasia;;973 248 566;;http://http://www.fantasiaworld.es;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Farmacia Anadon;;973.231.664;;;;https://www.facebook.com/farmacia.anadon;;https://foursquare.com/v/farmacia-anadon/50f43999e4b077d65be623a6;;
Zona Alta;AVV Magisteri Zona Alta;Federoptics Bellera;Josep Bellera Guiu;973 27 45 45;contacta@belleraoptica.com;http://www.belleraoptica.com;http://www.lleida360.com/2013/02/bonic-pati-inspirat-per-colors-de.html;https://www.facebook.com/bellera.optica;https://twitter.com/BelleraOptica;;;
Zona Alta;AVV Magisteri Zona Alta;Fina Guiseris  Perruqueria;;973 26 73 41;;;;https://ca-es.facebook.com/pages/Fina-Guiseris-Perruqueria/186707434735266;;;;
Zona Alta;AVV Camp d'Esports;Gimnàs EKKE;;902 110 522;info@ekke.es;http://www.ekke.cat/;;https://www.facebook.com/ekke.gentekke?fref=ts;https://twitter.com/ekkerunning;;;
Zona Alta;AVV Universitat-Zona Alta;GREEN ENERGY ENVIRONMENTAL SOLUTIONS S.L.;;616603195;victor.gamez@boxesconsulting.com;http://www.greenenergysl.com;;https://www.facebook.com/greenenergysl;https://twitter.com/GreenEnergySL;;;
Zona Alta;AVV Universitat-Zona Alta;Grup d'art Escola - Galeria Terraferma;;973 27 25 88;;http://www.grup-escola.com/;;;https://twitter.com/GrupoArteEscola;http://www.youtube.com/user/GrupodeArteEscola;;
Zona Alta;AVV Magisteri Zona Alta;Ilerna - Les Heures;;973 72 78 78;;http://www.ilerna.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Imaginarium;;973 22 09 41;;http://www.imaginarium.es/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Inlingua;;973 24 07 16;lleida@inlingua.es;http://www.inlingua.es/Lleida/;;https://www.facebook.com/inlingua.lleida;;;;
Zona Alta;AVV Magisteri Zona Alta;Jar Toys Joguines;;973 28 80 02;;http://www.juguetesmarrades.com;;;;;;
Zona Alta;AVV Universitat-Zona Alta;Jean Louis David;;973 260 114;;http://www.jeanlouisdavid.com.es/;;https://www.facebook.com/jeanlouisdavid.lleida;;;;
Zona Alta;AVV Magisteri Zona Alta;Joieria Torres;;973 22 36 05;;;http://www.lleida360.com/2013/02/joieria-torres.html;;;;;
Zona Alta;;Juclà;;973 24 05 21;;http://www.juclamoda.com/;;;;;;
Zona Alta;AVV Comerciants del Centre Històric;La Primavera;;973 24 97 29 ;laprimavera@laprimavera.es;http://www.laprimavera.es/;;https://www.facebook.com/laprimaveraperfumeries;;;;
Zona Alta;AVV Magisteri Zona Alta;L'ARcada;;;contacte@larcada.net;http://larcada.net/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Lasserre;;973 24 81 63;;;;;;https://plus.google.com/110645586056096663462/about?gl=es&hl=en;;
Zona Alta;AVV Universitat-Zona Alta;LED TECH Iberica;;973 28 81 35;info@ledtechiberica.com;http://www.ledtechiberica.com/;;https://www.facebook.com/LED.TECH.Iberica;https://twitter.com/LEDTECHIberica;http://www.linkedin.com/company/led-tech-ib-rica-s-l-?trk=hb_tab_compy_id_2870872;;
Zona Alta;AVV Magisteri Zona Alta;Lenceria Xabel.la;;973 26 63 88;xabel_la@hotmail.com;http://www.lenceriaxabela.com/;;https://www.facebook.com/pages/Lencer%C3%ADa-xabel-la/221328244679277;;;;
Zona Alta;AVV Magisteri Zona Alta;L'Espardenya;;973 26 21 75;;;;https://www.facebook.com/botiga.lespardenya;;https://plus.google.com/112678353189826780185/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Lis Corseteria;;973 23 52 27;;;;;;https://plus.google.com/110632222499639390721/about?gl=es&hl=en;;
Zona Alta;AVV Jaume I el Conqueridor;Llibreria Mariana;;973268100;;http://www.llibreriamariana.com/;;;;;;
Zona Alta;AVV Universitat-Zona Alta;Local Look S.L.;;973 26 99 66;;;;;;https://plus.google.com/111885394215507684360/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;L'Orfebre Joiers;;;;;;https://www.facebook.com/joyerialorfebre.tena;;https://plus.google.com/106232057042358023767/posts;;
Zona Alta;AVV Jaume I el Conqueridor;Loterias y Apuestas del Estado Administración nº 6;;973270612;info@loteria6.com;http://www.loteria6.com/;;;;;;
Zona Alta;AVV Universitat-Zona Alta;Luxury;;973 26 04 34;;;;;;https://plus.google.com/110511821255103988310/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Marta Anthia Boutique;Marta Melé;973 249 586;info@mele.cat;http://www.mele.cat;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Mimos Ropa Infantil;;973 98 08 87;;http://www.mimosrobainfantil.com/;;https://www.facebook.com/MimosRobaInfantil;;https://plus.google.com/104391773606295363917/posts;;
Zona Alta;AVV Magisteri Zona Alta;Multopticas Lux;;973221781;;http://www.multiopticas.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Nekane;;973 24 74 49;;;;;;https://plus.google.com/113393708045873599123/about?hl=en;;
Zona Alta;AVV Magisteri Zona Alta;New Zealand Auckland ;;973 245 921;;http://www.nzanewzealand.com/;;https://www.facebook.com/pages/New-Zealand-Auckland-Lleida/122715114569557;;;;
Zona Alta;AVV Universitat-Zona Alta;Nou Olympus;;;;http://www.nouolympus.com/;;https://www.facebook.com/nouolympus.olympus;;;;
Zona Alta;AVV Magisteri Zona Alta;Opticarlos;;973 23 99 38;;;;;;https://plus.google.com/108338423484778083741/about?gl=es&hl=en;;
Zona Alta;AVV Clot de les Granotes;Ortopèdia Rubio (H. Torres);;973 248 091;;http://www.ortopediarubio.com;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Ortopèdia Rubio (Riba);;973 24 95 58 // fax: 973 23 63 01;;http://www.ortopediarubio.com;;;;;;
Zona Alta;AVV Universitat-Zona Alta;Perruqueria et pentinem ;;973 28 00 04;;;;;;https://plus.google.com/106995014680789571413/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Perruqueria Morènico;;973 27 04 26;masquesocias@gmail.com;;http://www.lleida360.com/2013/02/perruqueria-raffel-pages.html;;;;;
Zona Alta;AVV Universitat-Zona Alta;Personal Estudi Interiors;;973238432;personal@personalestudi.com;http://www.personalestudi.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Pinocchio;;973 28 27 34;;http://www.rebels.es/;;https://www.facebook.com/pages/Pinocchio-LLeida/1072855196187523;;;;
Zona Alta;AVV Magisteri Zona Alta;Pitusa Boutique;;973 23 35 45;;;;;;https://plus.google.com/114094956778726911039/about?gl=es&hl=en;;
Zona Alta;AVV Universitat-Zona Alta;Prats Advocats;;973 240 564;info@pratsadvocats.com;http://www.pratsadvocats.com/;;https://www.facebook.com/pages/Prats-Advocats/182145268479843;;;;
Zona Alta;AVV Universitat-Zona Alta;Puericultura Font;;973 265 111;info@fontweb.cat;http://www.fontweb.cat;;;;;;
Zona Alta;AVV Universitat-Zona Alta;QB INFORMÀTICA LLEIDA;;973 26 81 96;info@qbinformatica.net;http://www.qbinformatica.net/;;https://www.facebook.com/pages/QB-Informatica-Lleida/322485141178014;;https://plus.google.com/106760489216816739332/about?gl=es&hl=en;;
Zona Alta;AVV Universitat-Zona Alta;Ràdio UA1;;973 27 52 95;;http://www.ua1.cat/;;https://www.facebook.com/ua1.cat;https://twitter.com/Ua1FM;;;
Zona Alta;;Rafa Cebado;;973 22 83 79;cebadolleida2@gmail.com;http://www.cebado.es/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Riu Joiers;;973 23 97 79;info@riujoiers.com;http://www.riujoiers.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Rodamilans;;973 23 15 33;;http://www.valisa.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;S de Alma;;973 27 42 99;;;;https://www.facebook.com/sdealma;;;;
Zona Alta;AVV Magisteri Zona Alta;Scacco Matto;; 973 23 08 08;missbyscacco@gmail.com;http://missbyscacco.blogspot.com.es/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Sitgetana;; 973 26 78 22;;http://www.sitgetana.com/;;https://www.facebook.com/sitgetana;;;;
Zona Alta;AVV Magisteri Zona Alta;Takumi Sushi Shop;;973 238 027;;http://www.takumi-sushi.com/;;https://www.facebook.com/TakumiSushiShop;;;;
Zona Alta;AVV Universitat-Zona Alta;Taleia Modelisme SL;;973 26 30 09;;;;;;https://plus.google.com/104588847848644381819/about?gl=es&hl=en;;
Zona Alta;AVV Universitat-Zona Alta;Tarros Pintures i Decoració;;973 23 53 31;;http://www.decoraciotarros.es/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Telyco;;973 72 55 66;;;;;;https://plus.google.com/118258929586412654143/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Thais Selecció;;973 23 96 96;;http://thaisseleccio.com/;;https://www.facebook.com/pages/Thais-Selecci%C3%B3/278987092203364;;;;
Zona Alta;;Tintorería la Percha;;973 26 91 33;;;;;;https://plus.google.com/117716373762826548387/about?gl=es&hl=en;;
Zona Alta;AVV Universitat-Zona Alta;Top Impressió;;973 264 763;info@topimpressio.cat ;http://www.topimpressio.cat/;;https://www.facebook.com/pages/TOP-IMPRESSI%C3%93/155176784551731?fref=ts ;;;;
Zona Alta;AVV Universitat-Zona Alta;Torrent;Ramon Torrent Ribes, Jose Antonio Torrent Ribes;973 282 055 | 679 199 124;torrent@torrentlleida.com;http://www.torrentlleida.com/;;;;;;
Zona Alta;AVV Magisteri Zona Alta;Tous Joieria;;973 247 930;tousrroure@tous.es;http://www.tous.com/es-es/;;https://www.facebook.com/tousjewelry;https://twitter.com/tousjewelry;http://www.youtube.com/tousjewelry;;
Zona Alta;AVV Magisteri Zona Alta;Tugues ;;973 24 87 66;;http://www.tugues.com/;;;;;;
Zona Alta;;Ullera Total SL;;973 22 05 98;;;;;;https://plus.google.com/109994369785467416852/about?gl=es&hl=en;;
Zona Alta;;Viatges Folguera;;973 23 82 05;;http://viatgesfolguera.over.es;;;;https://plus.google.com/115531111139689948053/about?hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Viatges Tejedor;;973 22 98 90;;http://www.viajestejedor.com/;;;;;;
Zona Alta;;Vipac Decoracio SL;;973 28 95 95;;;;;;https://plus.google.com/117876888855315880212/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Zazurca Servei Técnic;;973 23 28 32;;;;;;https://plus.google.com/103872908951454762589/about?gl=es&hl=en;;
Zona Alta;AVV Magisteri Zona Alta;Ziving;Ramon Xam-mar;973 72 51 11 ;recepcion@xam-mar.com;http://www.ziving.com/;http://www.lleida360.com/2013/03/ziving.html;https://www.facebook.com/ziving;https://twitter.com/ziving;;;
