"INVENTARIO","NOMBRE","VIAL","CALLE","NUMERO","BAJA"
1007,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","16","N"
1008,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","20","N"
1009,"TERRENO EL RINCON ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","20--B","N"
1010,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","18","N"
1011,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","S/N","N"
1012,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","11","N"
1013,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","18","N"
1014,"TERRENO EN EL RINCON PARA ALREDEDORES AUDITORIO","CARRETERA","DEL RINCON","S/N","N"
1017,"TERRENO EN LA SUBIDA A SAN JUAN, PARTE VIAL","CALLE","REAL DE SAN JUAN","S/N","N"
1018,"PORCION DE CASA PARA ENSANCHE CALLE JACINTA","CALLE","JACINTA","11 -- 13","N"
1019,"SOLAR EN ALMATRICHE PARA ESCALERA (E)","CALLE","LA EXPLANADA","13","N"
1020,"LOCAL EN SCHAMANN, CL. PABLO PENAGUILAS","CALLE","PABLO PENAGUILAS","95 -- 97","N"
1021,"LOCAL- ALMACEN, ASEOS Y VESTUARIOS EN BUENAVISTA","CALLE","LUIS BENITEZ INGLOTT","S/N","N"
1023,"CAMPO DE FUTBOL DE EL BATAN","CALLE","SEVERO OCHOA","S/N","N"
1027,"PARCELA EN UA-PG89-02 TAFIRA ALTA - CASA DEL GALLO","CAMINO","VIEJO LA CALZADA","S/N","N"
1028,"KIOSCO ALONSO QUESADA Y MODULO DE ASEOS-VESTUARIOS","PLAZA","ALMIRANTE MELENDEZ BOJAR","S/N","N"
1029,"MARQUESINA DE PARADA DE GUAGUAS EN TAFIRA BAJA","CARRETERA","DEL CENTRO","S/N","N"
1030,"MARQUESINA DE PARADA DE GUAGUAS EN COSTA AYALA (1)","CALLE","MAR MEDITERRANEO","","N"
1031,"MARQUESINAS DE PARADA DE GUAGUAS EN COSTA AYALA (2)","CALLE","MAR MEDITERRANEO","","N"
1032,"MARQUESINA PARADA GUAGUAS EL SABINAL (MARGEN DERECHO)","CARRETERA","MARZAGAN SABINAL","","N"
1033,"MARQUESINA PARADA GUAGUAS EL SABINAL (MARGEN IZDO.)","CARRETERA","MARZAGAN SABINAL","","N"
1034,"MARQUESINA DE PARADA DE GUAGUAS EN CRUCE DE MARZAGAN","CARRETERA","DEL CENTRO","","N"
1035,"MARQUESINA DE PARADA DE GUAGUAS EN LADERA ALTA","CALLE","JUAN AFONSO PONCE","","N"
1037,"MARQUESINA DE PARADA DE GUAGUAS EN RAMBLA JINAMAR","URBANIZACION","POLIGONO JINAMAR, FASE III","","N"
1038,"SOLAR EN CL. MAESTRO RODO N� 1 PARA VIAL (E)","CALLE","MAESTRO RODO","1","N"
1039,"SOLAR EN CR.GENERAL DE  TAMARACEITE PARA VIAL","CARRETERA","GENERAL A TAMARACEITE","118","N"
1055,"SOLAR EN EL FONDILLO PARA ESCALERA (E)","CALLE","RIQUIANEZ","74","N"
1056,"SOLAR EN CARRETERA DEL NORTE 224 PARA ENSANCHE DE CURVA (E)","CARRETERA","DEL NORTE","224","N"
1060,"PARCELA 74 SECTOR 5 POLIGONO II DE LAS TORRES","CARRETERA","GENERAL A TAMARACEITE","S/N","N"
1062,"PARCELA 99 SECTOR 5 POLIGONO II DE LAS TORRES","CALLE","TAMARINDO","S/N","N"
1068,"PARCELA 64 SECTOR 5 POLIGONO II DE LAS TORRES","CALLE","TAMARINDO","","N"
1069,"PARCELA 79 SECTOR 5 POLIGONO II DE LAS TORRES","CALLE","AZAHAR","","N"
1070,"PARCELA 62 SECTOR 5 POLIGONO II DE LAS TORRES - EDUCATIVO","CALLE","TULIPAN","","N"
1071,"PARCELA 65 SECTOR 5 POLIGONO II DE LAS TORRES","CALLE","TAMARINDO","","N"
1073,"PARCELA 73 SECTOR 5 POLIGONO II DE LAS TORRES - DEPORTIVO","CALLE","ARCHIVERO JOAQUIN BLANCO M.","","N"
1074,"PAR.77 S. 5 POL, II LAS TORRES -  CAMPO FUTBOL DE LAS TORRES","CALLE","ARCHIVERO JOAQUIN BLANCO M.","","N"
1079,"CASA FATAGA","PARQUE","SANTA CATALINA","S/N","N"
1082,"TERRENO EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","TIMAGAN","2 -- 4","N"
1083,"TERRENO EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","TIMAGAN","10","N"
1084,"ESTACION DE IMPULSION DEL DRAGONAL","CALLE","COTILLO","68","N"
1086,"CENTRO CIVICO LA BALLENA","AVENIDA","DE LA FERIA","24","N"
1087,"TERRENO EN EL RINCON - RESTO CESION YUDAYA  S.A.","CARRETERA","DEL RINCON","S/N","N"
1088,"PARCELA DESAFECTADA DEL DOMINIO PUBLICO CL. FRANCISCO GOURIE","CALLE","FRANCISCO GOURIE","69","N"
1091,"ESTACION DESARENADORA DEL TEATRO ( ANTES ESTACION DE BOMBEO)","PLAZA","DE STAGNO","S/N","N"
1093,"TERRENO EN CRUZ DE PIEDRA DE USO DEPORTIVO Y ESPARCIMIENTO","CALLE","CRUZ DE PIEDRA","S/N","N"
1095,"TERRENO EN P. P. HOSTELERIA PARA VIALES Y ESPACIOS LIBRES","CALLE","VIRGEN DEL PILAR","S/N","N"
1096,"TERRENO EN P. P. HOSTELERIA PARA USO RELIGIOSO","CALLE","VIRGEN DEL PILAR","S/N","N"
1097,"TERRENO P.P. HOSTELERIA (DEPORTIVO).CAMPO DE FUTBOL EL PILAR","CALLE","VIRGEN DEL PILAR","S/N","N"
1098,"SOLAR EN LA CARRETERA DEL CENTRO PARA PARADA DE GUAGUAS","CARRETERA","DEL CENTRO","135--137","N"
1100,"SOLAR EN CASA AYALA PARA VIAL -CALLE ADELFA (E)","CALLE","ADELFA","S/N","N"
1102,"TERRENO EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","TIMAGAN","8","N"
1103,"PARCELA 21 S VI DEL POL. SAN CRISTOBAL - PARQUE DE BOMBEROS","AVENIDA","EUFEMIANO JURADO","1","N"
1104,"ESTACION DE BOMBEO DE AGUAS RESIDUALES DE HOYA DE LA PLATA","PASEO","BLAS CABRERA FELIPE ""FISICO""","S/N","N"
1106,"ESTACION DE BOMBEO DE AGUAS RESIDUALES DE ALCARAVANERAS","ROTONDA","TRAMO VI AUT.MARITIMA (TUNEL)","S/N","N"
1107,"KIOSCO DE LA MUSICA DE SAN TELMO","PARQUE","DE SAN TELMO","S/N","N"
1109,"TERRENO EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","TIMAGAN","14--16","N"
1113,"TERRENO EN LOS GILES, CALLE BENAMER, PARA VIAL (E)","CALLE","BENAMER","S/N","N"
1114,"CASA Y TERRENO EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","TIMAGAN","18","N"
1138,"PARCELA 50 SECTOR 5 POL. I LAS TORRES - EDUCATIVO","CALLE","VIRGEN DEL PILAR","S/N","N"
1139,"PARCELA 12 SECTOR 5 POLIGONO I DE LAS TORRES","CARRETERA","DE CHILE","S/N","N"
1140,"VIALES SECTOR 5 POLIGONO I DE LAS TORRES","CARRETERA","DE CHILE","S/N","N"
1143,"TERRENO EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","VALSENDERO","1","N"
1146,"PARCELA SOBRANTE DE VIA PUBLICA EN LA CALLE SAN JUSTO","CALLE","SAN JUSTO","S/N","N"
1147,"CANCHA DE PETANCA ""FLORENCIO ARROCHA MORALES""","CALLE","JUAN REJON","68","N"
1150,"AREA LUDICO DEPORTIVA DE LA NUEVA ISLETA","URBANIZACION","NUEVA ISLETA","","N"
1153,"SOLAR DE 43,07 M2 PARA ENSANCHE PASEO DE LAS CANTERAS (E)","PASEO","DE LAS CANTERAS","6","N"
1154,"PARCELA 2 DE LA UNIDAD DE ACTUACION 2.4 LA ISLETA-LAZARETO","CALLE","JUAN REJON","S/N","N"
1158,"PLAZA PUBLICA EN CASABLANCA I","PLAZA","JUAN NEGRIN","S/N","N"
1161,"PARCELA SOBRANTE VIA PUBLICA N� 1 CL. MANUEL DE LEON FALCON","CALLE","MANUEL DE LEON FALCON","","N"
1162,"PARCELA SOBRANTE VIA PUBLICA N� 2 CL. MANUEL DE LEON FALCON","CALLE","MANUEL DE LEON FALCON","","N"
1163,"PARCELA SOBRANTE VIA PUBLICA N� 3 CL. MANUEL DE LEON FALCON","CALLE","MANUEL DE LEON FALCON","","N"
1167,"PARCELA 54-C SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","ALFONSO DE ARMAS AYALA","","N"
1172,"PARCELA 63-C SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","ANTONIO MARTIN RAMOS, RAPSODA","","N"
1181,"LOCAL Y TRASTEROS DE LAS 18 VIVIENDAS DE LA GALERA","CALLE","LOS GUAYABEROS","13","N"
1182,"17,6357 % PARCELA 85-A SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","LOS GUAYABEROS","","N"
1184,"PARCELA 48-B SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","ALFONSO DE ARMAS AYALA","","N"
1185,"PARCELA 51-OESTE  SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","PINTOR BOTAS GHIRLANDA","","N"
1186,"PARCELA 65 SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","ANTONIO MARTIN RAMOS, RAPSODA","","N"
1187,"PARCELA 66 SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","ANTONIO MARTIN RAMOS, RAPSODA","","N"
1189,"PARCELA 71 SECTOR 4 POLIGONO II DE TAMARACEITE","CALLE","LOS MEMBRILLEROS","","N"
1190,"72 VIVIENDAS P 78-B S4 P II DE TAMARACEITE. (QUEDAN 3)","CALLE","GUTIERREZ MELLADO,J.A.(CAPGE)","15","N"
1192,"ROTONDAS, RAMBLAS VIALES Y PEATONALES S4 POL. II TAMARACEITE","CALLE","NO VIAL","","N"
1194,"SISTEMA GENERAL 5 - LA MINILLA","CALLE","SALVADOR MANRIQUE DE LARA","","N"
1195,"SISTEMA GENERAL 6 - LA BALLENA","CALLE","NO VIAL","","N"
1196,"SISTEMA GENERAL 23 - LA PATERNA (CIRCUNVALACION)","CALLE","FRANCISCO CHUECA","","N"
1198,"CAMPO DE FUTBOL EN CASABLANCA III","CALLE","RAFAELA DE LAS CASAS GONZALEZ","S/N","N"
1199,"TERRENO EN CUEVA TORRES PARA VIAL","CALLE","ALTO DE LOS LEONES","S/N","N"
1200,"KIOSCO EN EL PARQUE DEL CASTILLO DE LA LUZ","PLAZA","DEL CASTILLO DE LA LUZ","S/N","N"
1202,"SOLAR EN SAN JUAN PARA VIAL - FONDO DE SACO (E)","CALLE","VALENTINA LA DE SABINOSA","S/N","N"
1204,"CANCHAS DEPORTIVAS EN SAN FRANCISCO","CALLE","GOBERNADOR MARIN ACU�A","S/N","N"
1205,"KIOSCO NACIENTE PZ. HURTADO DE MENDOZA","PLAZA","HURTADO DE MENDOZA","S/N","N"
1206,"KIOSCO CENTRAL PZ. HURTADO DE MENDOZA","PLAZA","HURTADO DE MENDOZA","S/N","N"
1207,"KIOSCO PONIENTE PZ. HURTADO DE MENDOZA","PLAZA","HURTADO DE MENDOZA","S/N","N"
1212,"CANCHAS DEPORTIVAS EN EL POLIGONO CRUZ DE PIEDRA","CARRETERA","GENERAL DEL NORTE","","N"
1213,"EXPLANADA DE PETANCA EN EL POLIGONO CRUZ DE PIEDRA","CALLE","FARMACEUTICO PEDRO RIVERO","","N"
1214,"CANCHA DEPORTIVA TRASERA ESCALERITAS","CALLE","SANTIAGO BRAVO DE LAGUNA","","N"
1215,"CANCHA DEPORTIVA EN TAFIRA ALTA","CALLE","RAFAEL RAFAELY","S/N","N"
1216,"CANCHA DEPORTIVA EN TAFIRA BAJA","PLAZA","EN TAFIRA BAJA, CL. TUCUMAN","S/N","N"
1217,"CANCHAS DEPORTIVAS EN LA TRASERA DE LUIS DORESTE SILVA","CALLE","LUIS DORESTE SILVA","S/N","N"
1218,"CAMPO DE FUTBOL 8 CUEVA TORRES","AVENIDA","PARQUE CENTRAL","S/N","N"
1219,"COLEGIO NESTOR ALAMO","URBANIZACION","POLIGONO JINAMAR, FASE III","S/N","N"
1220,"SOLAR EN GUANARTEME PARA USO DEPORTIVO","CALLE","SECRETARIO PADILLA","74","N"
1221,"TERRENO EN EL TOSCON PARA JEFATURA CENTRAL DE TRAFICO","CALLE","NO VIAL","","N"
1223,"LOCALES Y GARAJES GRUPO 88 VIVIENDAS DEL POLVORIN","CALLE","LEON XIII","","N"
1224,"CAMPO DE FUTBOL ""JORGE PULIDO"",  LAS COLORADAS -","AVENIDA","DE LA PASION DEL SE�OR","S/N","N"
1225,"ESTACION DE BOMBEO DE GUAYEDRA","CALLE","GUAYEDRA","S/N","N"
1226,"PARCELA DOCENTE DEL PERI ""PROLONGACION PEDRO INFINITO""","CALLE","ALFEREZ PROVISIONAL","S/N","N"
1235,"P. 3  PERI ""PROL. PEDRO INFINITO"". SISTEMA GENERAL.11","AVENIDA","ESCALERITAS","S/N","N"
1236,"RED VIARIA DEL PERI ""PROLONGACION PEDRO INFINITO""","AVENIDA","ESCALERITAS","S/N","N"
1237,"LOCAL SOCIAL EN LA PLAZA DE LA ASCENSION","CALLE","MANZANILLA","S/N","N"
1238,"FINCA 11 P.P. SECTOR 5 POL I LAS TORRES.- SISTEMA GENERAL 2","CALLE","FERNANDO GUANARTEME","","N"
1241,"FINCA 86bis P.P.SECT 5 POL I LAS TORRES.- SISTEMA GENERAL 2","CALLE","NO VIAL","","N"
1245,"SOLAR EN ALTAVISTA, FINCA 18 PAGO DE LAS REHOYAS","CALLE","ECHEGARAY","","N"
1246,"TERRENO EN TENOYA, CL. ZUMAQUE,  PARA ESPACIO LIBRE (E)","CALLE","ZUMAQUE","22","N"
1247,"TERRENO EN TENOYA, CL. ZUMAQUE,  PARA ESPACIO LIBRE (E)","CALLE","ZUMAQUE","","N"
1248,"SOLAR EN PASEO DE CHIL CON CARRETERA DE MATA","PASEO","CHIL","1","N"
1249,"TERRENO EN SAN ROQUE PARA VIAL (E)","CALLE","NUEVA","S/N","N"
1250,"DEPOSITO DE AGUA Y ESTACION DE BOMBEO EN LOS GILES","CALLE","PENDIENTE DE NOMBRE","S/N","N"
1251,"PARCELA Z4 P.E. BARRANCO DE LA BALLENA - CAMPO DE GOLF","CALLE","DOCTOR ALFONSO CHISCANO DIAZ","","N"
1252,"SOLAR EN SAN JUAN PARA VIAL - FONDO DE SACO (E)","CALLE","VALENTINA LA DE SABINOSA","","N"
1253,"SOLAR EN ALTAVISTA PARA ESPACIO LIBRE Y DEPORTIVO","PLAZA","DE AGUSTIN CASTILLO","2","N"
1254,"SOLAR EN PEDRO HIDALGO PARA VIAL (E)","CALLE","SANTANDER","S/N","N"
1256,"FINCA EN LA PUNTILLA PARA LA U.A. NIDILLOS 2 (E)","CALLE","TIMAGAN","12","N"
1257,"SOLAR EN LA ISLETA EN SOLAR DE USO EDUCATIVO","CALLE","GUAYEDRA","21","N"
1258,"SOLAR EN ESCALERITAS CL. CHOPIN PARA ESPACIO LIBRE (E)","CALLE","CHOPIN","S/N","N"
1259,"OFICINAS DE TRAFICO EN EL TUNEL JULIO LUENGO","CALLE","ANTONIO MANCHADO VIGLIETTI","S/N","N"
1260,"TERRENO EN TENOYA PARA CENTRO DE SALUD","CALLE","EL MOLINO TENOYA","74","N"
1261,"KIOSCO PARQUE DORAMAS Y EDIFIOS ANEXOS","PARQUE","DORAMAS","","N"
1262,"LOCAL BAJO LA PLAZA DEL FUERO REAL DE GRAN CANARIA","PLAZA","DEL FUERO REAL DE GRANCANARIA","","N"
1268,"TERRENO EN TENOYA, CL. PINO CANARIO, PARA ESPACIO LIBRE (E)","CALLE","PINO CANARIO","2","N"
1269,"SOLAR EN SCHAMANN PARA ALINEACION DE LA CALLE ZARAGOZA","CALLE","ZARAGOZA","7","N"
1270,"FINCA 159 LAS TORRES - PARTE SISTEMA GENERAL 4 - LA BALLENA","CALLE","GUSTAVO J. NAVARRO NIETO","","N"
1273,"PARCELA E.L. / Z.V.DE LA U.A. PG-89-08 SAN JOSE","PASEO","DE SAN JOSE","","N"
1274,"PARCELA E1 (ESCALERA 1) U.A. PG-89-08 SAN JOSE (E)","PASEO","DE SAN JOSE","","N"
1275,"PARCELA E2 (ESCALERA 2)  U.A. PG-89-08 SAN JOSE (E)","PASEO","DE SAN JOSE","","N"
1276,"PARCELA VIARIO Y APARC. U.A. PG-89-08 SAN JOSE (E)","PASEO","DE SAN JOSE","","N"
1277,"SOLAR EN SAN JOSE, CL. SAN FCO. JAVIER - RIO EBRO, PARA VIAL","CALLE","SAN FRANCISCO JAVIER","","N"
1278,"SOLAR EN TAMARACEITE P. LOS MARTIRES  ALINEACION CALLE (E)","PASEO","DE LOS MARTIRES","7","N"
1283,"PARCELA PR 04 DE LA U.A.-20 LA PATERNA","CALLE","PENDIENTE DE NOMBRE","","N"
1284,"PARCELA PR 05 DE LA U.A.-20 LA PATERNA","CALLE","PENDIENTE DE NOMBRE","","N"
1285,"PARCELA PR 07 DE LA U.A.-20 LA PATERNA","CALLE","PENDIENTE DE NOMBRE","","N"
1289,"PARCELA PR 14 DE LA U.A.-20 LA PATERNA - NUEVO VIAL","CALLE","PENDIENTE DE NOMBRE","","N"
1290,"PARCELA PR 15 DE LA U.A.-20 LA PATERNA - (E)","CALLE","PENDIENTE DE NOMBRE","","N"
1293,"FINCA 9 DE LA U.A. 40.1 EL ZARDO - CULTURAL","CALLE","CAMILO MARTINON NAVARRO","","N"
1294,"FINCA 10 DE LA U.A. 40.1 EL ZARDO - CULTURAL","CALLE","TINDAYA","","N"
1295,"FINCA 11 DE LA U.A. 40.1 EL ZARDO - VIALES  (E)","CALLE","CAMILO MARTINON NAVARRO","","N"
1297,"SOLAR EN EL TOSCON PARA CALLE EL JARDINERO (E)","CALLE","EL JARDINERO","","N"
1298,"SOLAR EN TENOYA PARA ESPACIO LIBRE (E)","CALLE","PINO CANARIO","","N"
1299,"SOLAR EN TENOYA PARA ESPACIO LIBRE (E)","CALLE","PINO CANARIO","","N"
1300,"PARCELA VIARIO Y E. L. EN SAN FRANCISCO DE PAULA","CARRETERA","A MARZAGAN","SN","N"
1302,"PARCELA 47 SECTOR IV POLIGONO 1 DE TAMARACEITE","CALLE","PINTOR JULIO VIERA","","N"
1303,"VIALES SECTOR IV POLIGONO 1 DE TAMARACEITE","CALLE","NO VIAL","","N"
1304,"VIALES SECTOR IV POLIGONO 1 DE TAMARACEITE","CALLE","NO VIAL","","N"
1306,"TERRENO SECTOR IV POLIGONO 1 DE TAMARACEITE","CARRETERA","DE TAMARACEITE","","N"
1307,"VIALES SECTOR IV POLIGONO 1 DE TAMARACEITE","CALLE","NO VIAL","","N"
1308,"BLOQUE 1 GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 2)","CALLE","OBISPO ROMO","27--35","N"
1309,"BLOQUE 2  GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 2)","CALLE","OBISPO ROMO","31","N"
1311,"BLOQUE 4 GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 5)","CALLE","SANTIAGO SANCHEZ","2--12","N"
1312,"BLOQUE 5  GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDA 1)","CALLE","SANTIAGO SANCHEZ","1--11","N"
1314,"BLOQUE 7 GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 3)","PLAZA","OBISPO FRIAS","1--6","N"
1315,"BLOQUE 8 GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 4)","CALLE","IGNACIA DE LARA","2--12","N"
1319,"BLOQUE 12 GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 4)","CALLE","DOCTOR TOMAS GARCIA GUERRA","18--28","N"
1320,"BLOQUE 13 GRUPO DE 628 VIVIENDAS DE ESCALERITAS (QUEDAN 2)","CALLE","JUAN RODRIGUEZ QUEGLES","29--37","N"
1334,"PARCELA 5-12 URBANIZACION EL SEBADAL","CALLE","PROFESOR LOZANO","S/N","N"
1337,"PARCELA 5-15 URBANIZACION EL SEBADAL","CALLE","AREQUIPA","S/N","N"
1340,"PARCELA 5-18 URB. EL SEBADAL - CENTRO DE GESTION DE EMPRESAS","CALLE","SAO PAULO","S/N","N"
1342,"SERVICIOS SOCIALES DISTRITO CIUDAD ALTA  (EDIFICIO BAHIA)","AVENIDA","ESCALERITAS","54","N"
1344,"PARQUE MUNICIPAL DE EDUCACION VIAL (PEDRO REYES SANTANA)","CALLE","CORDOBA","31A","N"
1345,"SOLAR EN CALLE VIRIATO 29 PROLONGACION CL. J.M. DURAN (E)","CALLE","VIRIATO","29","N"
1346,"SOLAR EN CL. VIRIATO 31-33  PROLONGACION CL. J.M. DURAN (E)","CALLE","VIRIATO","31--33","N"
1352,"CANCHA POLIDEPORTIVA EN LA VEGA DE SAN JOSE","CALLE","LEON","S/N","N"
1357,"PARCELA EL/AP-2 DE LA U.A.-11 EL SEBADAL","CALLE","SAO PAULO","","N"
1358,"VIAL DE LA U.A.-11 EL SEBADAL (E)","CALLE","SAO PAULO","","N"
1362,"PARCELA F, VIALES, DE LA U.A. 35-1 EL FONDILLO (E)","CALLE","CAMILO JOSE CELA","","N"
1363,"TERRENO EN GUANARTEME AMPLIACION DE AV. MESA Y LOPEZ (E)","AVENIDA","JOSE MESA Y LOPEZ","S/N","N"
1364,"TERRENO EN GUANARTEME AMPLIACION DE LA CALLE HABANA (E)","CALLE","HABANA","S/N","N"
1365,"TERRENO EN GUANARTEME AMPLIACION DE LA CALLE CARACAS (E)","CALLE","CARACAS","S/N","N"
1366,"TERRENO EN GUANARTEME ROTONDA PLAZA DE AMERICA (E)","CALLE","CARACAS","S/N","N"
1368,"INMUEBLE EN LA CALLE RIO ESLA PARA VIAL PEATONAL","CALLE","RIO ESLA","S/N","N"
1370,"VIALES DE LA U.A.-10 MONTA�A DEL SOCORRO","CAMINO","VECINAL EL FONDILLO","S/N","N"
1371,"POLIDEPORTIVO CUBIERTO DE EL BATAN Y TERRERO DE LUCHA","CALLE","SEVERO OCHOA","","N"
1372,"SOLAR CL. PARROCO M. ARTILES 15 ESPACIO LIBRE Y VIAL (E)","CALLE","PARROCO MATIAS ARTILES","15","N"
1373,"SOLAR CL. PARROCO M. ARTILES 17 ESPACIO LIBRE Y VIAL (E)","CALLE","PARROCO MATIAS ARTILES","17","N"
1374,"CAMPO DE FUTBOL ""CHANO CRUZ"" EN LA VEGA DE SAN JOSE","PASEO","DE SAN JOSE","S/N","N"
1375,"TERRENO EN TENOYA, CL. ZUMAQUE,  PARA ESPACIO LIBRE (E)","CALLE","ZUMAQUE","137","N"
1376,"45 GARAJES Y 41 TRASTEROS EN LAS 48 VIVIENDAS DEL POLVORIN","CALLE","SAN ANTONIO DE PADUA","","N"
1378,"COMPLEJO MUNICIPAL DE SERVICIOS EN EL SECADERO","CALLE","FCTCO. FCO. ARENCIBIA CABRERA","1A","N"
1379,"FRANJA DE TERRENO EN CL. LOS HOYILLOS PARA VIAL (E)","CALLE","LOS HOYILLOS","12","N"
1381,"TERRENO EN TENOYA, CL. ZUMAQUE PARA VIAL (E)","CALLE","ZUMAQUE","","N"
1383,"EDIFICIO SERVICIOS COMPLEMENTARIOS AUDITORIO ALFREDO KRAUS","AVENIDA","PRINCIPE DE ASTURIAS","","N"
1384,"LOCALES COMERCIALES PLAZA DE LA MUSICA","AVENIDA","PRINCIPE DE ASTURIAS","","N"
1385,"APARCAMIENTOS AUDITORIO ALFREDO KRAUS","AVENIDA","PRINCIPE DE ASTURIAS","","N"
1387,"ESTADIO ALFONSO SILVA","CALLE","GUSTAVO J. NAVARRO NIETO","","N"
1388,"PARQUE URBANO LA BALLENA","AVENIDA","ESCALERITAS","","N"
1389,"RESTO PARCELA  ""AREA DE DESARROLLO A-2"" EN JINAMAR","AVENIDA","SANTA RITA DE CASIA","","N"
1391,"CANCHA DEPORTIVA LEON Y CASTILLO","CALLE","GUAYEDRA","17","N"
1392,"PISCINA LEON Y CASTILLO","CALLE","GUAYEDRA","17","N"
1393,"CANCHA DEPORTIVA Y JUEGO DE NI�OS EN ZARATE - PARTE DET-06","CALLE","JUAN SANCHEZ DE LA COBA","S/N","N"
1394,"POLIDEPORTIVO ""MANUEL NARANJO SOSA"" EN EL RINCON","AVENIDA","PRINCIPE DE ASTURIAS","","N"
1414,"FINCA 24 ACCESOS POR EL CENTRO","CALLE","REAL DE SAN ROQUE","4","N"
1416,"CANCHAS DEPORTIVAS SIETE PALMAS","CALLE","HOYA DEL ENAMORADO","","N"
1417,"EQUIPAMIENTO RELIGIOSO EN SAN JUAN, CL. BATERIA DE SAN JUAN","CALLE","BATERIA DE SAN JUAN","","N"
1419,"ESPACIO ""RR"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","OBISPO SERRA SUCARRATS","7--9","N"
1420,"ESPACIO ""S"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","OBISPO SERRA SUCARRATS","11--13","N"
1421,"ESPACIO ""T"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","OBISPO SERRA SUCARRATS","15--17","N"
1422,"ESPACIO ""U"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","OBISPO SERRA SUCARRATS","10--12","N"
1423,"ESPACIO ""V"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","OBISPO SERRA SUCARRATS","6--8","N"
1424,"ESPACIO ""W"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","PARROCO GONZALEZ","","N"
1425,"ESPACIO ""X"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","DOCTOR GREGORIO LEON MORALES","","N"
1426,"ESPACIO ""Y"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","PARROCO GONZALEZ","","N"
1427,"ESPACIO ""Z"" ENTRE BLOQUES URB. BUENAVISTA - SUAREZ FIOL","CALLE","JERONIMO MEJIAS","","N"
1428,"BATERIA DE SAN JUAN","CAMINO","AL POLVORIN","","N"
1429,"TERRENO BARANQUILLO DE DON ZOILO PARA ESCALERA (HOY ACERA)","CALLE","PARROCO VILLAR REINA","S/N","N"
1431,"TERRENO EN EL FONDILLO OCUPADO POR ESCALERA Y VIAL (E)","CALLE","TIMAGADA","S/N","N"
1434,"TERRENO DEPORTIVO EN LOMO LOS FRAILES","CALLE","NO VIAL","S/N","N"
1435,"APARCAMIENTO PLAZA DE LA PUNTILLA","CALLE","ALONSO DE OJEDA","S/N","N"
1436,"LOCAL PLAZA DE LA PUNTILLA  (99,47 m2)","CALLE","ALONSO DE OJEDA","S/N","N"
1437,"LOCAL PLAZA LA PUNTILLA  (264 m2) - RESTAURANTE LA MARINERA","CALLE","ALONSO DE OJEDA","S/N","N"
1438,"LOCAL PLAZA DE LA PUNTILLA  (436 m2) - BALNEARIO","CALLE","ALONSO DE OJEDA","S/N","N"
1439,"LOCAL PLAZA DE LA PUNTILLA  (741,75 m2) - CLUB DE VELA","CALLE","ALONSO DE OJEDA","S/N","N"
