"INVENTARIO","NOMBRE","DESCRIPCION"
368,"BUSTO DE JUAN DEL RIO AYALA","BUSTO MASCULINO DE HOMBROS DESNUDOS, REALIZADO DE FORMA REALISTA EN BRONCE ABOCETADO, DE RASGOS MUY MARCADOS. AUTOR: JOSE PERERA VALIDO"
369,"BUSTO DE AGUSTIN MILLARES CARLO","BUSTO MASCULINO EN YESO REPRESENTADO CON EL TORSO DESNUDO, SIN ADORNOS. ROSTRO REALISTA, CON UNOS RASGOS BIEN DEFINIDOS, LINEAS DE EXPRESION BASTANTE MARCADAS Y EL CABELLO, AUNQUE ESCASO, PERFECTAMENTE TRABAJADO. AUTOR: JUAN BORGES LINARES"
370,"BUSTO DE GELU BARBU","RETRATO EN BRONCE PATINADO DEL BAILARIN GELU BARBU, DE TIPO ABOCETADO. AUTOR: ULISES JIMENEZ"
371,"DOS ESTUDIOS PARA EL CARTEL DEL CARNAVAL 2002","DOS LITOGRAFIAS A BASE DE MOTIVOS FLORALES, VEGETALES Y FORMAS  Y FIGURAS DE CARACTER PREHISPANICO, TODO ELLO EN VIVOS COLORES. AUTOR: JUAN ANTONIO GIRALDO"
372,"ANTIGUO MACETERO DE LA PLAZA DE SANTA ANA","MACETERO DE HIERRO CON MOTIVOS FLORALES Y VEGETALES A LOS CUATRO LADOS, EN FORMA DE COPA, PERTENECIENTE A LA SERIE ANTIGUA QUE DECORABA LA PLAZA DE SANTA ANA."
374,"ESCUDO DE LA CIUDAD DE LAS PALMAS DE GRAN CANARIA","ESCUDO DE LA CIUDAD LAUREADO EN PIEDRA ENMARCADO EN LA PORTADA DEL PUEBLO CANARIO, CON CORONA Y LAS CORRESPONDIENTES  PALMAS Y LA INSCRIPCION: "" SEGURA TIENE LA PALMA "". DISE�O DE SANTIAGO SANTANA SIGUIENDO EL MODELO DE NESTOR MARTIN - FERNANDEZ DE LA TORRE. REALIZADO POR JOSE BETANCOR PEREZ, OPERARIO DE LA CONSTRUCTORA ALFREDO FARRAY ESTEVEZ . 1956"
375,"DECORACION DEL SALON DORADO DE LA CASA CONSISTORIAL","DECORACION EN PAN DE ORO Y POLICROMIA DE LOS MOTIVOS REALIZADOS MEDIANTE MOLDURAS EN ESTUCO. MOTIVOS VEGETALES, FRUTALES Y PAJAROS DISTRIBUIDOS POR EL TECHO Y LAS PAREDES. EN LA PARTE ALTA DE LOS MACIZOS MEDALLONES CON LOS SIMBOLOS DE LA CIUDAD, LA PALMA Y EL PERRO. LOS DINTELES DE LAS VENTANAS ESTAN CORONADOS POR ESCUDOS POLICROMOS DE LA CORONA DE CASTILLA. TODO SOBRE UN FONDO EN TONOS PASTEL. AUTOR: FRANCISCO LEON QUEVEDO SEGUN CONDICIONES DEL ARQUITECTO MUNICIPAL, LAUREANO ARROYO. 1891"
376,"CENTROS DE MESA DE PLATA MENESES  (DOS UNIDADES)","CENTROS DE MESA COMPUESTOS POR BANDEJAS DECORADAS CON ELEMENTOS VEGETALES Y ANIMALISTICOS (EN LOS EXTREMOS) SOBRE LA QUE SE LEVANTA, EN LA PARTE CENTRAL, UNA FIGURA FEMENINA DE CORTE CLASICO QUE SE APOYA, CON AMBAS MANOS, EN DOS BANDEJAS CON FORMA DE VENERAS. GRAN DETALLISMO Y PRECISION NO SOLO EN LA FIGURA DE LA MUJER, SINO EN TODO LA LABOR ORNAMENTAL QUE DECORA EL CONJUNTO.   1890"
377,"CENTRO DE MESA DE PLATA MENESES","CENTRO DE MESA COMPUESTO POR UNA BASE CIRCULAR,  CON UN FRISO EN BRONCE DECORADO CON MOTIVOS VEGETALES Y ANIMALES, DE LA QUE PARTEN DOS BRAZOS QUE TERMINAN EN SENDAS BANDEJAS. DEL CENTRO DE LA MISMA BASE SE LEVANTA OTRO CUERPO CON FIGURA FEMENINA DE CORTE CLASICO ATAVIADA CON PEPLO, CUYOS PLIEGUES SE ADHIEREN AL CUERPO.  APARECE CON LOS BRAZOS LEVANTADOS QUE, A SU VEZ, SOSTIENEN UNA TERCERA BANDEJA. GRAN DETALLISMO Y PRECISION EN LA DECORACION DE TODO EL CONJUNTO. 1890"
378,"CENTRO DE MESA DE PLATA MENESES","CENTRO DE MESA COMPUESTO POR UNA BASE CIRCULAR DECORADA CON ELEMENTOS VEGETALES, SOBRE LA QUE SE LEVANTA UNA FIGURA FEMENINA DE CORTE CLASICO ATAVIADA CON UN VESTIDO CUYOS PLIEGUES SE ADHIEREN A SU CUERPO. CON LOS BRAZOS LEVANTADOS SUJETA UNA ESPECIE DE CUERNO QUE, A SU VEZ, SOSTIENE UNA BANDEJA DE MAYOR TAMA�O. GRAN DETALLISMO Y PRECISION EN LA DECORACION DE TODO EL CONJUNTO.  1890"
379,"CENTRO DE MESA DE PLATA MENESES","CENTRO DE MESA COMPUESTO POR UNA BASE CIRCULAR DECORADA CON ELEMENTOS VEGETALES, SOBRE LA QUE SE LEVANTA UNA FIGURA MASCULINA DE CORTE CLASICO, ATAVIADO CON FALDELLIN QUE, CON LOS BRAZOS LEVANTADOS, AGARRA UNA ESPECIE DE CUERNO QUE SOSTIENE UNA BANDEJA DE MAYOR TAMA�O. GRAN DETALLISMO Y PRECISION EN LA DECORACION DE TODO EL CONJUNTO. 1890"
380,"DOS MAZAS DE PLATA LABRADA","PAR DE MAZAS LABRADAS EN PLATA QUE PRESENTAN CARACTERISTICOS SIMBOLOS DE LA CIUDAD ( EL PERRO Y LA PALMERA ). CULMINAN EN UNA CORONA Y SE ENCUENTRAN FLANQUEADAS POR SENDAS FIGURAS ANGELICALES."
381,"TIBOR (DOS UNIDADES)","ELEMENTO DECORATIVO CON FORMA DE TIBOR, REALIZADO EN MARMOL BLANCO VETEADO CON MOTIVOS ORNAMENTALES EN LATON. DESTACAN LAS DOS ASAS LATERALES CON FORMA DE SERPIENTE ENROSCADA.  1910"
382,"CANDELABRO DE 5 BRAZOS (DOS UNIDADES)","CANDELABRO DE MESA DE CINCO BRAZOS Y BASE DE MARMOL NEGRO. LA DECORACION HA SIDO REALIZADA EN TORNO A MOTIVOS VEGETALES Y FLORALES. PRINCIPIOS DEL SIGLO XX"
383,"CANDELABRO DE PARED, DE 4 BRAZOS (CUATRO UNIDADES)","CANDELABRO DE PARED DE CUATRO BRAZOS. DESTACA LA ARPIA QUE LO SOSTIENE, DECORADO CON MOTIVOS VEGETALES DE FORMAS SINUOSAS. PRINCIPIOS DEL SIGLO XX"
384,"CANDELABRO DE PARED, DE 2 BRAZOS (DOS UNIDADES)","CANDELABRO DE PARED DE DOS BRAZOS. DECORADO CON UNA ARPIA  Y DOS BRAZOS CON LAGRIMAS DE CRISTAL. PRINCIPIOS DEL SIGLO XX"
385,"COLUMNAS DEL SALON DORADO (DOS UNIDADES)","COLUMNA PROFUSAMENTE DECORADA Y DORADA. SE LEVANTA SOBRE UNA BASE DE MARMOL Y SOSTIENE UNA LAMPARA, CON FORMA DE CANDELABRO DE CINCO BRAZOS, CONFECCIONADA EN CRISTAL Y LATON. LA DECORACION SE HA REALIZADO A BASE DE MOTIVOS FRUTALES Y RAMILLETES VEGETALES. PRINCIPIOS DEL SIGLO XX"
386,"RELOJ DE MESA","RELOJ DE MESA EN METAL DE FUNDICION Y CRISTAL SOBRE BASE DE MADERA OVAL LACADA EN NEGRO. LA ESFERA ESTA INSERTA EN UNA COMPOSICION FORMADA POR UNA FIGURA FEMENINA Y UN ANGELOTE QUE TOCA UN ARPA, SENTADOS EN LA PARTE SUPERIOR. EN LA ZONA INFERIOR, A AMBOS LADOS DE LA PIEZA, SE DISPONEN DOS ANIMALES FANTASTICOS CON FORMA DE PEZ. PRINCIPIOS DEL SIGLO XX"
387,"12 SILLAS DE MADERA TALLADA, 6 ROJAS Y 6 OCRES","SILLAS EN MADERA TALLADA Y TAPIZADO ROJO O AMARILLO OCRE. SE LEVANTA SOBRE PATAS EN FORMA DE CABRIOLE. EL COPETE, TALLADO EN BAJORRELIEVE, ESTA DECORADO CON MOTIVOS DE FORMAS SINUOSAS. PRIMERA MITAD DEL SIGLO XX"
388,"SILLA MADERA TALLADA Y TERCIOPELO ROJO","SILLA EN MADERA TALLADA Y TAPIZADO ROJO. SE LEVANTA SOBRE PATAS EN FORMA DE CABRIOLE CON TERMINACION EN GARRA Y BOLA. EL COPETE, TALLADO EN ALTORRELIEVE, ESTA DECORADO CON MOTIVOS FLORALES. PRIMERA MITAD DEL SIGLO XX"
389,"TAPIZ","TAPIZ ARTISTICO TEJIDO EN HILO EN EL QUE SE REPRESENTA UNA ESCENA CORTESANA HISTORICISTA EN UNOS JARDINES PALACIEGOS, CON ARQUITECTURAS CLASICAS DE FONDO DENTRO DE UNA ESTETICA VERSALLESCA. 279 CM.ALTO X 243 CM.ANCHO. PRIMERA DECADA DEL SIGLO XX"
390,"TAPIZ","TAPIZ ARTISTICO TEJIDO EN HILO EN EL QUE SE REPRESENTA UNA ESCENA CORTESANA DE CORTE SETECENTISTA. UN BUCOLICO ESCENARIO DEFINIDO POR UN CONJUNTO ARQUITECTONICO CLASICISTA SIRVE DE MARCO PARA LA REPRESENTACION DE UN BAILE. CON MINUCIOSA TECNICA SE MUESTRAN, ADEMAS, INSTRUMENTOS MUSICALES.  284 CM.ALTO X 246 CM.ANCHO. PRIMERA DECADA DEL SIGLO XX"
391,"TAPIZ","TAPIZ ARTISTICO TEJIDO EN HILO EN EL QUE SE REPRESENTE UNA ESCENA CORTESANA HISTORICISTA DENTRO DE UN AMBIENTE BUCOLICO EN EL QUE APARECEN VARIAS JOVENES, DESTACANDOSE LA IDILICA RECREACION AMBIENTAL, MEDIANTE LA REPRESENTACION DE UNA ZONA BOSCOSA.. 147 CM.  ALTO X 132 CM.ANCHO. PRIMERA DECADA DEL SIGLO XX"
392,"TAPIZ","TAPIZ ARTISTICO TEJIDO EN HILO EN EL QUE SE REPRESENTA UNA ESCENA CORTESANA EN UNOS JARDINES PALACIEGOS, CON UNA HISTORICISTA MUJER QUE SE OCULTA DETRAS DE UN ABANICO.  278 CM.ALTO X 130 CM.ANCHO.  PRIMERA DECADA DEL SIGLO XX"
393,"TAPIZ","TAPIZ ARTISTICO TEJIDO EN HILO EN EL QUE SE REPRESENTA UNA HISTORICISTA ESCENA CORTESANA EN MEDIO DE UN JARDIN DONDE APARECEN VARIOS PERSONAJES SENTADOS A UNA MESA, EN PLENA NATURALEZA.  280 CM.ALTO X 130 CM.ANCHO.  PRIMERA DECADA DEL SIGLO XX"
394,"TAPIZ","TAPIZ ARTISTICO TEJIDO EN HILO QUE MUESTRA EN UN ESCENARIO NATURALISTA A DOS DAMAS ACOMPA�ADAS POR UNA FIGURA MASCULINA, QUE LAS SALUDA Y CORTEJA, EN UNA AMBIENTACION HISTORICISTA.  282 CM.ALTO X 128 CM.ANCHO.  PRIMERA DECADA DEL SIGLO XX"
395,"FAROL","FAROL HEXAGONAL ACRISTALADO CON DECORACION VEGETAL EN HIERRO PINTADO DE VERDE, QUE PRESENTA ELEMENTOS DECORATIVOS SEMEJANDO AMORCILLOS EN LA PARTE SUPERIOR. SE CORONA MEDIANTE UN CUERPO CIRCULAR ORNAMENTADO CON HOJAS DE ACANTO. PRIMERA DECADA DEL SIGLO XX"
396,"FUENTE PATIO TRASERO DE LA CASA PALACIO RODRIGUEZ QUEGLES","FUENTE FORMADA POR UNA PILA OCTOGONAL ACRISTALADA DECORADA CON VENERAS Y ELEMENTOS VEGETALES, EN CUYO CENTRO SE ALZA UN PILAR POR EL QUE SALIA EL AGUA. SU PIE ESTA DELICADAMENTE ORNAMENTADO CON MOTIVOS FIGURATIVOS Y VEGETALES. PRIMERA DECADA DEL SIGLO XX"
397,"ARMARIO","MUEBLE ADOSADO A LA PARED DIVIDIDO HORIZONTALMENTE EN DOS: UNA PARTE SUPERIOR CON SENDAS PUERTAS Y UNA INFERIOR COMPUESTA POR UNA HILERA DE TRES CAJONES. LA ORNAMENTACION ES SOBRIA Y PARCA, EN LINEAS GENERALES, SALVO LA CORRESPONDIENTE A LA CORONACION DEL ROPERO, QUE TIENE FORMA SEMICIRCULAR Y REPRESENTA MOTIVOS VEGETALES Y GEOMETRIZANTES. PRIMERA DECADA DEL SIGLO XX"
398,"ARMARIO","MUEBLE ADOSADO A LA PARED DIVIDIDO HORIZONTALMENTE EN DOS: UNA PARTE SUPERIOR CON SENDAS PUERTAS Y UNA INFERIOR COMPUESTA POR UNA HILERA DE TRES CAJONES. LA ORNAMENTACION ES SOBRIA Y PARCA, EN LINEAS GENERALES. PRIMERA DECADA DEL SIGLO XX"
399,"APARADOR","MUEBLE DE MADERA DE ROBLE DE DOS CUERPOS HORIZONTALES, EL PRIMERO CON CUATRO CAJONES Y ESTANTERIA CENTRAL Y LOS LATERALES ABIERTOS CON ADORNOS DE FORMA CIRCULAR Y MOTIVOS VEGETALES. EL OTRO CUERPO ESTA DIVIDIDO EN TRES PARTES: LA CENTRAL CON CRISTALERA Y LOS LATERALES DE MENOR TAMA�O CON COMPARTIMENTOS, TODO SOSTENIDO POR PATAS SIMULANDO QUIMERAS, Y FINALIZANDO LA PARTE SUPERIOR EN UN REMATE SEMICIRCULAR CON FORMAS ONDULANTES Y UNA MENSULA SUPERIOR EN ESTRELLA.. PRIMERA DECADA DEL SIGLO XX"
400,"ARMARIO LIBRERIA","MUEBLE ADOSADO A LA PARED DIVIDIDO EN CUATRO HOJAS VERTICALES, DOS CENTRALES CON CRISTALERA SUPERIOR Y CAJONES EN LA PARTE INFERIOR, Y DOS LATERALES CON CRISTALERAS Y SIN CAJONES, TODO ELLO ENMARCADO POR UNA DECORACION GEOMETRIZANTE Y UN REMATE EN FORMAS CURVAS. PRIMERA DECADA DEL SIGLO XX"
401,"PILAS DE LA ERMITA DE SANTA CATALINA (DOS UNIDADES)","PIEDRA ARTIFICIAL POLICROMADA. ANGEL ESCORZADO QUE SOSTIENE, CON LOS DOS BRAZOS Y SOBRE LA CABEZA, UNA PILA CON FORMA DE VENERA DE GRANDES DIMENSIONES. ES DE DESTACAR LA ROBUSTEZ Y LAS CARNACIONES DE LAS FIGURACIONES ANGELICAS, TRABAJADAS CON UN CLARO INFLUJO MIGUELANGELESCO. ATRIBUIDAS A ABRAHAM CARDENES - 1960"
402,"VIDRIERAS DEL SALON SAINT - SAENS (CINCO UNIDADES)","COMPOSICION EN CORONA DE EXUBERANTES Y COLORISTAS RACIMOS FORMADOS POR FRUTAS DE LAS ISLAS. SE ENCUENTRAN EMPLAZADAS EN LA PARTE SUPERIOR DE UNA VENTANA SEMICIRCULAR COMPARTIMENTADA EN VARIAS PARTES, VERTICAL Y HORIZONTALMENTE.  NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
403,"VIDRIERAS DEL SALON SAINT - SAENS (CUATRO UNIDADES)","COMPOSICION EN CORONA DE EXUBERANTES Y COLORISTAS RACIMOS FORMADOS POR FRUTAS DE LAS ISLAS. SE ENCUENTRAN EMPLAZADAS EN LA PARTE SUPERIOR DE UNA VENTANA SEMICIRCULAR COMPARTIMENTADA EN VARIAS PARTES, VERTICAL Y HORIZONTALMENTE.  NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
404,"PASEANDO POR LA BARRA - VIDRIERAS","VIDRIERA CENTRAL DEL TECHO DE LA SALA SINFONICA, DE FORMA GEOMETRICA TRIANGULAR PINTADA EN TONOS AMARILLOS Y ANARANJADOS CON FORMAS QUE SEMEJAN EL FLUJO DEL AGUA. AUTOR: JUAN BORDES CABALLERO - 1997"
405,"MACETEROS ESCALERA DEL TEATRO PEREZ GALDOS (CUATRO UNIDADES)","CLASICISTAS FRUTEROS DE MADERA, DE FORMA ACAMPANADA, CONTENIENDO EXHUBERANTES FRUTAS ISLE�AS, EN DOS NIVELES DE ALTURA. AUTOR. EDUARDO GREGORIO - 1927"
406,"GUIRNALDAS ESCALERA PRINCIPAL TEATRO PEREZ GALDOS ( 3 PARES)","GUIRNALDAS COMPUESTA POR DIFERENTES ESPECIES FRUTALES PROPIAS DE LAS ISLAS, CARACTERIZADAS POR SU EXHUBERANCIA Y VISTOSIDAD. SE ENCUENTRAN INTEGRADAS EN LAS JAMBAS DE CADA UNA DE LAS PUERTAS. AUTOR. EDUARDO GREGORIO - 1927"
407,"MACETEROS ESCALERA PRINCIPAL TEATRO PEREZ GALDOS (2 UNIDADES","CLASICISTAS MACETEROS DE MADERA ADOSADOS A LA PARED, CON EXHUBERANTES FRUTAS ISLE�AS.  AUTOR. EDUARDO GREGORIO - 1927"
408,"TELON DE BOCA DEL TEATRO PEREZ GALDOS","TELON CON EL ESCUDO DE LA CIUDAD EN EL CENTRO, RODEADO DE FIGURAS INFANTILES A LOS LADOS Y MOTIVOS VEGETALES, TODO SOBRE FONDO AZUL OSCURO CON ORLA EN LOS BORDES CON MEDALLONES Y MOTIVOS VEGETALES INSERTOS. AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928 MEDIDAS: 12, 93 metros de ancho x 8,50 metros de alto.
"
409,"FOLIAS TRISTES","DRAMA LIRICO EN TRES ACTOS, CENTRADO EN TORNO AL MUNDO DE LAS COSTUMBRES CANARIAS. AUTOR: SANTIAGO TEJERA OSSAVARRY - 1889"
410,"LA HIJA DEL MESTRE","DRAMA LIRICO COSTUMBRISTA EN TRES ACTOS, CENTRADO EN TORNO AL MUNDO DE LOS PESCADORES. AUTOR: SANTIAGO TEJERA OSSAVARRY - 1889"
411,"MACETEROS ESCALERA PRINCIPAL TEATRO PEREZ GALDOS (8 UNIDADES","CLASICISTA FRUTERO DE MADERA, DE FORMA ACAMPANADA, CONTENIENDO EXHUBERANTE FRUTAS ISLE�AS.  AUTOR. EDUARDO GREGORIO - 1927"
412,"LINTERNA CENTRAL SALA PRINCIPAL TEATRO PEREZ GALDOS","VIDRIERA PERFECTAMENTE ADAPTADA A LA FORMA CIRCULAR DE LA LINTERNA CENTRAL DEL PATIO DE BUTACAS. EN ELLA SE DISPONE, EN SU ANILLO EXTERIOR, UNA COMPOSICION DE ELEMENTOS FRUTALES PROPIOS DE LAS ISLAS INTERPRETADOS DE UNA MANERA CLASICISTA. MIENTRAS QUE EN LOS ANILLOS INTERIORES, UTILIZA MOTIVOS DECORATIVOS DE CORTE MANIERISTA, TALES COMO ROLEOS. EL CONJUNTO DESTACA POR LA EXHUBERANCIA DE LAS FORMAS Y SU VIVO COLORIDO.. AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
413,"ESCUDO DE LA CIUDAD DE LAS PALMAS DE GRAN CANARIA","REPRESENTACION DEL ESCUDO DE LA CIUDAD DE LAS PALMAS DE GRAN CANARIA, REINTERPRETADO POR NESTOR MARTIN - FERNANDEZ DE LA TORRE, EN EL QUE INTRODUCE MOTIVOS DECORATIVOS ACORDES CON EL RESTO DE LA PROFUSA DECORACION DEL TEATRO, TALES COMO LOS GRANDES ROLEOS DE ESTILO MANIERISTA, LOS ELEMENTOS FRUTALES DE GRAN EXHUBERANCIA Y CARNOSIDAD Y LAS HOJAS DE PALMA.  AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
414,"LAMPARA DE TECHO","LAMPARA DE TECHO DE FORMA POLIGONAL Y ESTRUCTURA CILINDRICA, REALIZADA A BASE DE METAL Y CRISTAL, CARACTERIZADA POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
415,"LAMPARA DE TECHO (CINCO UNIDADES)","LAMPARA DE TECHO DE FORMA HEXAGONAL, REALIZADA A BASE DE METAL Y CRISTAL, CARACTERIZADA POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. LLAMANDO LA ATENCION LA DECORACION QUE SE SUSCRIBE EN SUS EXTREMOS. AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
416,"FAROL. APLIQUE DE PARED (DIEZ UNIDADES)","LAMPARA DE PARED HEXAGONAL, REALIZADA EN METAL Y CRISTAL, A MODO DE FAROLILLO EN FORMA DE DIAMANTE, QUE SIGUE EL SENCILLO ESTILO UTILIZADO PARA TODA LA DECORACION LUMINICA DEL TEATRO. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
417,"PLAFON.  (CUATRO UNIDADES)","SENCILLO PLAFON DE FORMA OCTOGONAL REALIZADO EN METAL Y CRISTAL, Y CARACTERIZADO POR LA SENCILLEZ Y PUREZA DE SUS FORMAS.. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
418,"PLAFON.  (DOCE UNIDADES)","SENCILLO PLAFON DE FORMA CUADRANGULAR ACABADO EN VERTICE, REALIZADO EN METAL Y CRISTAL, CARACTERIZADO POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
419,"LAMPARA DE TECHO. (CINCO UNIDADES)","LAMPARA DE TECHO DE FORMA OCTOGONAL, REALIZADA EN METAL Y CRISTAL, CARACTERIZADA POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
420,"FAROL. APLIQUE DE PARED (VEINTIDOS UNIDADES)","LAMPARA DE PARED A MODO DE FAROLILLO, DE FORMA CUADRANGULAR, REALIZADA EN METAL Y CRISTAL, CUYA DECORACION SE SUSCRIBE AL BRAZO QUE LA SUJETA A LA PARED. SE CARACTERIZA POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
421,"LAMPARA DE TECHO (SIETE UNIDADES)","VISTOSA LAMPARA DE TECHO REALIZADA EN METAL Y CRISTAL, E INSERTA EN UN CASETON. DESTACAN LOS CINCO ELEMENTOS POLIGONALES QUE PENDEN, EL CENTRAL DE GRANDES DIMENSIONES A MODO DE PLAFON, FLANQUEADO POR CUATRO LAMPARAS DE ESTRUCTURA CILINDRICA FACETADA. CONJUNTO CARACTERIZADO POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
422,"APLIQUE DE PARED (DOS UNIDADES)","SENCILLO APLIQUE DE PARED, DE FORMA OCTOGONAL Y ALARGADA, REALIZADO EN METAL Y CRISTAL, CARACTERIZADO POR LA SENCILLEZ Y PUREZA DE SUS FORMAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
423,"PLAFON (DOS UNIDADES)","PLAFON DE FORMA OCTOGONAL, REALIZADO EN METAL Y CRISTAL. SE ENCUENTRA INSERTO EN UN CASETON EN EL TECHO (YA NO), DECORADO CON RICAS MOLDURAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
424,"LAMPARA DE TECHO (TRES UNIDADES)","LAMPARA DE TECHO, REALIZADA EN METAL Y CRISTAL, DE FORMA POLIGONAL Y ESTRUCTURA CILINDRICA, CUYOS LADOS A SU VEZ SE ENCUENTRAN SUBDIVIDIDOS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
425,"CENICERO (TREINTA UNIDADES)","SOBRE UNA BASE HEXAGONAL SE LEVANTA UNA COLUMNA TRUNCADA DE FUSTE ESTRIADO, REMATADO CON UN SENCILLO CAPITEL HORADADO, DONDE SE SITUA UN CENICERO METALICO. DESTACA LA DECORACION DE LA BASE, REALIZADA A PARTIR DE PLACAS METALICAS DE FORMAS GEOMETRICAS TACHONADAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
426,"PUERTA ACCESO PATIO BUTACAS TEATRO PEREZ GALDOS (4 HOJAS)","PUERTA DECORADA A BASE DE MOTIVOS GEOMETRICOS EN CUYO CENTRO SE SUSCRIBEN PEQUE�AS CABEZAS DE LEON. EN LA PARTE BAJA DE LA MISMA DESTACAN LAS PLACAS METALICAS DE FORMAS GEOMETRICAS TACHONADAS. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
427,"SILLA BAJA DE PALCO (254 UNIDADES)","SENCILLA SILLA REALIZADA EN MADERA Y CUERO REPUJADO CON TACHUELAS DE BRONCE. LA DECORACION SE SUSCRIBE A LAS PATAS DELANTERAS, EN FORMA DE ESTIPITE, Y A LA TRAVIESA FRONTAL. EL REPUJADO DEL RESPALDO Y DEL ASIENTO REPRODUCE PEQUE�OS MOTIVOS VEGETALES A MODO DE CENEFA.  ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
428,"SILLA ALTA DE PALCO (141 UNIDADES)","SENCILLA SILLA ALTA, REALIZADA EN MADERA Y CUERO REPUJADO CON TACHUELAS DE BRONCE. LA DECORACION SE SUSCRIBE A LAS PATAS DELANTERAS Y A LOS BRAZOS QUE TERMINAN EN SENDOS ROLEOS. EL REPUJADO DEL RESPALDO Y DEL ASIENTO REPRODUCE PEQUE�OS MOTIVOS VEGETALES A MODO DE CENEFA.  ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
429,"BANQUETA DE PALCO (77 UNIDADES)","SENCILLA BANQUETA ALARGADA REALIZADA EN MADERA TALLADA Y CUERO REPUJADO,CON TACHUELAS DE BRONCE. LA DECORACION SE SUSCRIBE A LAS PATAS CON FORMA DE ESTIPITE, A LA TRAVIESA FRONTAL Y A LAS PATAS DELANTERAS. EL REPUJADO DEL ASIENTO REPRODUCE PEQUE�OS MOTIVOS VEGETALES A MODO DE CENEFA.  ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
430,"TABURETE BAJO DE PALCO (94 UNIDADES)","SENCILLO TABURETE REALIZADO EN MADERA TALLADA Y CUERO REPUJADO, CON TACHUELAS DE BRONCE. LA DECORACION SE SUSCRIBE A LAS PATAS, CON FORMA DE ESTIPITE. EL REPUJADO DEL ASIENTO REPRODUCE PEQUE�OS MOTIVOS VEGETALES A MODO DE CENEFA. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
431,"ESPEJO DE PALCO (56 UNIDADES)","SENCILLO ESPEJO DE FORMA ALARGADA, CUYA DECORACION SE SUSCRIBE A LOS ANGULOS DEL MISMO. DESTACA POR SU FUNCIONALIDAD ADAPTANDOSE A LA DECORACION DE TODO EL CONJUNTO. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
432,"PERCHERO DE PALCO (55 UNIDADES)","PERCHERO ADOSADO A LA PARED DE CARACTER FUNCIONAL, COMPUESTO DE CINCO POMOS, REMATADO POR UN COPETE SEMICIRCULAR Y UNAS MENSULAS QUE ENMARCAN LA PIEZA. EN LA PARTE ALTA SE SITUA UNA SENCILLA BALDA. ATRIBUIDO A NESTOR MARTIN FERNANDEZ DE LA TORRE - 1928"
433,"LAPIDA CONMEMORATIVA DE LA VISITA DE ALFONSO XIII","PLACA RECTANGULAR EN MARMOL, CON LETRAS DE MOLDE, QUE CONMEMORA LA VISITA DEL REY ALFONSO XIII A LA CIUDAD EN 1906. INSCRIPCIoN: S. M. DON ALFONSO XIII FUE EL PRIMER MONARCA QUE HONRo A LA CIUDAD CON SU VISITA. 1� DE ABRIL DE 1906""."
