nomTramit,servei,tramitPresencial,tramitTelefonic,tramitTelematica,urlCarpetaCiutadana,urlRegitreTelematic,documents,adreces,perfilCiutadania,perfilEntitats,perfilEmpreses,perfilComercs,perfilEmprenedors,perfilProveidors,temes,contadorVisites,dataModificacio
Preinscripció i matricula escoles bressol municipals,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud de preinscripció escoles bressol municipals curs 2016-2017</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_20163614651_1065728.pdf</doc_url></documento><documento><doc_nombre>Full de matrícula a les escoles bressol municipals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_20163614859_427113.pdf</doc_url></documento><documento><doc_nombre>Normativa d'admissió a les escoles bressol municipals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_2014101494850_84997.pdf</doc_url></documento><documento><doc_nombre>Autorització consultar dades a altres administracions (escoles bressol municipals)</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_20163614945_3066535.pdf</doc_url></documento>,"<direccion><dir_nombre>Escola Bressol Municipal Lluna</dir_nombre><dir_direccion>C/ Barcelona, 65-67</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>93 5889526</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p>Horaris d'obertura de l'escola de  9 a 17h</p> <p>Horari d'atenció al públic: dilluns a divendres de 9 a 12h i tardes de 15 a 17h</p>]]></dir_horario></direccion><direccion><dir_nombre>Escola Bressol Municipal La Bruna</dir_nombre><dir_direccion>C/ Calderón de la Barca, 4</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>93 588 7706</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p>Horari d'obertura de l'escola de 9 a 16,30 h</p> <p>Horari d'atenció al públic: dilluns a divendres de 9 a 12 h i tardes de 15 a 16,30 h</p>]]></dir_horario></direccion><direccion><dir_nombre>Escola Bressol Municipal Sol, solet</dir_nombre><dir_direccion>C/ Joaquim Blume, 30</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>93 588 64 88</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p>Horari d'obertura de l'escola de 9 a 17 h</p> <p>Horari d'atenció al públic: dilluns a divendres de 9 a 12 h i tardes de 15 a 17 h</p>]]></dir_horario></direccion>",si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",4988,04/15/2016 06:42:40 AM
Preinscripció i matricula Escola de Música Pere Burés,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud de preinscripció Escola de Música Pere Burés</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_20164994519_2194507.pdf</doc_url></documento><documento><doc_nombre>Normativa d'admissió a l'Escola de Música Pere Burés</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_2014101495959_38080.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",3055,05/12/2016 06:13:34 AM
Preinscripció i matrícula a l'espai familiar Creixença,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Matrícula Espai Familiar Creixença</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016730102723_1957907.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de preinscripció a l'espai familiar Creixença</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016730102444_1255591.pdf</doc_url></documento><documento><doc_nombre>Normativa d'admissió a l'espai familiar Creixença</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_2014101495758_95319.pdf</doc_url></documento>,"<direccion><dir_nombre>Escola Bressol Municipal La Bruna</dir_nombre><dir_direccion>C/ Calderón de la Barca, 4</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>93 588 7706</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p>Horari d'obertura de l'escola de 9 a 16,30 h</p> <p>Horari d'atenció al públic: dilluns a divendres de 9 a 12 h i tardes de 15 a 16,30 h</p>]]></dir_horario></direccion>",si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",1248,08/30/2016 08:23:00 AM
Pròrroga de llicències d'obres,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància Sol·licitud de pròrroga de llicència d'obres majors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094640_34300.pdf</doc_url></documento><documento><doc_nombre>Instància Sol·licitud de pròrroga de llicència d'obres menors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094516_32213.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1023,01/02/2017 08:03:31 AM
Recollida de l'esporga,U052 - MEDI AMBIENT,no,si,no,,,,,si,no,no,no,no,no,<tema><tem_codigo>27</tem_codigo><tem_nombre>Medi ambient</tem_nombre></tema>,1005,04/09/2016 04:56:54 PM
Recollida de mobles i trastos vells,U052 - MEDI AMBIENT,no,si,no,,,,,si,si,si,si,no,si,<tema><tem_codigo>27</tem_codigo><tem_nombre>Medi ambient</tem_nombre></tema>,2124,04/07/2016 09:47:56 AM
Registre municipal d'animals de companyia,U052 - MEDI AMBIENT,si,no,no,,,<documento><doc_nombre>Sol·licitud registre censal d'animals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Cens_animals_domestics_2014ok.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>3</tem_codigo><tem_nombre>Animals de companyia (cens d'animals, llicència d'animals perillosos...)</tem_nombre></tema>",1331,01/02/2017 08:05:22 AM
Renovació de drets funeraris de sepultures,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància renovació drets funeraris sepultura</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_20149213264_446939.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,528,01/02/2017 08:06:17 AM
Renúncia de drets funeraris,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància renúncia drets funeraris sepultura</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492132733_450977.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,523,01/02/2017 08:07:34 AM
Rescat de drets funeraris,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància rescat drets funeraris sepultura</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492132821_441889.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,523,01/02/2017 08:08:15 AM
Reserves d'estacionament per a persones amb discapacitat,U050 - MOBILITAT,no,no,no,,,<documento><doc_nombre>sol.licitud de reserva estacionament per a persones amb discapacitat</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20151484259_24833.pdf</doc_url></documento>,,si,no,no,no,no,no,<tema><tem_codigo>8</tem_codigo><tem_nombre>Via Pública (ocupació via pública...)</tem_nombre></tema>,707,02/04/2015 08:24:41 AM
Revisió del preu públic a les escoles bressol municipals,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema><tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",693,01/02/2017 08:16:09 AM
Sol.licitud de Certificat d'innecessarietat de llicència de parcel·lació,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància Sol·licitud de Certificat d'Innecessarietat de llicència de parcel·lació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095336_32188.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",678,01/02/2017 08:18:09 AM
Sol·licitud d'anàlisi d'aigua de consum,U052 - MEDI AMBIENT,si,si,si,https://www.e-ajrubi.net/eParticipa/Products/Carpeta/Public/Requests/InetReqPublic.aspx?language=CA&TypeId=39289,,<documento><doc_nombre>Sol·licitud d'anàlisi d'aigua de consum</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20166119346_218006.pdf</doc_url></documento>,,si,no,si,no,no,no,<tema><tem_codigo>27</tem_codigo><tem_nombre>Medi ambient</tem_nombre></tema>,386,07/15/2016 02:28:31 PM
Sol·licitud d'infraestructures per activitats organitzades per associacions de veïns i/o propietaris,U059 - GOVERNANÇA I CIUTADANIA,si,no,no,,,<documento><doc_nombre>Sol·licitud d'infrastructures per a entitats</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_2015110114953_45806.11.pdf</doc_url></documento>,,no,si,no,no,no,si,,622,02/11/2015 11:13:07 AM
Sol·licitud d'infraestructures per activitats organitzades per entitats de Ciutadania,U059 - GOVERNANÇA I CIUTADANIA,si,no,no,,,<documento><doc_nombre>Sol·licitud d'infrastructures per a entitats</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_2015110114953_45806.11.pdf</doc_url></documento>,,no,si,no,no,no,si,,693,02/05/2015 12:50:08 PM
Sol·licitud d'ús de centres educatius,U036 - SERVEI D'EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud d'ús de centres educatius</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/dades_a_proporcionar.pdf</doc_url></documento>,,no,si,no,no,no,si,<tema><tem_codigo>24</tem_codigo><tem_nombre>Espais i infraestructures</tem_nombre></tema>,817,02/04/2015 08:48:46 AM
Sol·licitud de reducció de la taxa municipal de l'Escola d'Art i Disseny,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud de reducció de preu públic als tallers d'art</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_201641982028_546382.pdf</doc_url></documento><documento><doc_nombre>Normativa sobre reducció del preu públic de les escoles municipals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_20141011104355_73180.pdf</doc_url></documento>,"<direccion><dir_nombre>Escola d'art i disseny municipal Edra</dir_nombre><dir_direccion>Edifici Escardívol, c. Joaquim Blume, 28</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>93 588 7000 ext.4406</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><span style=""text-decoration: underline;"">De l'1 de setembre al 30 de juny</span></p> <p>- Matins: de dilluns a divendres de 10.00 a 14.00 hores.</p> <p>- Tardes: de dilluns a dijous de 15.00 a 18.30 hores / divendres de 15.00 a 17.00 hores.</p> <p><span style=""text-decoration: underline;"">Juliol</span></p> <p>- De dilluns a divendres de 10.00 a 14.00 hores.</p>]]></dir_horario></direccion>",si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",556,09/13/2016 07:03:57 AM
Sol·licitud de reducció del preu públic municipal a l'Escola Municipal de Música Pere Burés,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Normativa sobre reducció del preu públic de les escoles municipals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_20141011104355_73180.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de reducció de preu públic a l'Escola de Música Municipal Pere Burés</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016815143237_877559.pdf</doc_url></documento>,"<direccion><dir_nombre>Complex Cultural l'Escardívol</dir_nombre><dir_direccion>C/ Joaquim Blume, 28</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>RUBI</dir_municipio><dir_telefono>93 588 70 00</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[]]></dir_horario></direccion>",si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",744,09/15/2016 12:33:40 PM
Sol·licitud de subvenció al transport escolar,U031 - ÀREA DE SERVEIS A LES PERSONES,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento><documento><doc_nombre>Autorització per a consultar les dades</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/cel_20165209925_63569.pdf</doc_url></documento><documento><doc_nombre>Declaració responsable</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/cel_201652091153_11877.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",297,01/02/2017 08:22:24 AM
Subvenció a entitats de lleure educatives per a la realització d'activitats,U036 - SERVEI D'EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Annex 5-Declaració de sol·licitud de subvenció a altres administracions</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_5_no_altres_subv_identitat_2010.pdf</doc_url></documento><documento><doc_nombre>Annex 2 - Fitxa activitat</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_2___fitxa_d__activitats.pdf</doc_url></documento><documento><doc_nombre>Annex 2-Memòria descriptiva de l'activitat</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_2_memoria_descriptiva_identitat_2010.pdf</doc_url></documento><documento><doc_nombre>Annex 3-Pressupost</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_3_pressupost_identitat_2010.pdf</doc_url></documento><documento><doc_nombre>Dades bancàries per a transferència. Annex 4</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex4_dades_bancaries_per_transferencia.pdf</doc_url></documento><documento><doc_nombre>Annex 4-Acreditació del compliment de les obligacions fiscals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_4_oblig_fiscal_identitat_2010.pdf</doc_url></documento><documento><doc_nombre>Annex 5 - No subvencions altres administracions</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_5___no_subv_altres_administracions.pdf</doc_url></documento><documento><doc_nombre>Annex 7 - Certificat junta directiva</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_7___certificat_junta_directiva.pdf</doc_url></documento><documento><doc_nombre>Annex 8-Acreditació no presentació de documents</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_8_acredit_no_documents_identitat_2010.pdf</doc_url></documento><documento><doc_nombre>Formulari sol·licitud subvencions</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_0___formulari_sol_licitud_de_subvencions.pdf</doc_url></documento>,,no,si,no,no,no,no,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",668,11/18/2014 08:51:19 AM
Subvencions a projectes de cooperació al desenvolupament promoguts per entitats de Rubí,U031 - ÀREA DE SERVEIS A LES PERSONES,si,no,no,,,<documento><doc_nombre>Formulari sol·licitud de subvenció per a projectes de cooperació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/cel_201664111730_85292.pdf</doc_url></documento><documento><doc_nombre>convocatòria de les subvencions a projectes de cooperació al desenvolupament</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/cel_2016619113119_161634.pdf</doc_url></documento>,,no,si,no,no,no,si,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",179,07/19/2016 09:39:30 AM
Variacions de dades d'entitats inscrites al Registre Entitats Ciutadanas (REC),U059 - GOVERNANÇA I CIUTADANIA,si,no,no,,https://www.e-ajrubi.net/sta/Relec/TramitaForm?dboidSolicitud=6269000009385959607707,<documento><doc_nombre>Annex 7 - Certificat junta directiva</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/annex_7___certificat_junta_directiva.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud Registre Entitats Ciutadanes</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/08.01.29_impr_s_alta_baixa_o_modificaci__rec.pdf</doc_url></documento>,,no,si,no,no,no,no,,815,02/05/2015 01:10:47 PM
Concurs de Comparses,U041 - CULTURA,si,no,no,,,,,,,,,,,,,
Concurs de Cartells de Festa Major 2017,U041 - CULTURA,si,no,no,,,,,,,,,,,,,
"Subvenció 2017 ajuts per a la pràctica de l'esport federat i JJEE per als infants i joves, temp. 2016-2017",U040 - SERVEI D'ESPORTS,si,no,no,,,,,,,,,,,,,
Ajuts menjador escolar curs 2017-2018,U033 - SERVEIS SOCIALS,si,no,no,,,,,,,,,,,,,
Ajuts a les escoles per aniversaris i celebracions,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Bases reguladores dels ajuts als centres educatius per a la celebració d'aniversaris</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_20141014101632_32534.pdf</doc_url></documento>,,no,si,no,no,no,si,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema><tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",222,05/28/2015 07:38:32 AM
Participació en el Premi de Recerca Miquel Segura,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Bases generals del Premi de Recerca Miquel Segura</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_2014101410124_19205.pdf</doc_url></documento>,,no,si,no,no,no,si,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",599,11/18/2014 08:43:32 AM
