ID,Nom entittat,Adreça entitat,Localitat,Telèfon entitat,Email entitat,Tipus entitat,Any fundació,Any d'inscripció
356,ASSEMBLEA NACIONAL CATALANA,"c. Sant Gaietà, 15 ",08191 Rubí,935884354,annbube@yahoo.com,Partit polític,2011,2012
357,ASOCIACION KARAMBENOR DI KASSOFOR,"C. Miquel Servet, 14, 3r 1a",08191 Rubí,"687615031
658258361",associationkarambenor@yahoo.fr,Entitat de cooperació,2009,2012
358,ASSOCIACIÓ MUSICAL FÉNIX,"Urb El Pinar, bloc 1, esc 3, bx 1a",08191 Rubí,600735441,,Entitat cultural,2012,2013
359,CASAL RUBÍ (CRAC),"C. St Joan, 1",08191 Rubí,610 067 646,info@crac.cat,Entitat ciutadana-cívica,2012,2013
360,ASSOCIACIÓ CULTURAL I SOCIAL DE TOUBA - RUBÍ (ACSOT),"Pl Constitució, 9, 3r 1a",08191 Rubí,632518805,acsotrubi@gmail.com,Entitat de cooperació,2012,2013
361,ASCODECA (Ass. Cornaky Guineana-catalana pel desenvolupament i el canvi intercultural de Rubí),"c. Calderon de la Barca, 48 1r 1a",08191 Rubí,696051422,mamadou422@hotmail.es,Entitat de cooperació,2008,2013
362,ASSOCIACIÓ KALIMA PER L'INTERCANVI CULTURAL I ARTÍSTIC (AKICA) ,"Pl. dels Nens, 2, esc. B, 5è 2a",08191 Rubí,687382168,akica.bcn@gmail.com,Entitat cultural,2012,2013
363,ASSOCIACIÓ LA SKATEBOARDING RUBÍ,"c. Carrasco i Formiguera, 115, 1r 1a",08191 Rubí,651372785,laskateboarding@hotmail.es,Entitat juvenil,2011,2013
364,FUNDACIÓ PRIVADA AVAN,"C. Estrella, 110",08201 Sabadell,628116860,avan@amicsdelaneurologia.org,Entitat de salut,2013,2013
365,ASSOCIACIÓ JUVENIL LA CLAU D'ULELE,"c. St Miquel, 31",08191 Rubí,655132958,laclauulele@gmail.com,Entitat educativa,2012,2013
366,ASSOCIACIÓ CLUB ORNITOLÒGIC RUBI (ACOR),"c. Balmes, 5",08191 Rubí,609666070,juan@jurado.cat,Entitat esportiva,2012,2013
367,ASSOCIACIÓ JUVENIL TIAMAT TEATRE,"c. Mossén Cinto, 14, àtic",08191 Rubí,658485723,imanol.fernandez@gmail.com,Entitat juvenil,2013,2013
368,CLUB D'AGILITY RUBÍ,"c. Méndez Núñez, 12-14, 1r 3a",08191 Rubí,607451107,jordiarwen@gmail.com,Entitat esportiva,2012,2013
369,ASSOCIACIÓ DE JUBILATS I PENSIONISTES DE CA N'ORIOL,"c. Jaen, 22",08191 Rubí,935887007,jubilats.canoriol@gmail.com,Entitat social,2013,2013
370,RUBÍ D'ARREL,"c. Quevedo, 6",08191 Rubí, ,rubidarrel@gmail.com,Entitat social,2013,2013
371,ASSOCIACIÓ JAZZ RUBÍ,"c. Magallanes, 50",08191 Rubí,,associaciojazzrubi@hotmail.com,Entitat cultural,2013,2014
372,ASSOCIACIÓ SOCIETAT DE BLUES DE RUBI,"Pl Clavé, 4-6",08191 Rubí,655261907,cpujanteg@hotmail.com,Entitat cultural,2013,2014
373,FUNDACIÓ GRESOL - PROJECTE HOME,"Gran Via de les Corts,204",08004 Barcelona,,info@projectehome.org,Entitat de salut,1997,2014
374,ASSOCIACIÓ NUMISMÀTICA RUBI 2013,"c. Covadonga, 42",08191 Rubí,637223784,numismaticarubi2013@gmail.com,Entitat cultural,2013,2014
375,ASSOCIACIÓ ART INQUIETS,"C. Pintor Coello, 32, 1r 2a",08191 Rubí,656195598,artinquiets@gmail.com,Entitat social,2013,2014
376,ASSOCIACIÓ DE VEÏNS CAN XIMELIS SECTOR D 4,"Antic Camí de Ximelis, 15",08191 Rubí,617425528,jmanac@gmail.com,Entitat veïnal,2013,2014
377,ASSOCIACIÓ ESPORTIVA ELS KINTUS,"Av de l'Estatut 179, 1r 2a",08191 Rubí,935130329,elskintus@gmail.com,Entitat esportiva,2013,2014
378,ASSOCIACIÓ ARS SEGOUNA,"c. Navas de Tolosa, 30, bx",08191 Rubí,687698911,dembelesouleyma46@yahoo.es,Entitat de cooperació,2013,2014
379,CLUB RUBÍ NORD FUTBOL SALA,"c. Trafalgar, 2, 1ª",08191 Rubí,646611876,rubinordfs@gmail.com,Entitat esportiva,2013,2014
380,ASSOCIACIÓ CULTURAL SENEGAMBIANA KAMBENG DE CATALUNYA,"c. Sta Llúcia, 7, 5è 4rt",08191 Rubí,632730974,,Entitat de cooperació,2013,2014
381,ASOCIACION OUDIODIAL PARA LA AYUDA SOCIAL MUTUA,"c. Monturiol, 30 4rt 3a",08191 Rubí,679247086,oudiodialcatacasa@gmail.com,Entitat de cooperació,2010,2014
382,ASSOCIACIÓ VEDANTHANGAL SANGAM ( LAIA FOUNDATION),"c. Bruc, 1, pb 3",08191 Rubí,699249882,info@laiafoundation.org,Entitat de cooperació,2011,2014
383,ASOCIACION DE PARADOS Y TRABAJADORES EN PRECARIO RUBI,"Pl. Anselm Clavé, 4 - 6",08191 Rubí,675495701,cantarica@terra.com,Entitat ciutadana-cívica,2014,2014
384,CLUB ESPORTIU CHEN TAICHI VIDA,"Av. Castellbisbal, 74",08191 Rubí,660676093,luchen_taijiquan@hotmail.com,Entitat esportiva,2009,2014
385,ASOCIACION AGROECOLOGICA CAN FELIU RUBI,"Pl. Pep Rovira, 9, àt.3a",08191 Rubí,675495701,cantarica@terra.com,Entitat social,2014,2015
386,ASSOCIACIÓ MUSICAE.CAT,"Ctra de Sabadell, 87, entr 1, 3r 3a",08191 Rubí,665045493,musicaecat@gmail.com,Entitat cultural,2014,2015
387,ASSOCIACIÓ JUVENIL TEATRAL ESCENA 13,"c. Menta, 28 Apdo correus, 364",08191 Rubí,691356412,13escena@gmail.com,Entitat juvenil,2014,2015
388,ASSOCIACIÓ LA VEU DELS GATS,"c. Josep Turu i Sallés, 33-35, 2n 4a",08191 Rubí,655633457,defensaanimal@laveudelsgats.es,Entitat mediambiental,2013,2015
389,ASOCIACION VECINOS POR RUBI - VEÏNS PER RUBI,"Pg Pau Clarís, 62A, 4rt 4a",08191 Rubí,651445502,veinsxrubi@gmail.com,Partit polític,2014,2015
390,ASSOCIACIÓ DE COMERCIANTS I SERVEIS DE SANT JORDI PARC,"Av Josep Ferrer i Domingo, 10",08191 Rubí,935862917,aaccsantjordiparc@gmail.com,Entitat de comerç,2014,2015
391,ASSOCIACIÓ CULTURAL BRASILERA D'ARTS I ESPORTS,"c. Sabadell, 26, 3r 2a",08191 Rubí,675438491,yosoymonti@hotmail.com,Entitat esportiva,2015,2015
392,CASA DE RUBÍ COLEGIO REGINA CARMELI - SECCIÓ ESPORTIVA,"c. St Sebastià,34",08191 Rubí,936990353,direccio@reginacarmeli.com,Entitat esportiva,2013,2015
393,ASOCIACION DE RESIDENTE DE MANDEGANE EN BARCELONA,"c. Miquel Servet, 18, 1r 4rt",08191 Rubí,607368361,,Entitat ciutadana-cívica,2014,2015
394,ASSOCIACIÓ HERMANDAD VIRGEN DE LA LUNA EN CATALUÑA,"c. Topazi,51, 4rt",08191 Rubí,657614021,jarotesrocieros@hotmail.com,Entitat cultural,2014,2015
395,ASSOCIACIÓ PLATAFORMA RUBI SENSE ABOCADORS,"c. Alcanar, 40",08191 Rubí,936998436,plataforma.rubisenseabocadors@gmail.com,Entitat mediambiental,2015,2016
396,FUNDACIÓ PRIVADA EDUCAT 2012,"Camí de Ca n'Oriol, s/n",08191 Rubí,620466175,comunicacion@fundacioeducat.com,Entitat educativa,2009,2016
397,ASSOCIACIÓ D'AJUDA CÍVICA I ASSISTENCIAL CASA DE PROVISIÓN  ,"c. Lope de Vega, 22",08191 Rubí,685979081,esperanza_rivas@hotmail.com,Entitat social,2012,2016
398,ASSOCIACIÓ DE VEÏNS PLA DEL SEGADOR,"C. Mare de Déu de Fàtima, 55-57 (local)",08191 Rubí,663486530,associacioveinspladelsegador@gmail.com,Entitat veïnal,2014,2016
399,ASSOCIACIÓ SVIDA.ONG.INT ,"c. Abat Escarré, 20 3r 2a",08191 Rubí,711723469,pedrolarios2014@hotmail.com,Entitat de salut,2016,2016
400,ASSOCIACIÓ JUVENIL FATA MORGANA ,"c. Inventor Monturiol, 2-4, 2n 4a",08191 Rubí,697616854,cia.fatamorgana@gmail.com,Entitat juvenil,2015,2016
401,ASSOCIACIÓ CASA DE LA CULTURA DE CATALUNYA,"C. Espoz i Mina, 6-8 (local)",08191 Rubí,608323142,casadelaculturaecucat@gmail.com,Entitat cultural,2015,2016
406,ASSOCIACIÓ RUBÍ SOCIOCULTURAL I INTEGRACIÓ,"Pg. de la Riera, 122, portal 2, 2n 2a",08191 Rubí,640304113,rubisce@hotmail.com,Entitat ciutadana-cívica,2016,2016
407,ASSOCIACIÓ FRATER NADAL SERVEI SOCIAL EVANGÈLIC,"c. Descobridor Colom, 4",08191 Rubí,"936990319 
626762701",fraternadal@gmail.com,Entitat social,2001,2016
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
